sentence number,sentence,value (0/1)
1,– 11 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 4 - Venerdì 24 gennaio 2014,,
4,D.G. Salute D.d.s.,,
5,"17 gennaio 2014 - n. 218 Sospensione di alcune prove del laboratorio MINALAB s.r.l. di Casalmaggiore (CR) dal registro della Regione Lombardia dei laboratori che effettuano analisi nell’ambito delle procedure di autocontrollo delle industrie alimentari IL DIRIGENTE DELLA STRUTTURA TUTELA DELLA PERSONA, PROMOZIONE DELLA SALUTE E IGIENE DEGLI ALIMENTI Richiamate • la deliberazione della Giunta regionale n. IX/266 del 14 luglio 2010, con la quale la Regione Lombardia ha provveduto alla istituzione, ai sensi della legge 88/2009, del registro dei laboratori che effettuano analisi nell’ambito delle procedure di autocontrollo delle industrie alimentari, fissando altresì le modalità operative per l’iscrizione, l’aggiornamento e la cancellazione; • la deliberazione della Giunta regionale n. IX/4474 del 5 dicembre 2012, con la quale la Regione Lombardia ha provveduto all’aggiornamento della d.g.r. n. IX/266 del 14 luglio 2010, con particolare riguardo a: −− le procedure di iscrizione e di mantenimento dei laboratori nel registro regionale; −− la definizione di «verifiche periodiche da parte della Regione tramite audit o ispezioni condotti da gruppi di esperti appositamente designati con decreto della Direzione Generale competente.",,
6,"A seguito dei risultati dell’audit la Regione adotta i provvedimenti di conseguenza.» (punto 13 dell’Allegato A); −− la definizione dei provvedimenti a seguito delle verifiche, in particolare «sospensione della registrazione della singola prova o gruppo di prove per 60 giorni: nel caso in cui il laboratorio non applichi in tutto o in parte le procedure previste dalle metodiche per le quali la prova è stata accreditata o è stato richiesto l’accreditamento.",,
7,La prova dell’avvenuta regolarizzazione deve essere comunicata dal laboratorio alla Regione.,,
8,"Se al termine dei 60 giorni la regolarizzazione non è stata condotta si procede alla cancellazione dal registro della singola prova o gruppo di prove.» (punto 14.2 dell’Allegato A); il decreto del Direttore Generale n. 5892 del 2 luglio 2013 con • il quale la Direzione Generale Salute ha provveduto a nominare i componenti del Gruppo di Lavoro «Audit di processo (verifica e valutazione dei laboratori iscritti nel registro regionale, di cui alla d.g.r. n. n. IX/4474 del 5 dicembre 2012)»; Preso atto del rapporto di audit, pervenuto in data 18 dicembre 2013 con nota di prot. n. 34999, effettuato dal Gruppo di Lavoro «Audit di processo» presso il laboratorio MINALAB s.r.l. di Casalmaggiore (CR), con n. di iscrizione nel registro regionale 030010304005, che nelle conclusioni riporta «Alcune fasi di analisi sono state eseguite, pur nel rispetto generale della metodica, secondo procedure semplificate e non sempre nel pieno rispetto dei tempi e delle temperature di incubazione, inficiando l’attendibilità del dato analitico erogato.»",,
9,"Ritenuto pertanto di provvedere, come previsto al punto 14.2 dell’Allegato A della d.g.r. n. IX/4474 del 5 dicembre 2012, alla sospensione per 60 giorni della registrazione delle prove: • Ricerca Listeria monocytogenes UNI EN ISO 11290-1:2005 in alimenti e superfici nell'area della produzione e della manipolazione degli alimenti, tamponi, piastre • Conta Listeria monocytogenes UNI EN ISO 11290-2:2005 in alimenti • Ricerca Salmonella spp UNI EN ISO 6579:2008 in alimenti e superfici nell'area della produzione e della manipolazione degli alimenti, tamponi, piastre dall’elenco delle prove, di cui all’Allegato A parte integrante del presente atto, relative al laboratorio MINALAB s.r.l. di Casalmaggiore (CR) nel registro della Regione Lombardia dei laboratori che effettuano analisi nell'ambito delle procedure di autocontrollo delle industrie alimentari (Allegato A); Vista la legge regionale 20/2008 nonché i provvedimenti organizzativi della X Legislatura ed in particolare la d.g.r. n. 87 del 29 aprile 2013 ed il decreto del Segretario Generale n. 7110 del 25 luglio 2013; DECRETA 1.  Di provvedere alla sospensione per 60 giorni della registrazione delle prove: • Ricerca Listeria monocytogenes UNI EN ISO 11290-1:2005",,
10,"in alimenti e superfici nell'area della produzione e della manipolazione degli alimenti, tamponi, piastre • Conta Listeria monocytogenes UNI EN ISO 11290-2:2005 in alimenti • Ricerca Salmonella spp UNI EN ISO 6579:2008 in alimenti e superfici nell'area della produzione e della manipolazione degli alimenti, tamponi, piastre dall’elenco delle prove, di cui all’Allegato A parte integrante del presente atto, relative al laboratorio MINALAB s.r.l. di Casalmaggiore (CR), con n. di iscrizione 030010304005, nel registro della Regione Lombardia dei laboratori che effettuano analisi nell’ambito delle procedure di autocontrollo delle industrie alimentari; 2. Di notificare il presente atto al laboratorio MINALAB s.r.l. e all’ASL competente per territorio; 3.  Di pubblicare sul Bollettino Ufficiale di Regione Lombardia (BURL) e sul sito internet della Direzione Generale della Salute della Regione Lombardia il presente provvedimento, completo dei propri allegati.",,
