sentence number,sentence,value (0/1)
1,– 28 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Giovedì 30 gennaio 2014,,
4,"D.G. Famiglia, solidarietà sociale e volontariato D.d.g.",,
5,14 gennaio 2014 - n. 115 Ampliamento dell’accreditamento della seguente unità di offerta socio sanitaria: Residenza sanitario assistenziale per persone con disabilità ( R.S.D.),,
6,"“Fondazione Clotilde Rango”, cod. struttura 303008405, con sede in Alzate Brianza (CO) via Aldo Moro, 201, gestita da “Fondazione Clotilde Rango Onlus”, con stessa sede, CF n. 90007950133.",,
7,"IL DIRETTORE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Visti: −− il d.lgs.",,
8,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; −− il d.p.r.",,
9,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; −− i dd.p.c.m.",,
10,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; −− la l.r.,,
11,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
12,Collegato»; −− la l.r.,,
13,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario»; −− la l.r.",,
14,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; −− la d.c.r.",,
15,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»; Richiamate le dd.g.r.: −− la d.g.r.",,
16,"7 aprile 2003, n. 12620 «Definizione della nuova unità d’offerta “Residenza Sanitario Assistenziale per persone con disabilità” (R.S.D.).",,
17,Attuazione dell’art.,,
18,"12, comma 2 della l.r.",,
19,"11 luglio 1997, n. 31»; −− la d.g.r.",,
20,"8 agosto 2003, n. 14039 «Primo provvedimento attuativo della d.g.r. n. 12620 del 7 aprile 2003: Definizione del sistema tariffario della residenza sanitario assistenziale per disabili»; −− 6 dicembre 2011, n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; −− 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; −− 20 dicembre 2013, n. 1185 «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2014»; Dato atto che l’unità di offerta: ( R.S.D.)",,
21,"«Fondazione Clotilde Rango», cod. struttura n. 303008405, con sede in Alzate Brianza (CO) via Aldo Moro, 201, gestita da «Fondazione Clotilde Rango Onlus», con stessa sede, CF n. 90007950133, è già abilitata, accreditata per 30 posti con d.g.r. del 5 agosto 2004 n. 18544 e a contratto; Rilevato che l’ente gestore «Fondazione Clotilde Rango Onlus» indicato in oggetto ha presentato S.C.I.A con contestuale istanza di accreditamento, protocollata in Regione in data 2 ottobre 2013, n. prot.",,
22,"13303, per la R.S.D. di Alzate Brianza (CO), relativamente all’ampliamento di n. 2 posti letto; Vista la determinazione della ASL di Como del 6 novembre 2013 n. 58, relativa all’attestazione del possesso dei requisiti di accreditamento della R.S.D. in oggetto e la successiva richiesta di integrazione e sospensione dei termini prot. n. G1.2013.0015390 del 13 novembre 2013; Vista la determinazione della ASL di Como del 26 novembre 2013 n. 63, relativa all’attestazione del possesso dei requisiti di accreditamento della R.S.D. in oggetto e la successiva richiesta di integrazione e sospensione dei termini prot.",,
23,"G1.2013.0015987 del 29 novembre 2013; Vista la determinazione dell’ASL di Como del 16 dicembre 2013, n. 66, prot. n. G1.2013.0016874 del 17 dicembre 2013, che annullando le precedenti sopra riportate determinazioni, attesta",,
24,"il possesso dei requisiti di accreditamento per n. 32 posti letto della R.S.D. in oggetto, sulla scorta delle verifiche effettuate con sopralluogo del 25 novembre 2013; Ritenuto di accogliere la richiesta di ampliamento dell’accreditamento in oggetto, sussistendo tutti i requisiti previsti dalla normativa vigente; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge, coincidente con la data del 15 gennaio 2014; Viste la l.r.",,
25,"7 luglio 2008, n. 20 e la d.g.r. n. 3 del 20 marzo 2013 «Costituzione delle Direzioni Centrali e Generali, incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura», con la quale è stato affidato l’incarico di Direttore Generale della Direzione Famiglia, Solidarietà sociale e Volontariato a Giovanni Daverio; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, ed alla ASL territorialmente competente; DECRETA 1. di ampliare l’accreditamento per n. 2 posti letto, con decorrenza dalla data di approvazione del presente atto, della seguente unità di offerta socio sanitaria: Residenza Sanitario Assistenziale per persone con disabilità’( R.S.D.)",,
26,"«Fondazione Clotilde Rango», cod. struttura 303008405, con sede in Alzate Brianza (CO), via Aldo Moro, 201, gestita dall’ente «Fondazione Clotilde Rango Onlus», con stessa sede, CF n. 90007950133, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Como e attestata con provvedimento del 16 dicembre 2013 n. 66, per n. 32 posti letto; 2. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 3. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e la comunicazione all’ente gestore interessato, nonché alla ASL territorialmente competente.",,
27,IL direttore generale Giovanni Daverio D.d.g.,,
28,"15 gennaio 2014 - n. 162 Accreditamento della seguente unità di offerta socio sanitaria: “Consultorio familiare di Corteolona” con sede in Corteolona (PV), in via Longobardi n. 1, gestito dalla ASL di Pavia, CF 01748780184, in sostituzione del consultorio familiare, già accreditato, con sede sempre in Corteolona (PV), in via Longobardi n. 3 IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Visti: −− la l. 29 luglio 1975, n. 405 «Istituzione dei Consultori Familiari»; −− la l.r.",,
29,"6 settembre 1976, n. 44 «Istituzione del servizio per l’educazione sessuale, per la procreazione libera e consapevole, per l’assistenza alla maternità, all’infanzia e alla famiglia»; −− il d.lgs.",,
30,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; −− il d.p.r.",,
31,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; −− la l.r.",,
32,"6 dicembre 1999, n. 23 «Politiche regionali per la famiglia»; −− i dd.p.c.m.",,
33,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; −− la l.r.,,
34,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
35,Collegato»;,,
36,Bollettino Ufficiale,,
37,– 27 – Serie Ordinaria n. 5 - Giovedì 30 gennaio 2014,,
38,Allegato al decreto n. DIREZIONE GENERALE: PRESIDENZA,,
39,007608 Vincolate Correnti operative,,
40,"Capitolo di entrata connesso: 2.2.188 007607 COFINANZIAMENTO DELLA CE PER IL PROGETTO EUROPEO ""MANEJO INTEGRAL SOSTENIBLE DE LOS RESIDUOS SOLIDOS URBANOS EN SEIS MUNICIPIOS DEL NORTE DE CHINANDEGA",,
41,Prov.,,
42,Euro,,
43,ACC.,,
44,2013,,
45,"1.600,00",,
46,Tot.,,
47,Comp.,,
48,"1.600,00",,
49,Tot.,,
50,Cassa,,
51,"1.600,00",,
52,Euro TOTALE VINCOLATE,,
53,Tot.,,
54,Comp.,,
55,"1.600,00",,
56,Tot.,,
57,Cassa,,
58,"1.600,00",,
59,Euro,,
60,TOTALE PRESIDENZA Tot.,,
61,Comp.,,
62,"1.600,00",,
63,Tot.,,
64,Cassa,,
65,"1.600,00",,
66,Tot.,,
67,Comp.,,
68,"Euro 13.550.788,99",,
69,Tot.,,
70,Cassa,,
71,"11.767.573,51",,
