sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 19 – Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
3,−− la d.g.r.,,
4,"30 maggio 2012, n. 3541, rettificata dalla d.g.r.",,
5,6 giugno 2012 n. 3584 «Definizione dei requisiti specifici per l’esercizio e l’accreditamento dell’Assistenza Domiciliare Integrata» −− la d.g.r.,,
6,"25 luglio 2012, n. 3851 «Determinazioni in ordine alle tariffe sperimentali dei nuovi profili dell’Assistenza Domiciliare Integrata»; −− 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Richiamato il d.d.g. della Direzione Generale Famiglia, Conciliazione, Integrazione e Solidarietà Sociale del 3 agosto 2012, n. 7089 ad oggetto: «Determinazioni in ordine all’Assistenza Domiciliare Integrata»; Vista la specifica deroga, prevista dalla d.g.r.",,
7,"1185/X, riguardo alla sospensione per il 2014 di nuovi accreditamenti in ambito socio sanitario, per la fattispecie dell’istanza di accreditamento già presentata in data antecedente il 20 dicembre 2013, data di approvazione della d.g.r. medesima; Rilevato che l’ente «Fondazione Guerini Frigerio Onlus - per la Bassa Bresciana Occidentale» , con sede legale in Orzinuovi, via V. Gambara n. 20, CF 86000210178, ha presentato S.C.I.A. con contestuale richiesta di accreditamento, con prot.",,
8,"ASL n. 145522 del 24 settembre 2013, per l’unità di offerta di Assistenza Domiciliare Integrata (A.D.I.) denominata «Fondazione Guerini Frigerio Onlus», con stessa sede operativa, per l’erogazione di prestazioni di A.D.I. per Cure Palliative; Rilevato che la S.C.I.A. con contestuale richiesta di accreditamento sopra citata, rientra nella fattispecie prevista dalla d.g.r.",,
9,"1185/X, e risulta pertanto accoglibile; Dato atto che la S.C.I.A sopra indicata è stata positivamente verificata dalla competente commissione di vigilanza della A.S.L. di Brescia, con sopralluogo del 18 novembre 2013, di cui al verbale della verifica n. 29/ADI/13, allegato al provvedimento sotto indicato; Visto il provvedimento del 16 gennaio 2014 n. 24, adottato dalla ASL di Brescia e pervenuto in data 21 gennaio 2014, prot. n. G1.2014.705, di attestazione del possesso dei requisiti di accreditamento per l’erogazione di prestazioni di A.D.I. per Cure Palliative; Ritenuto di accogliere la richiesta di accreditamento in oggetto, sussistendo tutti i requisiti previsti dalla normativa vigente; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r.",,
10,"3540/2012, coincidente con la data del 20 febbraio 2014; Viste la l.r.",,
