sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 13 – Serie Ordinaria n. 4 - Lunedì 20 gennaio 2014,,
3,D.d.s.,,
4,15 gennaio 2014 - n. 154 Programma integrato di intervento denominato “Cremona City Hub” in comune di Cremona.,,
5,Proponenti: comune di Cremona e AEM Cremona s.p.a..,,
6,"Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
7,"152/2006 e della l. r. 5/2010 IL DIRIGENTE DELLA STRUTTURA VALUTAZIONE DI IMPATTO AMBIENTALE OMISSIS DECRETA 1. di escludere dalla procedura di valutazione d’impatto ambientale, ai sensi dell’art.",,
8,20 del d.lgs.,,
9,152/2006 e della l.r.,,
10,"5/2010, il Programma Integrato di Intervento denominato «Cremona City Hub» in Comune di Cremona, secondo la soluzione progettuale prospettata negli elaborati depositati dai Proponenti Comune di Cremona e di AEM Cremona s.p.a. a condizione che siano ottemperate le prescrizioni - che dovranno essere espressamente recepite nei successivi iter e provvedimenti di autorizzazione e approvazione del progetto stesso - contenute nel capitolo 9 della Relazione Istruttoria – Allegato A, parte integrante e sostanziale del presente decreto(omissis); 2. di demandare al tavolo di analisi delle ricadute ambientali del Programma Integrato di Intervento di cui al paragrafo 9.8.1 della Relazione Istruttoria – Allegato A(omissis), coordinato dal Comune di Cremona e con la partecipazione di ARPA, la verifica dell’ottemperanza delle prescrizioni del provvedimento, della corretta esecuzione delle attività di monitoraggio ambientale nelle fasi ante e post operam e di realizzazione degli interventi; 3. di trasmettere copia del presente decreto a Comune di Cremona e a AEM Cremona s.p.a.; 4. di informare contestualmente i seguenti soggetti dell’avvenuta decisione finale e delle modalità di reperimento della stessa: Provincia di Cremona; ARPA Lombardia; 5. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 6. di provvedere altresì alla pubblicazione del testo integrale del decreto e della Relazione Istruttoria, parte integrante e sostanziale, sul sito web della Regione Lombardia www.cartografia.regione.lombardia.it/silvia/; 7. contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R della Lombardia secondo le modalità di cui al d.lgs.",,
11,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
12,Il dirigente Filippo Dadone,,
