sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 35 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
3,"D.G. Ambiente, energia e sviluppo sostenibile D.d.s.",,
4,"4 febbraio 2014 - n. 716 Determinazioni in merito ai monitoraggi quantitativi nell’ambito delle sperimentazioni del deflusso minimo vitale in corso nel reticolo idrico naturale regionale IL DIRIGENTE DELLA STRUTTURA GESTIONE E REGOLAMENTAZIONE DEGLI USI DELLE ACQUE, SICUREZZA DEGLI INVASI Visti: • la Direttiva europea 2000/60/CE, che istituisce un quadro per l’azione comunitaria in materia di acque, prevedendo il raggiungimento entro il 2015 di obiettivi di qualità ecologica per le acque superficiali; • il d.p.c.m. del 8 febbraio 2013, con il quale è stato approvato il Piano di Gestione del distretto idrografico Padano, che costituisce: −− uno stralcio funzionale del Piano di bacino del distretto idrografico Padano, con valore di piano territoriale di settore; −− lo strumento conoscitivo, normativo e tecnico-operativo mediante il quale sono pianificate e programmate le azioni e le misure finalizzate a garantire il perseguimento degli scopi e degli obiettivi ambientali stabiliti dagli artt.",,
5,"1 e 4 della Direttiva 2000/60/CE; • il regolamento regionale n. 2 del 24 marzo 2006 «Disciplina sull’uso delle acque superficiali e sotterranee, dell’utilizzo delle acque a uso domestico, del risparmio idrico e del riutilizzo dell’acqua»; • il Programma di Tutela e Usi delle Acque in Lombardia (PTUA), approvato dalla Giunta Regionale con d.g.r. n. VIII/2244 del 29 marzo 2006; • le Direttive per l’adeguamento delle derivazioni al rilascio del deflusso minimo vitale, approvate dalla Giunta Regionale con d.g.r. n. VIII/6232 del 19 dicembre 2007; Richiamate le «Linee Guida per l’avvio di sperimentazioni sul deflusso minimo vitale in tratti del reticolo idrico naturale regionale», approvate con decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n. 9001 del 8 agosto 2008; Dato atto che a partire dal 2009 la Regione Lombardia ha avviato, ai sensi delle Linee Guida, una serie di sperimentazioni del deflusso minimo vitale allo scopo di determinare in modo sitospecifico i valori di DMV da applicare a valle delle opere di presa interessate;",,
6,"Considerato che nelle sperimentazioni la conoscenza delle portate in alveo presso le stazioni di monitoraggio biologico e chimico-fisico costituisce elemento di riferimento indispensabile per effettuare correttamente le valutazioni qualitative; Dato atto che per ciascuna sperimentazione, nell’ambito dei singoli tavoli tecnici formalmente istituiti dalla Regione, sono state fornite ai proponenti indicazioni operative per l’acquisizione, il calcolo e la gestione dei dati di portata; Ritenuto opportuno formalizzare le suddette indicazioni, in modo da uniformarne i contenuti per tutte le sperimentazioni e garantire la coerente e completa disponibilità di informazioni sul regime delle portate, in funzione sia delle caratteristiche dei corsi d’acqua oggetto di sperimentazione, sia degli usi della risorsa idrica; Considerato l’incarico assegnato dalla Regione Lombardia a FLA (Fondazione Lombardia per l’Ambiente) relativo a «Realizzazione di attività di ricerca e supporto tecnico-scientifico alla valutazione delle sperimentazioni del deflusso minimo vitale», inserito nella Raccolta Convenzioni e Contratti della Struttura Acquisti, Contratti e Patrimonio in data 22 novembre 2012 al n. 17260/RCC; Considerato che a questo scopo con la collaborazione di FLA sono state predisposte apposite «Specifiche tecniche per il modello dei deflussi» (Allegato 1 al presente decreto); Dato atto che il documento, i cui contenuti sono stati trattati nei singoli tavoli tecnici, è già stato inviato ai soggetti proponenti delle sperimentazioni con comunicazione del 19 dicembre 2013; Vista la legge regionale 7 luglio 2008, n. 20 «Testo unico delle leggi regionali in materia di organizzazione e personale»; Atteso che il presente provvedimento rientra tra le competenze della Struttura Regolamentazione e Gestione degli Usi delle Acque, Sicurezza degli Invasi, individuate dalla d.g.r. n. X/87 del 29 aprile 2013 («II Provvedimento Organizzativo 2013»), con la quale è stato inoltre affidato all’Ing. Anna Maria Ribaudo l’incarico di Dirigente dalla Struttura stessa: DECRETA 1. di approvare le «Specifiche tecniche per il modello dei deflussi» (Allegato 1); 2. di pubblicare sul BURL il presente decreto, comprensivo dell’allegato, attestando che lo stesso non è soggetto agli obblighi di pubblicazione di cui agli artt.",,
7,26 e 27 del d.lgs. n. 33/2013.,,
8,Il dirigente Anna Maria Ribaudo,,
9,——— • ——— ALLEGATO 1 SPERIMENTAZIONI DEL DEFLUSSO MINIMO VITALE SUL RETICOLO IDRICO NATURALE REGIONALE SPECIFICHE TECNICHE PER IL MODELLO DEI DEFLUSSI,,
10,Sommario 1 2,,
