sentence number,sentence,value (0/1)
1,– 24 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Lunedì 27 gennaio 2014,,
4,"D.G. Ambiente, energia e sviluppo sostenibile D.d.s.",,
5,21 gennaio 2014 - n. 304 Progetto di arginatura maestra in sponda destra del fiume Po.,,
6,Proponente: comune di San Cipriano Po.,,
7,"Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
8,152/2006 e della l. r. 5/2010 IL DIRIGENTE DELLA STRUTTURA VALUTAZIONE DI IMPATTO AMBIENTALE OMISSIS DECRETA 1. di escludere dalla procedura di valutazione d’impatto ambientale - ai sensi del d.lgs.,,
9,152/2006 e della l.r.,,
10,"5/2010 - il progetto di arginatura maestra in sponda destra del fiume Po presentato dal proponente Comune di San Cipriano Po, a condizione che siano ottemperate le seguenti prescrizioni, che dovranno essere espressamente recepite nei successivi provvedimenti di autorizzazione e approvazione del progetto in parola: a. ferma restando l’applicazione di tutti gli accorgimenti progettuali e le misure di prevenzione e mitigazione degli impatti individuati e proposti nello studio preliminare ambientale, in sede di progettazione esecutiva siano dettagliati: • le analisi geotecniche finalizzate a garantire la stabilità dell’opera e garantire il massimo livello di sicurezza nei confronti degli eventi di piena, secondo le prescrizioni del PAI e le indicazioni dell’Agenzia interregionale per il Po (AIPO); • un piano della cantierizzazione che definisca la localizzazione, l’approntamento, la gestione [rumore, polveri, movimento e stoccaggio dei materiali e dei rifiuti, gestione delle acque] e la sistemazione finale delle aree di cantiere, la viabilità di accesso ed il cronoprogramma dei lavori; • una puntuale analisi previsionale dell’impatto acustico e vibrazionale relativo alla fase di costruzione, verificando la conformità ai limiti del piano comunale di zonizzazione acustica con riguardo agli effetti indotti dalla movimentazione delle macchine operatrici e del trasporto dei materiali sui recettori all’intorno; • le modalità di gestione di sversamenti accidentali nelle aree di cantiere e lungo i percorsi di accesso; b. nella stessa sede inoltre - in accordo con i competenti Uffici della Provincia di Pavia – siano: • quantificate le superfici a bosco da rimuovere per la realizzazione dell’intervento e dettagliato il piano di ripristino e compensazione in ottemperanza a quanto disposto dalla d.g.r.",,
11,"8/675 del 21 settembre 2005; • dettagliate le modalità di inserimento paesaggistico delle opere e di esecuzione dei ripristini, anche in funzione dell’autorizzazione paesaggistica ai sensi del d.lgs.",,
12,42/2004 e secondo le competenze definite dall’art.,,
13,80 della l.r.,,
14,"12/2005, anche verificando la possibilità di utilizzare tecniche di ingegneria naturalistica (d.g.r.",,
