sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 17 – Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014,,
3,D.G. Salute D.d.s.,,
4,"4 febbraio 2014 - n. 694 Indirizzi per la realizzazione dei controlli ufficiali sulla presenza di organismi geneticamente modificati negli alimenti in Regione Lombardia – Anno 2014 IL DIRIGENTE DELLA STRUTTURA TUTELA DELLA PERSONA, PROMOZIONE DELLA SALUTE E IGIENE DEGLI ALIMENTI Visto il regolamento (CE) n. 1829 del 22 settembre 2003 relativo agli alimenti e ai mangimi geneticamente modificati; Visto il regolamento (CE) n. 1030 del 22 settembre 2003 concernente la tracciabilità e l’etichettatura di organismi geneticamente modificati e la tracciabilità di alimenti e mangimi ottenuti da organismi geneticamente modificati, nonché recante modifica della direttiva 2001/18/CE; Visto il Piano Nazionale Integrato (PNI/MANCP) 2011 – 2014, redatto ai sensi del Titolo V del regolamento (CE) n. 882/2004; Visto il Piano nazionale di controllo ufficiale sulla presenza di organismi geneticamente modificati (OGM) negli alimenti – anni 2012 – 2014, trasmesso dal Ministero della Salute con nota n. 40795 del 22 Dicembre 2011; Visto il d.l.",,
5,"9 febbraio 2012, n. 5 Disposizioni urgenti in materia di semplificazione e di sviluppo, convertito con modificazioni dalla l. 4 aprile 2012, n. 35; Vista la legge regionale 20/2008 nonché i provvedimenti organizzativi della X Legislatura ed in particolare la d.g.r. n. 87 del 29 aprile 2013 e i decreti del Segretario Generale n. 7110 del 25 luglio 2013 e n. 99 del 10 gennaio 2014; Viste • la d.g.r.",,
6,"30 Maggio 2007, n. VIII/4799 l.r. n. 8/2007 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
7,Collegato» – Attuazione art.,,
8,"6, comma 2 e la circolare n. 32/ SAN/07 del 18 ottobre 2007 «Indicazioni operative per la predisposizione e presentazione dei piani integrati delle attività di prevenzione e dei controlli ex d.g.r.",,
9,"4799/07» con le quali sono state date direttive alle ASL per avviare la revisione delle attività di prevenzione e per impostare la loro pianificazione secondo la metodologia della analisi e graduazione di rischi, della trasversalità e dell’integrazione; • la d.g.r.",,
10,"29 Dicembre 2010, n. IX/1175 Piano regionale della Prevenzione 2010 – 2012, aggiornato per l’anno 2013 con d.g.r. n. X/199 del 31 Maggio 2013 nella quale sono riportate le indicazioni per la programmazione dei controlli per quanto riguarda la sicurezza alimentare al fine della tutela del consumatore; • la d.c.r.",,
11,"9 Luglio 2013, n. X/78 «Programma regionale di sviluppo della X Legislatura», che ha tra gli obiettivi il sostegno e il coordinamento dell’attività di controllo per la tutela e la sicurezza del lavoratore, del consumatore e del cittadino;",,
12,"zioni in ordine all’individuazione dei Laboratori Regionali di Riferimento e all’aggiornamento del catalogo generale e del tariffario delle prestazioni analitiche offerte dai Laboratori di Prevenzione a servizio delle ASL, di cui alla d.g.r. n. IX/4441 del 28 novembre 2012»; Richiamato l’art 25 del d.lgs.",,
13,"33/2013 (Obblighi di pubblicazione concernenti i controlli sulle imprese) che prevede che le ASL, nella qualità di autorità deputate al controllo, inseriscano la tipologia dei controlli in oggetto nella lista dei controlli pubblicata sul proprio sito, unitamente all’indicazione dei criteri e delle modalità di svolgimento delle relative attività e all’elenco degli obblighi e degli adempimenti che le imprese sono tenute a rispettare per ottemperare alle disposizioni normative; Considerato che il Piano regionale dei controlli ufficiali sulla presenza di Organismi Geneticamente Modificati negli alimenti è stato inserito dal 2009 tra gli indicatori utilizzati per la certificazione degli obblighi informativi delle regioni, oggetto di valutazione da parte del «Tavolo di verifica degli adempimenti», istituito con l’art.",,
