sentence number,sentence,value (0/1)
1,–2–,,
2,Bollettino Ufficiale,,
3,"Supplemento n. 4 - Giovedì 23 gennaio 2014 Legge regionale 20 gennaio 2014 - n. 1 Modifiche ed integrazioni alla legge regionale 16 luglio 2007, n. 16 (Testo unico delle leggi regionali in materia di istituzione di parchi) – Ampliamento dei confini del Parco regionale della Valle del Lambro.",,
4,Norme di salvaguardia nelle aree oggetto di ampliamento dei confini dei parchi regionali e naturali IL CONSIGLIO REGIONALE ha approvato IL PRESIDENTE DELLA REGIONE promulga la seguente legge regionale:,,
5,Art.,,
6,1 (Ampliamento del parco regionale della Valle del Lambro) 1.,,
7,"Il parco regionale della Valle del Lambro è ampliato nelle aree del comune di Cassago Brianza, individuate nella planimetria di cui al comma 2.",,
8,2.,,
9,"I confini del parco regionale e del parco naturale della Valle del Lambro sono individuati nella planimetria «Parco della Valle del Lambro», in scala 1:10.000, allegata alla presente legge, che sostituisce le precedenti.",,
10,Art.,,
11,2 (Modifiche ed integrazioni alla l.r.,,
12,16/2007) 1.,,
13,"Alla legge regionale 16 luglio 2007, n. 16 (Testo unico delle leggi regionali in materia di istituzione di parchi), sono apportate le seguenti modifiche: a) al comma 1 dell’articolo 75 dopo la parola «Casatenovo,» sono aggiunte le parole «Cassago Brianza,»; b) dopo l’articolo 75 è inserito il seguente: «Art.",,
14,75 bis (Disposizioni relative all’ampliamento dei confini del parco regionale) 1.,,
15,"Nelle aree oggetto di ampliamento del parco della Valle del Lambro nel comune di Cassago Brianza si applica quanto previsto dall’articolo 206 bis, commi 2, 3 e 5.»; c) dopo l’articolo 206 è aggiunto il seguente: «Art.",,
16,206 bis (Modifiche dei confini dei parchi.,,
17,Norme di salvaguardia) 1.,,
18,"Salvo quanto previsto dall’articolo 17, comma 3, della l.r.",,
19,"86/1983, le modifiche dei confini dei parchi regionali e naturali sono approvate con legge regionale, ai sensi degli articoli 16 bis e 16 ter della l.r.",,
20,86/1983.,,
21,2.,,
22,"La gestione delle aree oggetto di ampliamento, di cui al comma 1, è affidata all’ente gestore del parco i cui confini risultano ampliati.",,
23,3.,,
24,"Nelle aree oggetto di ampliamento dei confini del parco regionale approvato con o anche dopo l’entrata in vigore della legge recante «Modifiche ed integrazioni alla legge regionale 16 luglio 2007, n. 16 (Testo unico delle leggi regionali in materia di istituzione di parchi) - Ampliamento dei confini del parco regionale della Valle del Lambro.",,
25,"Norme di salvaguardia nelle aree oggetto di ampliamento dei confini dei parchi regionali e naturali», fatte salve le previsioni più restrittive previste dagli strumenti urbanistici vigenti, si applicano le norme di salvaguardia di cui al comma 5, fino alla data di adozione della proposta di piano territoriale di coordinamento e comunque per non oltre due anni dalla data di entrata in vigore della legge di modifica dei confini del parco.",,
26,4.,,
27,"Nelle aree oggetto di ampliamento dei confini del parco naturale approvato dopo l’entrata in vigore della legge recante «Modifiche ed integrazioni alla legge regionale 16 luglio 2007, n. 16 (Testo unico delle leggi regionali in materia di istituzione di parchi) - Ampliamento dei confini del parco regionale della Valle del Lambro.",,
28,Norme di salvaguardia nelle aree oggetto di ampliamento dei confini dei parchi regionali e naturali» si applicano le norme di salvaguardia e i divieti previsti dalla legge istitutiva.,,
29,5.,,
30,"All’esterno del perimetro del tessuto urbano consolidato come definito dal piano delle regole, nelle aree costituenti l’ampliamento del parco, non sono consentiti:",,
31,"a) l’apertura di nuove cave o miniere e la realizzazione di nuove discariche di rifiuti; b) la realizzazione di depositi permanenti o temporanei di materiali dismessi, fatte salve le attività agro-silvo-pastorali e le forme autorizzate di raccolta; c) il livellamento dei terrazzi e dei declivi; d) la realizzazione di interventi che modifichino il regime idrico o la composizione delle acque, fatti salvi i prelievi funzionali alle attività agro-silvo-pastorali, al consumo umano o al mantenimento di un corretto assetto idraulico; e) la trasformazione dei boschi, fatti salvi gli interventi finalizzati alla realizzazione di interventi funzionali all’arricchimento della biodiversità o di opere di viabilità agro-silvo-pastorale, di allacciamenti tecnologici, alla realizzazione di opere pubbliche e di collegamento viario a edifici esistenti o per la costruzione degli edifici strettamente pertinenti alla conduzione dei fondi agricoli; f) la costruzione di nuovi edifici ad eccezione, nelle aree destinate all’agricoltura dal documento di piano, di quelli strettamente pertinenti alla conduzione dei fondi agricoli nel rispetto delle disposizioni di cui alla parte II, titolo III, della l.r.",,
32,"12/2005.»; d) all’ALLEGATO A, in corrispondenza del riferimento al parco della Valle del Lambro, è inserita, nella colonna «Leggi di modifica», l’indicazione «Legge regionale (Modifiche ed integrazioni alla legge regionale 16 luglio 2007, n. 16 «Testo unico delle leggi regionali in materia di istituzione di parchi» - Ampliamento dei confini del parco regionale della Valle del Lambro.",,
33,"Norme di salvaguardia nelle aree oggetto di ampliamento dei confini dei parchi regionali e naturali)», unitamente agli estremi della legge stessa.",,
34,La presente legge regionale è pubblicata nel Bollettino ufficiale della Regione.,,
35,E’ fatto obbligo a chiunque spetti di osservarla e farla osservare come legge della Regione Lombardia.,,
36,"Milano, 20 gennaio 2014 Roberto Maroni (Approvata con deliberazione del Consiglio regionale n. X/266 del 14 gennaio 2014)",,
37,Bollettino Ufficiale,,
38,–3– Supplemento n. 4 - Giovedì 23 gennaio 2014 ALLEGATO,,
39,–4– Supplemento n. 4 - Giovedì 23 gennaio 2014,,
40,Bollettino Ufficiale,,
41,Bollettino Ufficiale,,
42,–5– Supplemento n. 4 - Giovedì 23 gennaio 2014,,
43,–6– Supplemento n. 4 - Giovedì 23 gennaio 2014,,
44,Bollettino Ufficiale,,
