sentence number,sentence,value (0/1)
1,– 18 – Serie Ordinaria n. 5 - Lunedì 27 gennaio 2014 D.d.u.o.,,
2,"22 gennaio 2014 - n. 330 Modalità di applicazione in Regione Lombardia del decreto ministeriale 29 febbraio 2012 “Misure di emergenza per la prevenzione, il controllo e l’eradicazione del cancro colorato causato da Ceratocystis fimbriata” IL DIRIGENTE DELL’UNITA’ ORGANIZZATIVA SVILUPPO DI INDUSTRIE E FILIERE AGROALIMENTARI Vista la direttiva 2000/29/CE del Consiglio, del 8 maggio 2000, concernente le misure di protezione contro l’introduzione nella Comunità di organismi nocivi ai vegetali o ai prodotti vegetali e contro la loro diffusione nella Comunità, e successive modificazioni; Vista la direttiva 2002/89/CE del Consiglio, del 28 novembre 2002, che modifica la direttiva 2000/29/CE concernente le misure di protezione contro l’introduzione nella Comunità di organismi nocivi ai vegetali o ai prodotti vegetali e contro la loro diffusione nella Comunità; Visto il decreto legislativo 19 agosto 2005, n. 214: «Attuazione della direttiva 2002/89/CE concernente misure di protezione contro l’introduzione nella Comunità di organismi nocivi ai vegetali o ai prodotti vegetali»; Visto il decreto Ministeriale 29 febbraio 2012, «Misure di emergenza per la prevenzione, il controllo e l’eradicazione del cancro colorato del platano causato da Ceratocystis.fimbriata»; Visto il decreto n. 3141 del 11 aprile 2013 «Delimitazione del territorio della Regione Lombardia in applicazione del Decreto ministeriale 29 febbraio 2012 <Misure di emergenza per la prevenzione, il controllo e l’eradicazione del cancro colorato causato da Ceratocystis fimbriata>»; Considerata: • la necessità di comunicare alle amministrazioni pubbliche ed ai cittadini le modalità di applicazione delle misure di emergenza contro la diffusione del cancro colorato del platano in Lombardia; • la necessità di comunicare il ruolo del Servizio Fitosanitario Regionale nell'ambito dell'applicazione delle misure fitosanitarie previste contro la diffusione del cancro colorato del platano; Ritenuto pertanto necessario emanare le procedure regionali, così come indicato nell’allegato A composto da n. 8 pagine, quale parte integrante del presente atto, per l’applicazione delle misure fitosanitarie previste per la lotta al cancro colorato del platano in Lombardia; Considerato che il presente provvedimento rientra tra le competenze della Struttura individuate dalla d.g.r. n. 87 del 29 aprile 2013 e dal Decreto del Segretario Generale n. 7110 del 25 luglio 2013; Visto l’articolo 17 della l.r. n. 20 del 7 luglio 2008 nonché i provvedimenti organizzativi della X legislatura; DECRETA 1. di approvare le «Modalità di applicazione in Regione Lombardia del decreto ministeriale 29 febbraio 2012 «Misure di emergenza per la prevenzione, il controllo e l’eradicazione del cancro colorato causato da Ceratocystis fimbriata», così come indicato nell’allegato A composto da n. 8 pagine quale parte integrante del presente atto; 2. di prevedere la pubblicazione del presente atto sul BURL.",,
3,Il dirigente dell’unità organizzativasviluppo di industrie e filiere agroalimentari Federico Giovanazzi ——— • ———,,
4,Bollettino Ufficiale,,
5,Bollettino Ufficiale,,
6,– 19 – Serie Ordinaria n. 5 - Lunedì 27 gennaio 2014 ALLEGATO A,,
7,"MODALITÀ DI APPLICAZIONE IN REGIONE LOMBARDIA DEL DECRETO MINISTERIALE 29 FEBBRAIO 2012 “MISURE DI EMERGENZA PER LA PREVENZIONE, IL CONTROLLO E L’ERADICAZIONE DEL CANCRO COLORATO CAUSATO DA CERATOCYSTIS FIMBRIATA”",,
8,1.,,
9,PREMESSA La malattia nota come “cancro colorato del platano” è causata dal fungo ascomicete Ceratocystis fimbriata f. sp. platani e ha come ospiti unicamente piante appartenenti al genere Platanus.,,
10,"Tale microrganismo può diffondersi da una pianta infetta ad altre sane penetrando, mediante le spore, all’interno dei tessuti vegetali attraverso ferite (tagli di potatura, lesioni accidentali, ecc.) o con il micelio tramite anastomosi radicale (fusione di radici di alberi contigui).",,
11,"Una volta insediatosi, il patogeno colonizza rapidamente i tessuti circostanti necrotizzandoli e originando il cancro, rappresentato da una lesione depressa, in corrispondenza della quale la corteccia si fessura longitudinalmente acquistando una colorazione anomala.",,
12,"Il legno sottostante assume una tonalità marrone scuro, inizialmente a macchie (“macchie di leopardo”) poi confluenti.",,
13,"Conseguenza dell’attacco fungino è il disseccamento totale o parziale della chioma, accompagnato spesso da riscoppi vegetativi basali.",,
14,La malattia provoca la morte delle piante colpite nel volgere di una o poche stagioni vegetative.,,
15,"Con la presente circolare vengono precisati i criteri da adottare in caso di rinvenimento di focolai di “cancro colorato” e nella gestione delle alberature di platano, al fine di limitare la diffusione di C. fimbriata.",,
16,2.,,
17,CONTROLLI La lotta al “cancro colorato” è obbligatoria.,,
18,"In regione Lombardia gli accertamenti per verificare la presenza del “cancro colorato del platano” sono effettuati dal Servizio fitosanitario regionale (SFR) su iniziativa propria (monitoraggio) o a seguito di segnalazioni o specifiche richieste da parte dei proprietari delle piante (Enti pubblici, Enti privati o privati cittadini).",,
19,"Regione Lombardia con proprio atto ha suddiviso il territorio regionale in tre tipologie di zone: zone indenni: aree dove la malattia non è mai stata riscontrata o, in caso di sua presenza nel passato, la stessa è da considerarsi eradicata; zone focolaio: aree dove la presenza di cancro colorato è stata accertata ufficialmente dal SFR e dove si ritiene tecnicamente possibile prevederne l’eradicazione; zone di contenimento: area in cui la presenza della malattia è diffusa in maniera tale da non poterne prevedere più l’eradicazione; 3.",,
20,OBBLIGHI NELLE VARIE ZONE 3.1.,,
21,"Zone indenni Ogni intervento previsto sui platani, interessante sia l’apparato aereo (potature, spollonature, abbattimenti, ceduature, ecc.), sia l’apparato radicale (scavi) è libero e non è vincolato all’ottenimento preventivo di alcuna autorizzazione da parte del SFR.",,
22,"Al momento dell’esecuzione dei lavori è necessario notificare al SFR l’inizio delle attività, specificando la data, il tipo di intervento e la località in cui si trovano le piante, utilizzando l’apposito modulo (allegato 1).",,
23,"Tale comunicazione, salvo diversa disposizione del SFR, avrà funzione di autorizzazione alla circolazione del legname e sostituirà il “passaporto delle piante”; Copia della stessa dovrà accompagnare, in caso di spostamento, il materiale di risulta dal luogo di taglio a quello di smaltimento.",,
24,"Nell’effettuazione dei lavori di potatura dovranno essere rispettati i periodi stabiliti, individuati nella stagione invernale dal 1° dicembre al 31 marzo, salvo deroghe previste in caso di comprovata urgenza.",,
25,Tali deroghe dovranno essere richieste al SFR e adeguatamente motivate e documentate.,,
26,Abbattimenti ed esecuzione di interventi a livello radicale potranno essere effettuati senza limiti temporali.,,
27,"Le potature dovranno essere limitate ai casi di effettiva necessità, evitando, quando possibile, di effettuare tagli drastici quali capitozzature o tagli orizzontali.",,
28,"Le superfici di taglio, se superiori ai 10 cm di diametro, dovranno essere ricoperte con prodotti ad azione cicatrizzante e fungistatica.",,
29,"Nel passaggio da una pianta all’altra gli attrezzi utilizzati nelle operazioni di taglio dovranno essere disinfettati con sali di ammonio quaternario all’1%, alcol etilico al 75% o ipoclorito di sodio al 2%.",,
30,Le operazioni di scavo in prossimità dei platani dovranno limitare il più possibile tagli e ferite all’apparato radicale.,,
31,A tal fine è necessario effettuare gli scavi a una congrua distanza dal colletto delle piante.,,
32,In caso di recisione di grosse radici è necessario procedere alla disinfezione delle superfici di taglio con apposita soluzione disinfettante.,,
33,Analogamente dovranno essere disinfettati gli attrezzi utilizzati per l’effettuazione degli scavi.,,
34,Nelle zone indenni la messa a dimora di nuove piante di platano non è vincolata ad alcuna restrizione.,,
35,3.2.,,
36,"Zone focolaio Tutti gli interventi sui platani quali abbattimenti, potature e recisioni radicali devono essere comunicati preventivamente al SFR.",,
37,"Decorsi 30 giorni dalla richiesta, in assenza di comunicazioni da parte del SFR, si applica il principio del silenzio-assenso e gli interventi potranno essere realizzati.",,
38,"Nel caso il SFR riscontri la presenza di piante infette, provvederà a ordinare l’abbattimento di ogni platano colpito da “cancro colorato” e i relativi platani adiacenti (cioè esemplari che, per dimensioni e distanza dalla pianta diagnosticata infetta, possano far presumere un’estensione radicale tale da poter venire a contatto con le radici della pianta infetta), ai sensi dell’articolo 6 del d.m.",,
39,"29 febbraio 2012, notificando la misura ufficiale al proprietario delle piante o per mano dell’ispettore fitosanitario o tramite raccomandata A/R o tramite P.E.C. Il materiale di risulta dovrà essere eliminato con modalità atte a ridurre i rischi di contagio agli altri platani presenti.",,
40,3.2.1.,,
41,Abbattimenti Le operazioni di abbattimento delle piante infette dovranno essere effettuate in assenza di pioggia e vento nei seguenti periodi: 1° luglio-31 agosto 1° dicembre-31 marzo In ogni caso le piante infette dovranno essere eliminate prima dell’inizio della stagione vegetativa successiva alla notifica della misura ufficiale.,,
42,"Tutte le operazioni dovranno essere effettuate a spese e a cura dei proprietari o dei conduttori a qualunque titolo, ai sensi dell’art.",,
43,56 del decreto legislativo n. 214 del 19 agosto 2005 e successive modifiche.,,
44,– 20 –,,
45,Bollettino Ufficiale,,
46,Serie Ordinaria n. 5 - Lunedì 27 gennaio 2014 È facoltà del SFR concedere deroghe al periodo indicato per gli abbattimenti.,,
47,La richiesta di deroga dovrà pervenire in forma scritta all’indirizzo e secondo le modalità indicate al punto 4 e dovrà essere adeguatamente motivata e documentata.,,
48,"Al SFR dovranno essere comunicati mediante apposito modulo (allegato 2), almeno due giorni lavorativi antecedenti l’inizio delle operazioni di abbattimento, la data di inizio dei lavori, il nominativo della ditta incaricata di effettuare le operazioni; la procedura di smaltimento del materiale di risulta.",,
49,"In fase di abbattimento dovranno essere rispettate le seguenti norme. a. effettuare gli abbattimenti a partire dalle piante adiacenti e procedendo verso quelle infette; b. ove possibile chiudere al traffico veicolare e pedonale la zona interessata; c. garantire la costante sorveglianza del cantiere onde evitare la possibile sottrazione di materiale infetto; d. ricoprire il terreno circostante le piante da abbattere con robusti teli di plastica, allo scopo di raccogliere la maggior quantità possibile di segatura e materiale di risulta, riservando alle operazioni di abbattimento tutta la superficie necessaria a contenere la ricaduta della segatura.",,
50,"Su superfici asfaltate o cementate è consentito, in alternativa o in aggiunta, l’uso di aspiratori.",,
51,"I teli utilizzati dovranno essere smaltiti in discarica e non potranno essere riutilizzati per nuove operazioni di abbattimento; e. ridurre al minimo la dispersione della segatura infetta, effettuando il minor numero possibile di tagli, soprattutto in corrispondenza delle porzioni infette.",,
52,"Ove possibile è opportuno utilizzare motoseghe attrezzate per il recupero della segatura; f. dopo il taglio delle piante infette procedere all’estirpazione delle ceppaie tramite cavaceppi o ruspe, procedendo alla successiva disinfezione delle buche.",,
53,"Qualora l’estirpazione della ceppaia fosse impossibile il ceppo e le radici andranno devitalizzati e tagliati almeno 20 cm sotto il livello del suolo, procedendo poi alla disinfezione delle buche.",,
54,"È, al contrario, vietato l’uso di fresatrici; g. al termine delle operazioni tutta la zona interessata dalla ricaduta di segatura e di materiale legnoso dovrà essere ripulita e disinfettata con prodotti idonei; h. analogamente dovranno essere disinfettati tutti gli attrezzi utilizzati per l’esecuzione dei tagli con sali di ammonio quaternario all’1%, alcol etilico al 75% o ipoclorito di sodio al 2%.",,
55,Le piante infette soggette a vincoli per altre norme sono comunque da abbattere.,,
56,Il proprietario dovrà segnalare al SFR eventuali vincoli.,,
57,Il SFR può dare deroghe per piante adiacenti oppure per piante infette di particolare pregio.,,
58,3.2.2.,,
59,"Smaltimento del legname Tutte le operazioni di smaltimento del legname derivante dagli abbattimenti delle piante infette e di quelle adiacenti sono a carico dei proprietari o dei conduttori a qualunque titolo, ai sensi dell’art.",,
60,56 del decreto legislativo n. 214 del 19 agosto 2005.,,
61,"Essi dovranno comunicare al SFR, mediante lo stesso modulo utilizzato per la comunicazione dell’inizio dei lavori di abbattimento (allegato 2): il luogo di destinazione del legname derivante dagli abbattimenti; la modalità di smaltimento del legname; la modalità di smaltimento del legname minuto (ramaglia e segatura); il peso complessivo del materiale da smaltire.",,
62,L’eliminazione del materiale abbattuto dovrà avvenire entro e non oltre le 48 ore successive al taglio all’interno della zona focolaio.,,
63,Qualora ciò non fosse possibile il SFR autorizzerà il trasporto del suddetto materiale in altro luogo.,,
64,3.2.3.,,
65,Trasporto del legname Prima del trasporto il materiale derivante dagli abbattimenti delle piante infette e di quelle adiacenti dovrà essere sottoposto a disinfezione con sali di ammonio quaternario o ossicloruro di rame.,,
66,Il materiale dovrà essere trasportato utilizzando camion telonati o chiusi oppure coperto con robusti teloni onde evitare la dispersione della segatura nell’ambiente.,,
67,"I mezzi che trasportano il materiale derivante dalle operazioni di abbattimento dovranno essere muniti di apposita autorizzazione rilasciata dal SFR, secondo quanto previsto dall’art.",,
68,15 del decreto legislativo 214/2005. tale autorizzazione è costituita dall’ordinanza di abbattimento o dalla sua copia fotostatica.,,
69,"Il materiale infetto dovrà essere smaltito secondo una delle modalità di seguito descritte e i proprietari delle piante dovranno comunicare le modalità e il luogo di smaltimento al SFR tramite apposita modulistica (allegato 2): a. distruzione tramite il fuoco sul luogo dell’abbattimento o in area appositamente individuata nei pressi, ma sufficientemente lontana da altre piante appartenenti al genere Platanus; b. incenerimento mediante combustione in impianti quali inceneritori dei rifiuti o centrali termiche .",,
70,"Copia della dichiarazione di avvenuto smaltimento dovrà essere inviata al SFR; c. conferimento a industrie per la trasformazione in carta/cartone, pannelli truciolati, tranciati o sfogliati dopo adeguato trattamento termico.",,
