sentence number,sentence,value (0/1)
1,– 18 –,,
2,Bollettino Ufficiale,,
3,"Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014 sione dell’attività e richiedere, ove necessario, una modifica del riconoscimento medesimo; 3. di disporre la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e di trasmettere copia all’ente gestore interessato, e alla ASL territorialmente competente.",,
4,II direttore generale Giovanni Daverio D.d.g.,,
5,"29 gennaio 2014 - n. 519 Riconoscimento di ente unico per la gestione di una pluralità di unità di offerta socio sanitarie per il seguente ente gestore: «Cooperativa Sociale Nikolajewka Onlus», con sede legale in Brescia, via Nikolajewka, n. 15 CF 01046690176 IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Visti: −− il d.lgs.",,
6,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; −− il d.p.r.",,
7,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; −− la l.r.",,
8,"5 gennaio 2000, n. 1 «Riordino del sistema delle autonomie in Lombardia.",,
9,Attuazione del d.lgs.,,
10,"31 marzo 1998, n. 112»; −− i dd.p.c.m.",,
11,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; −− la l.r.,,
12,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
13,Collegato»; −− la l.r.,,
14,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario»; −− la l.r.",,
15,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; −− la d.c.r.",,
