sentence number,sentence,value (0/1)
1,–6–,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014 D.g.r.,,
4,"30 gennaio 2014 - n. X/1314 Approvazione del Programma 2014 per il contrasto, la prevenzione e la riduzione del rischio della dipendenza dal gioco patologico LA GIUNTA REGIONALE Vista la legge regionale 21 ottobre 2013 - n. 8, «Norme per la prevenzione e il trattamento del gioco d’azzardo patologico»,con cui la Regione Lombardia ha voluto dotarsi di uno strumento legislativo specifico per la prevenzione, il contrasto e la cura del gioco d’azzardo patologico; Visto che la medesima legge prevede:",,
5,"mazione regionale tramite la realizzazione del Programma annuale per il contrasto, la prevenzione e la riduzione del rischio della dipendenza da gioco patologico;",,
6,"• all’articolo 4 punto b)che lo stesso programma, debba",,
7,"essere approvato entro il 31 gennaio di ogni anno, con deliberazione della Giunta Regionale e successiva comunicazione al Consiglio Regionale;",,
8,"Considerato che quanto emerso dagli Osservatori Territoriali delle ASL lombarde, mostra che la patologia del gioco d’azzardo tocca vaste fasce di popolazione di tutte le età e genere; Considerato che il fenomeno ha una ricaduta importante sia in termini economici che sociali, soprattutto sulle fasce più deboli della popolazione e che la Lombardia è tra le regioni italiane con la maggior spesa pro capite per il gioco d’azzardo; Richiamate:",,
9,"• la d.c.r. del 9 luglio 2013 n. 78, «Programma Regionale di Sviluppo della X Legislatura» che prevede, all’interno del capitolo «Programmazione e governo della rete dei servizi sociosanitari e sociali», di sostenere gli interventi di prevenzione e cura delle ludopatie, allo scopo di proteggere e tutelare soprattutto le categorie più deboli (giovani, anziani, disoccupati, etc.), che rappresentano i soggetti più colpiti da quella che è ormai una malattia sociale vera e propria;",,
10,"• la d.g.r. del 17 novembre 2010, n. 88, che approva il Piano Socio Sanitario Regionale 2010 – 2014 dove, al paragrafo dedicato alle Dipendenze, è prevista una serie di azioni prioritarie sui nuovi bisogni emergenti, attraverso la formulazione di piani/programmi regionali d’intervento, con la promozione di patti territoriali tra le diverse istituzioni per la presa in carico e il reinserimento delle persone con problemi di dipendenza e con il coinvolgimento delle realtà associative di aiuto e auto-aiuto delle famiglie delle persone con problemi di dipendenza;",,
11,• la d.g.r.,,
12,"25 ottobre 2012, n. 4225 di adozione del Piano",,
13,"Azione Regionale Dipendenze, che richiama l’attenzione sul modificarsi dei comportamenti legati al consumo, all’abuso e alla dipendenza anche senza sostanze, che originano domande di aiuto e di presa in carico e, rispetto alle quali, l’attuale sistema di intervento necessita un adeguamento, differenziando gli interventi e le prestazioni in relazione ai bisogni delle persone, per garantire la continuità degli interventi stessi;",,
14,"Ritenuto di approvare, ai sensi della legge regionale 21 ottobre 2013, n. 8, il «Programma dell’anno 2014 per il contrasto, la prevenzione e la riduzione del rischio della dipendenza del gioco patologico» redatto dalle Direzioni Generali coinvolte, di cui all’allegato A), parte integrante e sostanziale del presente provvedimento; Ritenuto altresì di rinviare a successivi provvedimenti delle Direzioni Generali interessate la declinazione operativa, il coordinamento ed il monitoraggio delle diverse azioni, nonché l’individuazione delle risorse necessarie per dare piena attuazione al suddetto Programma 2014, sulla base delle disponibilità di bilancio regionale, precisando che le attività di prevenzione, conoscenza, informazione e presa in carico delle persone e delle loro famiglie verranno assicurate attraverso un’azione congiunta da parte della Direzione Generale Famiglia, Solidarietà Sociale e Volontariato e della Direzione Generale Salute; Dato atto che il presente provvedimento, ai sensi dell’art.",,
15,"4 c.1 a) della l.r. n. 8/2013 verrà comunicato al Consiglio Regionale; Ritenuto di pubblicare il presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul portale web della Direzione Generale Famiglia, Solidarietà Sociale e Volontariato;",,
16,"Vista la legge regionale n. 20/08 e successive modifiche e integrazioni nonché i provvedimenti organizzativi della X legislatura; A voti unanimi, espressi nelle forme di legge; DELIBERA 1. di approvare il denominato «Programma dell’anno 2014 per il contrasto, la prevenzione e la riduzione del rischio della dipendenza del gioco patologico», di cui all’Allegato A) parte integrante e sostanziale del presente provvedimento; 2. di rinviare a successivi provvedimenti delle Direzioni Generali interessate la declinazione operativa, il coordinamento ed il monitoraggio delle diverse azioni, nonché l’individuazione delle risorse necessarie per dare piena attuazione al suddetto Programma 2014, sulla base delle disponibilità di bilancio regionale, precisando che le attività di prevenzione, conoscenza, informazione e presa in carico delle persone e delle loro famiglie verranno assicurate attraverso un’azione congiunta da parte della Direzione Generale Famiglia, Solidarietà Sociale e Volontariato e della Direzione Generale Salute; 3. di comunicare il presente atto al Consiglio regionale; 4. di pubblicare il presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul portale web della Direzione Generale Famiglia, Solidarietà Sociale e Volontariato.",,
17,II segretario: Marco Pilloni ——— • ———,,
18,Bollettino Ufficiale,,
19,"–7– Serie Ordinaria n. 6 - Venerdì 07 febbraio 2014 ALLEGATO A PROGRAMMA PER IL CONTRASTO, LA PREVENZIONE E LA RIDUZIONE DEL RISCHIO DELLA DIPENDENZA DA GIOCO D’AZZARDO PATOLOGICO",,
20,Allegato A),,
21,"PROGRAMMA PER IL CONTRASTO, LA PREVENZIONE E LA RIDUZIONE DEL RISCHIO DELLA DIPENDENZA DA GIOCO D’AZZARDO PATOLOGICO",,
