sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,–3– Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
3,"Avviso di rettifica Deliberazione giunta regionale 20 dicembre 2013 - n. X/1189 «Determinazioni in merito alla convenzione stipulata tra Regione Lombardia e Associazione nazionale mutilati e invalidi di Lombardia per la realizzazione del servizio informativo sull’handicap, sulla disabilità e sull’invalidità denominato ‘Sportello Disabili’ - Triennio 2011-2013 di cui alla d.g.r.",,
4,"IX/811 del 24 novembre 2010», pubblicata sul BURL n. 52 Serie Ordinaria del 24 dicembre 2013 All’ ALLEGATO 1 «Schema di convenzione fino al 30 aprile 2014 per il prosieguo del servizio informativo sull’handicap, sulla disabilità e sull’invalidità di Regione Lombardia come da convenzione allegata alla d.g.r.",,
5,"IX/811 del 24 novembre 2010» della d.g.r. richiamata in oggetto le parole: « …………………………Presidente di ANMIC-Lombardia, CF.………….……...., nella persona del legale rappresentante Sig……..…………., domiciliato per la carica presso la sede legale in…………....….., capofila del partenariato costituitosi in ATS ………………..come da dichiarazione di intenti allegata alla domanda di partecipazione al bando;» sono così sostituite: “ANMIC-Lombardia, CF. …………, nella persona del legale rappresentante ………., domiciliato per la carica presso la sede legale in via ………………, capofila del partenariato costituitosi in ATS ……………. come da dichiarazione di intenti allegata alla domanda di partecipazione al bando;”.",,
6,B) PRESIDENTE DELLA GIUNTA REGIONALE D.p.g.r.,,
7,3 febbraio 2014 - n. 654 Costituzione della Commissione di controllo delle Aziende di servizi alla persona IL PRESIDENTE DELLA REGIONE LOMBARDIA Viste: −− la l.r.,,
8,"13 febbraio 2003, N. 1 «Riordino della disciplina delle Istituzioni Pubbliche di Assistenza e Beneficenza operanti in Lombardia» e successive modifiche ed integrazioni, in particolare l’art.",,
9,15 c. 1; −− la l.r.,,
10,"7 luglio 2008, n. 20 e successive modifiche ed intregrazioni, nonché i provvedimenti organizzativi della decima legislatura; Richiamate: −− la d.g.r.",,
11,X/1044 del 5 dicembre 2013 avente ad oggetto «Determinazioni in attuazione degli articoli 12 e 15 della l.r.,,
12,1/2003» con la quale si è determinata anche la nuova composizione della Commissione di controllo delle ASP; −− la d.g.r.,,
13,X/1224 del 10 gennaio 2014 avente ad oggetto «Nomina dei componenti della Commissione di controllo delle Aziende di Servizi alla Persona« con la quale sono stati nominati i componenti della Commissione di controllo delle ASP; Visto il c. 1 dell’art.,,
14,15 della l.r.,,
15,"1/2003 il quale dispone la costituzione della Commissione di controllo delle ASP con decreto del Presidente della Giunta regionale; Dato atto, altresì, che la Commissione di controllo delle ASP si insedia entro 30 giorni dalla pubblicazione del presente decreto sul BURL; Stabilito che all’atto dell’insediamento della Commissione di controllo delle ASP, ciascun componente deve presentare una dichiarazione resa ai sensi del d.p.r.",,
16,"28 dicembre 2000, n. 445 e sue modifiche ed integrazioni, attestante l’accettazione dell’incarico, l’assenza di condizioni di incompatibilità all’incarico di cui al presente provvedimento, nonché l’assenza di conflitto di interessi come meglio specificati dalla d.g.r.",,
17,"X/1044/2013 - allegato A; Ricordato che l’incarico dei componenti della Commissione di controllo delle ASP decorre dalla data di insediamento sino al 31 dicembre 2015; Ricordato, altresì, che per effetto delle disposizioni della d.g.r.",,
18,"X/1044 del 5 dicembre 2013 la Segreteria della Commissione è composta da un dirigente con ruolo di Segretario e da un funzionario indicati dal Direttore Generale Famiglia, solidarietà sociale e volontariato; Vista la nota del Direttore Generale Famiglia, solidarietà sociale e volontariato prot.",,
19,"G1.2014.0000460 del 17 gennaio 2014 che individua i componenti della Segreteria della Commissione come di seguito indicato: Segretario: Dott. Davide Sironi, Dirigente Giunta Regione Lombardia Funzionario Segreteria: Daniela Ceriotti, Funzionario Giunta Regione Lombardia DECRETA 1 – di costituire, per le motivazioni addotte e secondo le modalità stabilite in premessa, la Commissione di controllo delle Aziende di Servizi alla Persona, composta come segue:  dott.",,
20,Paolo Diana Dirigente Giunta Regione Lombardia  dott.,,
21,Fabrizio De Vecchi Dirigente Giunta Regione Lombardia  dott.ssa Gianpaola Danelli Dirigente Giunta Regione Lombardia  dott.,,
22,Roberto Colangelo A.N.C.I. Lombardia  dott.,,
23,"Alberto Di Cataldo U.P.L. 2 – di stabilire che la Commissione di controllo si insedi entro 30 gg. dalla pubblicazione del presente provvedimento sul BURL; 3 – di dare atto che la Commissione di controllo delle Aziende di Servizi alla Persona deve rassegnare alla Direzione Generale Famiglia Solidarietà Sociale e Volontariato una relazione puntuale sull’attività svolta con cadenza semestrale, ferma l’annualità di cui al punto 3 del dispositivo della d.g.r.",,
24,"X/1224 del 10 gennaio 2014; 4 – di stabilire che l’incarico dei componenti della Segreteria della Commissione, in premessa individuati, decorrerà dalla data di insediamento della Commissione; 5 – di disporre la notifica del presente atto agli enti e ai soggetti interessati; 6 – di disporre la pubblicazione del presente decreto sul BURL.",,
25,II presidente Roberto Maroni,,
