sentence number,sentence,value (0/1)
1,– 16 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
4,"D.G. Famiglia, solidarietà sociale e volontariato D.d.g.",,
5,"29 gennaio 2014 - n. 514 Voltura dell’accreditamento per la seguente unità di offerta socio sanitaria: R.S.A. Villa Serena con sede in Galbiate (LC), piazza A. Grandi n. 1 da: Villa Serena s.p.a. con sede legale in Galbiate (LC), piazza A. Grandi n. 1, CF 02600960138 al nuovo gestore: KCS Caregiver cooperativa sociale con sede legale in Bergamo, via A. Manzoni n. 7, CF 02125100160 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Vista la d.g.r. del 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Richiamato in particolare l’Allegato A della sopra citata d.g.r., che reca disposizioni circa le procedure da seguire nei casi di variazione dell’Ente Gestore di una unità di offerta socio sanitaria accreditata; Vista altresì la d.g.r. del 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Dato atto che, verificata la documentazione prodotta a corredo della richiesta di parere preventivo per la voltura presentata, nei modi previsti dalla citata d.g.r. n. 3540/12, dall’Ente Gestore uscente e l’Ente Gestore subentrante, la Direzione Generale Famiglia, Solidarietà Sociale e Volontariato ha rilasciato il parere positivo con nota prot n. 17333 in data 31 dicembre 2013; Preso atto che, ottenuto il parere positivo della Direzione Generale intestata, il Legale Rappresentante del nuovo Ente Gestore subentrante KCS Caregiver Cooperativa Sociale, CF 02125100160, con nota protocollata in data 3 gennaio 2014 prot. n. 75, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha presentato a Regione Lombardia richiesta di voltura dell’accreditamento per l’unità d’offerta R.S.A. Villa Serena di Galbiate (LC), Piazza A. Grandi n. 1, già accreditata con d.d.g. n. 11331 del 3 dicembre 2013 per n. 184 posti letto e a contratto per n. 182 posti letto; Atteso che: −− l’ ASL di Lecco ha verificato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, come attestato dalla deliberazione del Direttore Generale n. 3 del 13 gennaio 2014, trasmessa alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato con nota protocollata in data 21 gennaio 2014 prot. n. 701, −− l’immobile dove è esercitata l’attività dell’unità di offerta oggetto della presente voltura è di proprietà di Villa Serena s.p.a. e sarà condotto a titolo di concessione, da parte dell’Ente Gestore subentrante, −− l’attività è esercitata a seguito di sottoscrizione di contratto di concessione per la gestione della R.S.A. sino al 31 dicembre 2035, −− per la realizzazione dell’immobile sede dell’attività sono stati impiegati finanziamenti regionali ex d.g.r.",,
6,"33576 del 19 dicembre 1997; Ritenuto: −− di provvedere alla iscrizione nell’apposito registro regionale della voltura di cui all’oggetto, con decorrenza dalla data di adozione del presente decreto, sulla base delle verifiche compiute dalla competente ASL di Lecco, −− di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Lecco, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 3540/2012 , con scadenza in data 20 febbraio 2014 ; Visti la l.r.",,
7,"7 luglio 2008, n. 20 ed i provvedimenti organizzativi della X Legislatura, adottati dalla Giunta Regionale; Richiamata in particolare la d.g.r.",,
8,"20 marzo 2013 n. 3 «Costituzione delle Direzioni Centrali e Generali, incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura», con la quale è stato affidato l’incarico di Direttore Generale della Direzione Famiglia, Solidarietà sociale e Volontariato a Giovanni Daverio;",,
9,"Ravvisata la necessità di disporre la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e la relativa comunicazione all’ente gestore interessato ed alla ASL territorialmente competente; DECRETA 1. di provvedere, a favore del seguente nuovo Ente Gestore: KCS Caregiver Cooperativa Sociale con sede legale in Bergamo, Via A. Manzoni n. 7, CF 02125100160, alla voltura dell’accreditamento della seguente unità di offerta socio sanitaria: R.S.A. Villa Serena con sede in Galbiate (LC), Piazza A. Grandi n. 1, codice struttura 305002901, già accreditata con d.d.g. n. 11331 del 3 dicembre 2013 per n. 184 posti letto e a contratto per n. 182 posti letto, con decorrenza dalla data del presente provvedimento, sulla base delle verifiche compiute dall’ASL di Lecco; 2. di provvedere altresì all’iscrizione della suddetta voltura nell’apposito registro regionale; 3. di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Lecco, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; 4. di disporre che, entro 90 giorni dall’adozione del presente atto, l’ASL territorialmente competente effettui una visita di vigilanza, al fine di verificare la permanenza dei requisiti di accreditamento; 5. di disporre la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia e la comunicazione all’ente gestore interessato, nonché alla ASL di Lecco.",,
10,Il direttore generale Giovanni Daverio D.d.g.,,
11,"29 gennaio 2014 - n. 515 Voltura dell’accreditamento per la seguente unità di offerta socio sanitaria: consultorio familiare «A.I.E.D. Milano» con sede in Milano, viale Regina Giovanna n. 36, dall’associazione non riconosciuta A.I.E.D. - Milano - CF 12295130152 al nuovo gestore: associazione A.I.E.D. - Milano con sede legale in Milano, viale Regina Giovanna n. 36 - CF 08298990964 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Vista la d.g.r. del 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Richiamato in particolare l’Allegato A della sopra citata d.g.r., che reca disposizioni circa le procedure da seguire nei casi di variazione dell’Ente Gestore di una unità di offerta socio sanitaria accreditata; Vista altresì la d.g.r. del 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Dato atto che, verificata la documentazione prodotta a corredo della richiesta di parere preventivo per la voltura presentata, nei modi previsti dalla citata d.g.r. n. 3540/12, dall’Ente Gestore uscente e l’Ente Gestore subentrante, la Direzione Generale Famiglia, Solidarietà Sociale e Volontariato ha rilasciato il parere positivo con nota prot n. 10564 in data 30 luglio 2013; Preso atto che, ottenuto il parere positivo della Direzione Generale intestata, il Legale Rappresentante del nuovo Ente Gestore subentrante, Associazione A.I.E.D. - Milano, CF 08298990964, con nota protocollata in data 5 novembre 2013 prot. n. 15031, integrata con nota prot. n. 15457 del 18 novembre 2013, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha presentato a Regione Lombardia richiesta di voltura dell’accreditamento per l’unità d’offerta: Consultorio Familiare A.I.E.D. di Milano, già accreditato con d.g.r. n. 3087 del 7 marzo 2012 e a contratto; Atteso che: −− l’ ASL di Milano ha verificato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, come attestato dalla Deliberazione del Direttore Generale n. 1619 del 23 dicembre 2013, trasmessa alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato con nota protocollata in data 8 gennaio 2014 prot. n. 165, −− l’immobile dove è esercitata l’attività dell’unità di offerta oggetto della presente voltura è di proprietà della Combi Line International s.p.a. e sarà condotto a titolo di locazione, da parte dell’Ente Gestore subentrante, −− l’attività è esercitata a titolo di gestione diretta,",,
