sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,–7– Serie Ordinaria n. 4 - Lunedì 20 gennaio 2014,,
3,"impegna il Presidente e la Giunta regionale −− ad appurare se vi sia effettivamente la necessità di un ulteriore ricorso alla cava di prestito di Cassano d’Adda e se lo stesso sia verificabile per la cava di Vaprio d’Adda recentemente autorizzata, verificando l’effettiva disponibilità di materiale richiesto presso le cave già autorizzate; −− a procedere solo successivamente alla eventuale decretazione autorizzativa anche tenendo in considerazione la criticità di un ulteriore scavo in profondità della cava in questione; −− a riprendere la discussione nella VI commissione consiliare sui progetti di legge presentati per l’approvazione di nuove norme per la disciplina della coltivazione di sostanze minerali di cava; −− a esprimere la propria netta contrarietà all’abuso dello strumento delle cave di prestito, laddove sussista la reperibilità di materiale di escavazione sul mercato.”.",,
4,Il presidente: Raffaele Cattaneo I consiglieri segretari: Maria Daniela Maroni - Eugenio Casalino II segretario dell’assemblea consiliare: Mario Quaglini D.c.r.,,
5,7 gennaio 2014 - n. X/265 Mozione concernente l’impianto di rifiuti speciali e pericolosi nel comune di Paderno Dugnano (MI) Presidenza del Presidente Cattaneo,,
6,IL CONSIGLIO REGIONALE DELLA LOMBARDIA Vista la Mozione n. 162 presentata in data 7 gennaio 2014; a norma degli artt.,,
7,"122, 123 e 124 del Regolamento generale, con votazione palese, per appello nominale, che dà il seguente risultato: Consiglieri presenti Consiglieri votanti Non partecipano alla votazione Voti favorevoli Voti contrari Astenuti",,
8,n. n. n. n. n. n.,,
9,58 57 1 55 0 2,,
10,"DELIBERA di approvare il testo della Mozione n. 162 concernente l’impianto di rifiuti speciali e pericolosi nel comune di Paderno Dugnano (MI), nel testo che così recita: “Il Consiglio regionale della Lombardia premesso che −− in data 3 maggio 2010 con Prot.",,
11,"Reg. n. Z1.2010.0008635 la Società Leganti Naturali s.r.l. con sede legale in via C. Cattaneo, 62 – Lecco – ha presentato richiesta per l'acquisizione dell'autorizzazione integrata ambientale (AIA) per la realizzazione di un impianto di recupero di rifiuti speciali, pericolosi e non pericolosi (R5, R13), sito in Paderno Dugnano (MI) S.S. dei Giovi, 80 e che con lo stesso protocollo è stata richiesta la verifica di assoggettabilità alla procedura di VIA; −− il comma 9 dell’articolo 29 decies Titolo III Bis del d.lgs.",,
12,"152/2006 recita: «In caso di inosservanza delle prescrizioni autorizzatorie, o di esercizio in assenza di autorizzazione, l'autorità competente procede secondo la gravità delle infrazioni: a) alla diffida, assegnando un termine entro il quale devono essere eliminate le irregolarità; b) alla diffida e contestuale sospensione dell'attività autorizzata per un tempo determinato, ove sì manifestino situazioni di pericolo per l'ambiente; c) alla revoca dell'autorizzazione integrata ambientale e alla chiusura dell'impianto, in caso di mancato adeguamento alle prescrizioni imposte con la diffida e in caso di reiterate violazioni che determinino situazioni di pericolo e di danno per l'ambiente.»; preso atto che −− con nota del 16 luglio 2010 (Prot.",,
13,"Reg. n. Z1.2010.0017807) la Struttura Autorizzazioni e Innovazione in materia di rifiuti, a seguito del controllo in ordine alla verifica di assoggettabilità alla procedura di VIA, ha attestato che per la realizzazione dell'impianto in oggetto non è necessario l'espletamento della procedura di VIA;",,
14,"−− nella conferenza dei servizi tenutasi in data 22 marzo 2011 la Regione dichiara che l'impianto in esame tratta rifiuti speciali soggetti a libero mercato e pertanto non vincolati alle previsioni del piano rifiuti provinciale; −− in data 1° giugno 2011 il dirigente della Struttura Autorizzazioni e Innovazione in materia di rifiuti, dott.",,
