sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 151 – Serie Ordinaria n. 5 - Venerdì 31 gennaio 2014,,
3,"D.G. Ambiente, energia e sviluppo sostenibile D.d.u.o.",,
4,21 gennaio 2014 - n. 260 Approvazione ai sensi dell’art.,,
5,242 del d.lgs.,,
6,"3 aprile 2006, n. 152, del documento “Progetto esecutivo degli interventi di bonifica delle acque di falda nelle aree centrale, Nord/Est e Sud/Est - dello stabilimento della società Whirlpool Europe s.r.l., sito in comune di Ternate e Biandronno (VA), in località Cassinetta” e autorizzazione alla società medesima per la realizzazione degli interventi in esso previsti IL DIRIGENTE DELL’UNITÀ ORGANIZZATIVA ATTIVITÀ ESTRATTIVE, RIFIUTI E BONIFICHE Visto il decreto legislativo 3 aprile 2006, n. 152: «Norme in materia ambientale», in particolare Titolo V «Bonifica di siti contaminati»; Visto il decreto legislativo 16 gennaio 2008, n. 4: «Ulteriori disposizioni correttive ed integrative del decreto legislativo 3 aprile 2006, n. 152»; Vista la deliberazione di Giunta regionale 27 giugno 2006, n. 2838 avente ad oggetto: «Modalità applicative del Titolo V «Bonifica di siti contaminati» della parte quarta del d.lgs.",,
7,152/2006 – Norme in materia ambientale»; Vista la d.g.r.,,
8,"11 aprile 1995, n. 66818, avente per oggetto: «Approvazione del piano regionale di bonifica delle aree contaminate»; Vista la d.c.r.",,
9,"17 febbraio 2004, n. 958, di approvazione del piano regionale stralcio di bonifica delle aree inquinate, ai sensi dell’art.",,
10,"22, comma 5, del d.lgs.",,
11,22/97; Vista la d.c.r.,,
12,"30 settembre 2008, n. 701, di approvazione del piano regionale stralcio di bonifica delle aree inquinate, ai sensi dell’art.",,
13,"245, comma 3, del d.lgs.",,
14,"152/2006; Richiamati i seguenti ulteriori dispositivi legislativi e regolamentari: • legge 7 agosto 1990, n. 241: «Nuove norme sul provvedimento amministrativo» e sue modifiche ed integrazioni; • d.lgs.",,
15,"18 agosto 2000, n. 267: «Testo unico delle leggi sull’ordinamento degli enti locali» e s.m.i.; • l.r.",,
16,"12 dicembre 2006, n. 26: «Disciplina dei servizi locali di interesse economico generale.",,
17,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche»; • r.r.",,
18,"15 giugno 2012, n. 2, recante l’attuazione dell’art.",,
19,21 della l.r.,,
20,"26/2003, così come modificato ed integrato dalla l.r.",,
