sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 39 – Serie Ordinaria n. 5 - Mercoledì 29 gennaio 2014,,
3,"D.G. Ambiente, energia e sviluppo sostenibile D.d.s.",,
4,22 gennaio 2014 - n. 343 Progetto di rifacimento del ponte pedonale denominato “Cavallo” sul fiume Brembo di Valleve in località Cambrembo (BG).,,
5,Proponente: comune di Valleve.,,
6,"Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
7,152/2006 e della l.r.,,
8,5/2010 IL DIRIGENTE DELLA STRUTTURA VALUTAZIONE D’IMPATTO AMBIENTALE OMISSIS DECRETA 1.  di escludere dalla procedura di valutazione d’impatto ambientale - ai sensi del d.lgs.,,
9,152/2006 e della l.r.,,
10,"5/2010 - il progetto di rifacimento del ponte pedonale denominato «Cavallo» sul fiume Brembo di Valleve, in località Cambrembo di Valleve (BG), secondo la soluzione progettuale indicata negli elaborati prodotti dal proponente Comune di Valleve, a condizione che siano ottemperate le seguenti prescrizioni, che dovranno essere espressamente recepite nei successivi provvedimenti di autorizzazione e approvazione del progetto in parola: a.  in generale, dovranno essere puntualmente attuate tutte le precauzioni e le misure di mitigazione prospettate nel progetto e nello studio preliminare ambientale depositati dal proponente; b.  particolare riguardo dovrà essere riservato all’esecuzione degli interventi di finitura per l’inserimento ambientale e al ripristino delle aree di cantiere nello stato ante operam; 2. il Comune di Valleve, in qualità di Autorità competente all’autorizzazione del progetto in parola, è tenuta a vigilare sul rispetto delle prescrizioni di cui al precedente punto 1, da recepirsi nel provvedimento di autorizzazione, ai sensi e per gli effetti dell’art.",,
11,29 del d.lgs.,,
12,152/2006; 3.  ai sensi dell’art.,,
13,"26, comma 6 del d.lgs.",,
14,"152/2006, il progetto in parola dovrà essere realizzato entro cinque anni dalla data di pubblicazione del presente provvedimento; 4. di trasmettere copia del presente decreto al proponente Comune di Valleve e di informare contestualmente dell’avvenuta decisione e delle modalità di reperimento la Provincia di Bergamo, il Comune di Foppolo, la Comunità Montana Valle Brembana e l’Ente gestore del Parco regionale delle Orobie Bergamasche; 5.  di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 6. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.cartografia.regione.lombardia.it/silvia/; 7.  di rendere noto che contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R. della Lombardia secondo le modalità di cui al d.lgs.",,
15,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
16,Il dirigente Filippo Dadone,,
