sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 17 – Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
3,"−− per la realizzazione dell’immobile sede dell’attività non sono stati impiegati finanziamenti pubblici; Ritenuto: −− di provvedere alla iscrizione nell’apposito registro regionale della voltura di cui all’oggetto, con decorrenza dalla data di adozione del presente decreto, sulla base delle verifiche compiute dalla competente ASL di Milano, −− di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Milano, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 3540/2012, con scadenza in data 7 febbraio 2014; Visti la l.r.",,
4,"7 luglio 2008, n. 20 ed i provvedimenti organizzativi della X Legislatura, adottati dalla Giunta regionale; Richiamata in particolare la d.g.r.",,
5,"20 marzo 2013 n. 3 «Costituzione delle Direzioni Centrali e Generali, incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura», con la quale è stato affidato l’incarico di Direttore Generale della Direzione Famiglia, Solidarietà sociale e Volontariato a Giovanni Daverio; Ravvisata la necessità di disporre la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e la relativa comunicazione all’ente gestore interessato ed alla ASL territorialmente competente; DECRETA 1. di provvedere, a favore del seguente nuovo Ente Gestore: Associazione A.I.E.D. - Milano, con sede legale in Milano, Viale Regina Giovanna n. 36, CF 08298990964, alla voltura dell’accreditamento della seguente unità di offerta socio sanitaria: Consultorio Familiare A.I.E.D. con sede in Milano, Viale Regina Giovanna n. 36, codice struttura 308038901, già accreditata e a contratto, con decorrenza dalla data del presente provvedimento, sulla base delle verifiche compiute dall’ASL di Milano; 2. di provvedere altresì all’iscrizione della suddetta voltura nell’apposito registro regionale; 3. di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Milano, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; 4. di disporre che, entro 90 giorni dall’adozione del presente atto, l’ASL territorialmente competente effettui una visita di vigilanza, al fine di verificare la permanenza dei requisiti di accreditamento; 5. di disporre la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia e la comunicazione all’ente gestore interessato, nonché alla ASL di Milano.",,
6,Il direttore generale Giovanni Daverio D.d.g.,,
7,"29 gennaio 2014 - n. 518 Riconoscimento di ente unico per la gestione di una pluralità di unità di offerta socio sanitarie per il seguente ente gestore: «Servire società cooperativa sociale a r.l.», con sede legale in Treviolo (BG), via A. Arioli Dolci, n. 12/14 CF 00839900164 IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO",,
8,−− la l.r.,,
9,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
10,Collegato»; −− la l.r.,,
