sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 25 – Serie Ordinaria n. 1 - Venerdì 03 gennaio 2014,,
3,"D.G. Ambiente, energia e sviluppo sostenibile D.d.u.o.",,
4,19 dicembre 2013 - n. 12516 Impegno a favore del comune di Santa Giuletta (PV) ai sensi del comma 3 dell’art.,,
5,9 del r.r.,,
6,2/2012 e per gli effetti dell’art.,,
7,"250 del d.lgs 152/2006, nella misura di € 350.000,00 per la realizzazione degli interventi di messa in sicurezza d’emergenza dell’area ex Vinal s.p.a., ubicata lungo la strada provinciale, 10 (via Emilia) IL DIRIGENTE DELL’UNITA’ ORGANIZZATIVA ATTIVITA’ ESTRATTIVE, RIFIUTI E BONIFICHE Visto il decreto legislativo 3 aprile 2006, n. 152: «Norme in materia ambientale», in particolare il Titolo V «Bonifica di siti contaminati»; Vista la l.r.",,
8,"31 marzo 1978, n. 34 «Norme sulle procedure della programmazione, sul bilancio e sulla contabilità della Regione» e successive modificazioni e integrazioni; Vista la l.r.",,
9,"12 dicembre 2003, n. 26 «Disciplina dei servizi locali di interesse economico generale.",,
10,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche» e s.m.i. ; Visto il r.r.",,
11,"15 giugno 2012, n. 2 «Attuazione dell’art.",,
12,"21 della legge regionale 12 dicembre 2003, n. 26 – Disciplina dei servizi locali di interesse economico generale.",,
13,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche – relativamente alle procedure e ripristino ambientale dei siti inquinati»; Visto il r.r. di contabilità della giunta regionale 2 aprile 2001, n. 1, s.m.i.; Vista la d.g.r.",,
14,"11 aprile 1995, n. 66818 avente ad oggetto: «Approvazione del piano regionale di bonifica delle aree contaminate»; Vista la legge regionale n. 19 del 19 dicembre 2012, «Bilancio di previsione per l’esercizio finanziario 2013 e bilancio pluriennale 2013/2015 a legislazione vigente e programmatico»; Vista la deliberazione di Giunta regionale 19 luglio 2013, n. 424 di approvazione della programmazione economico-finanziaria 2013/2015 a favore dei Comuni che intervengono d’ufficio alla realizzazione degli interventi di bonifica, ai sensi dell’art.",,
15,250 del d.lgs.,,
16,"152/2006; Premesso che nel territorio del Comune di Santa Giuletta (PV) è presente un compendio immobiliare denominato «ex Vinal», localizzato lungo la Strada Provinciale, 10 (Via Emilia), ove un tempo si producevano àlcoli, all’interno del quale si è verificato un ingente sversamento di olio combustibile che ha interessato i fabbricati industriali dello stabilimento ed il piazzale adiacente riversandosi per gravità all’interno di condotte di drenaggio delle acque; Vista la relazione del 7 novembre 2013 redatta dal tecnico incaricato dal Comune di Santa Giuletta, in merito all’attività di rimozione dei rifiuti relative all’evento di avvenuto sversamento di sostanze oleose presso l’area ex Vinal s.p.a.; Preso atto che l’Amministrazione comunale, al fine di intraprendere d’ufficio le opportune e necessarie azioni per la messa in sicurezza d’emergenza allo scopo di adottare le soluzioni mirate a scongiurare possibili situazione di inquinamento ambientale, e di pericolo per l’igiene e la salute pubblica, ha presentato con nota sindacale n. 3375 del 13 dicembre 2013, agli atti regionali con protocollo n. 49851 del 13 dicembre 2013, richiesta di finanziamento, per la realizzazione degli interventi di M.I.S.E. dell’area ex Vinal s.p.a., per un importo pari a 350.000,00 € come specificato nell’istanza di finanziamento; Vista la nota n. 3404 del 18 dicembre 2013, agli atti regionali con protocollo n. 50542 del 18 dicembre 2013, con la quale il Comune di Santa Giuletta ha trasmesso il quadro economico di dettaglio dell’intervento di cui trattasi; Verificati dagli Uffici i presupposti e le condizioni per l’accesso ai contributi da parte del soggetto istante; Ritenuto pertanto necessario, riscontrata l’urgenza e l’indifferibilità degli interventi, motivata dal rischio per la salute pubblica che l’area rappresenta, di impegnare a favore del Comune di Santa Giuletta, per la realizzazione degli interventi di messa in sicurezza d’emergenza dell’area ex Vinal s.p.a., ubicata lungo la Strada Provinciale, 10 (Via Emilia), ai sensi del comma 3 dell’art.",,
17,9 del r.r.,,
18,"2/2012, e per gli effetti dell’art.",,
19,"250 del d.lgs 152/2006, un finanziamento pari a € 350.000,00 a valere sul capitolo n. 9.01.203.8362 del Bilancio 2013 per € 175.041,28 e del Bilancio 2014 per 174.958,72, che presenta la necessaria disponibilità come da allegato referto del Servizio Ragioneria; Ritenuto di procedere alla erogazione della spesa al Comune di Montirone secondo le procedure di cui alla l.r.",,
20,"34/1978, sulla scorta della documentazione attestante le spese effettuate;",,
21,"Ritenuto altresì necessario, per quanto sopra esposto, che il Comune di Santa Giuletta regolarizzi e trasmetta all’Ente concedente ogni documento utile al fine della dovuta informazione tecnica e della corretta gestione amministrativa e contabile; al riguardo, l’Amministrazione beneficiaria dovrà trasmettere all’Ente concedente, le determine comunali di assunzione della spesa, gli stati di avanzamento lavori, le fatture e/o parcelle e a seguito dell’avvenuto pagamento, i relativi mandati; Dato atto dell’evenienza che il Comune di Santa Giuletta proceda all’esecuzione d’ufficio in danno dei soggetti obbligati ed al recupero delle somme concesse e aggiorni periodicamente la Regione, circa i fatti sostanziali, gli atti e/o ulteriori sviluppi del processo risarcitorio; Rammentato altresì che le spese sostenute per la messa in sicurezza, la bonifica ed il ripristino ambientale delle aree inquinate, sono assistite da privilegio speciale immobiliare sulle aree medesime, ai sensi e per gli effetti dell’art.",,
22,"2748, secondo comma, del Codice civile; Vista la l.r.",,
23,"7 luglio 2008, n. 20 «Testo Unico delle leggi regionali in materia di organizzazione e personale», nonché i provvedimenti organizzativi della X legislatura; Dato atto che il presente provvedimento rientra tra le competenze dell’U.O. individuata dalla d.g.r. n. 87 del 29 aprile 2013 (ovvero altro provvedimento organizzativo successivo) e dal decreto del Segretario Generale n. 7110 del 25 luglio 2013; Verificato che la spesa oggetto del presente atto non rientra nell’ambito di applicazione dell’art.",,
24,3 della l. 136/2010 (tracciabilità dei flussi finanziari)».,,
25,"DECRETA 1.  di assumere, ai sensi del comma 3 dell’art.",,
26,9 del r.r.,,
27,"2/2012, e per gli effetti dell’art.",,
28,"250 del d.lgs 152/2006 impegni a favore del beneficiario indicato nella tabella seguente, con imputazione al capitolo ivi indicato, per la realizzazione degli interventi di messa in sicurezza d’emergenza dell’area ex Vinal s.p.a., ubicata lungo la Strada Provinciale, 10 (Via Emilia): B e n e f i c i a r i o / Codice Ruolo",,
29,Capitolo,,
30,Importo anno1,,
31,Importo anno2,,
32,Comune di Santa 11277 Giuletta,,
33,9.01.203.8362,,
34,"175.041,28 174.958,72",,
35,"Importo anno3 0,00",,
36,2.  di dichiarare ai sensi del d.lgs.,,
37,"118/2011, che le somme impegnate e non liquidate con il presente atto saranno successivamente liquidate nel rispetto del principio della competenza finanziaria potenziato di cui al d.p.c.m. del 28 dicembre 2011, con le modalità previste per le singole tipologie di spesa; 3.  di attestare che contestualmente alla data di adozione del presente atto si provvede alla pubblicazione di cui agli artt.",,
38,26 e 27 del d.lgs.,,
39,33/2013; 4. di procedere alla erogazione della spesa al Comune di Santa Giuletta secondo le procedure di cui alla l.r.,,
