sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,–3– Serie Ordinaria n. 4 - Lunedì 20 gennaio 2014,,
3,"guardia previste dalla normativa nazionale, anche in considerazione delle previsioni di cui alla legge di stabilità 2014.”.",,
4,Il presidente: Raffaele Cattaneo I consiglieri segretari: Maria Daniela Maroni - Eugenio Casalino II segretario dell’assemblea consiliare: Mario Quaglini D.c.r.,,
5,7 gennaio 2014 - n. X/259 Mozione concernente il riconoscimento dello status di malattia rara alla sclerosi sistemica progressiva (sclerodermia) Presidenza del Presidente Cattaneo,,
6,IL CONSIGLIO REGIONALE DELLA LOMBARDIA Vista la Mozione n. 134 presentata in data 12 novembre 2013; a norma degli artt.,,
7,"122 e 123 del Regolamento generale, con votazione palese, per appello nominale, che dà il seguente risultato: Consiglieri presenti Consiglieri votanti Non partecipano alla votazione Voti favorevoli Voti contrari Astenuti",,
8,n. n. n. n. n. n.,,
9,59 58 1 58 0 0,,
10,"DELIBERA di approvare il testo della Mozione n. 134 concernente il riconoscimento dello status di malattia rara alla sclerosi sistemica progressiva (sclerodermia), nel testo che così recita: “Il Consiglio regionale della Lombardia premesso che −− la sclerosi sistemica progressiva, più comunemente conosciuta come sclerodermia, è una malattia cronica, rara ed evolutiva, la cui causa è ancora sconosciuta, tra le più invalidanti e spesso anche mortale se non adeguatamente controllata, colpisce in particolare le donne (con un rapporto donne-uomini di 10 a 1) e si manifesta con maggiore incidenza nella fascia di età compresa tra i 30 e i 50 anni; −− la sclerodermia è una malattia di tipo autoimmune dovuta alla presenza di una reazione immunitaria diretta contro gli stessi tessuti dell’organismo, causa il progressivo ispessimento e fibrosi della cute e degli organi interni, in particolare l’apparato gastrointestinale, i polmoni, i reni e il cuore; −− in Italia gli affetti da sclerodermia sono oltre 25.000 e ogni anno si ammalano circa 1.200 persone; considerato che −− non esiste una cura definitiva per la sclerodermia, ma vi sono solo trattamenti per i sintomi, che possono rallentarne il decorso nel suo insieme o controllare alcuni degli aspetti più specifici inerenti la compromissione dei vari organi di volta in volta colpiti; −− il paziente deve affrontare spese relative ai presidi necessari per affrontare le medicazioni delle ulcere, effettuate in ambiente ospedaliero e in ambulatori dedicati; −− il paziente deve recarsi con regolarità presso i centri ospedalieri per effettuare le terapie richieste con durata giornaliera; −− i pazienti nelle fasi molto evolute di malattia non sono autonomi nelle più comuni attività quotidiane, necessitando di ausilio di famigliari o personale dedicato; −− i pazienti devono essere sottoposti a periodici esami strumentali e di laboratorio in modo da riconoscere precocemente le complicanze della malattia e prevenire ulteriore perdita funzionale o complicanze gravate da maggiori costi umani, sociali ed economici; constatato che −− le malattie rare sono un problema sanitario primario, perché sono croniche, complesse e gravemente invalidanti e costituiscono causa di mortalità precoce costringendo i pazienti e le loro famiglie alla difficile ricerca di strutture sanitarie adeguate per ottenere una diagnosi corretta in tempi brevi; −− il riconoscimento della malattia rara comporta importanti vantaggi al malato con la possibilità di accedere regolarmente a cure ed esami di monitoraggio;",,
11,"−− è necessario garantire l’attivazione dell’assistenza domiciliare infermieristica e l’assistenza sociale laddove richiesta dal medico curante o dallo specialista; verificato che −− la sclerodermia è nell’elenco delle 109 patologie in attesa di essere riconosciute a livello nazionale come malattia rara; −− già nelle regioni Toscana e Piemonte la sclerodermia è stata classificata e inserita nell’elenco delle «malattia rare»; invita la Giunta regionale −− a far si che Regione Lombardia intervenga presso il Ministero della Sanità per il riconoscimento dello status di «malattia rara» della sclerodermia prevedendone l’inserimento nell’allegato n. 1 del regolamento di cui al decreto del Ministro della Sanità 279/2001, contenente l’elenco delle malattie rare; −− a promuovere azioni per diffondere la conoscenza della patologia mediante l’ausilio dei medici di medicina generale, al fine di anticipare la relativa diagnosi della patologia.”",,
12,Il presidente: Raffaele Cattaneo I consiglieri segretari: Maria Daniela Maroni - Eugenio Casalino II segretario dell’assemblea consiliare: Mario Quaglini D.c.r.,,
13,7 gennaio 2014 - n. X/260 Mozione concernente il nuovo ospedale di Bergamo “Papa Giovanni XXIII”: parcheggi e fermata ferroviaria Presidenza del Presidente Cattaneo,,
14,IL CONSIGLIO REGIONALE DELLA LOMBARDIA Vista la Mozione n. 156 presentata in data 19 dicembre 2013; a norma degli artt.,,
15,"122 e 123 del Regolamento generale, con votazione palese, per appello nominale, che dà il seguente risultato: Consiglieri presenti Consiglieri votanti Non partecipano alla votazione Voti favorevoli Voti contrari Astenuti",,
16,n. n. n. n. n. n.,,
17,70 69 1 69 0 0,,
18,"DELIBERA di approvare il testo della Mozione n. 156 concernente il nuovo ospedale di Bergamo Papa Giovanni XXIII: parcheggi e fermata ferroviaria, nel testo che così recita: “Il Consiglio regionale della Lombardia premesso che −− con l’accordo di programma, stipulato nel 2000 fra gli enti pubblici per la realizzazione del nuovo ospedale di Bergamo «Papa Giovanni XXIII», alla provincia competeva di realizzare i parcheggi; −− la provincia affidava, a seguito dell’esito di una procedura di project financing, alla BHP s.p.a. la realizzazione e la gestione dei parcheggi; −− dopo varie vicissitudini (revisione del piano economico, transazione rispetto ai nuovi costi richiesti, convenzione con la società ospedaliera per 1200 posti auto ai dipendenti), nell’atto aggiuntivo venivano stabiliti i tempi della convenzione: 28 anni, i costi orari incrementabili in base all’ISTAT e la possibilità di svolgere attività complementari; −− sin dall’apertura del nuovo ospedale, nel dicembre 2012, vi sono state lamentele per il costo orario eccessivo (oltretutto dopo 60 minuti ed un secondo vengono fatte pagare 2 ore), considerato che il parcheggio è a servizio della più importante struttura ospedaliera della provincia; −− nelle vicinanze non vi sono altri parcheggi pubblici; −− il documento, classificato con la lettera M nella convenzione, che doveva regolare la gestione del parcheggio non è reperibile; −− le associazioni dei consumatori (Federconsumatori, Adiconsum e Adoc) hanno raccolto migliaia di firme per le tariffe eccessive e per avere chiarezza sul documento di cui sopra; −− nell’accordo di programma, proprio per decongestionare il traffico di accesso all’ospedale, era anche prevista la",,
