sentence number,sentence,value (0/1)
1,– 152 – Serie Ordinaria n. 5 - Venerdì 31 gennaio 2014 D.d.s.,,
2,28 gennaio 2014 - n. 486 Realizzazione dell’impianto idroelettrico “Ponte di Sovere” sul torrente Borlezza in comune di Sovere (BG).,,
3,"Proponente: Energia Hydro s.r.l. - Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
4,152/2006 e della l.r.,,
5,5/2010 IL DIRIGENTE DELLA STRUTTURA VALUTAZIONE DI IMPATTO AMBIENTALE OMISSIS DECRETA 1. di assoggettare alla procedura di Valutazione di impatto ambientale ai sensi dell’art.,,
6,"20, comma 6 del d.lgs 152/06 il progetto per la per la realizzazione dell›impianto idroelettrico «Ponte di Sovere» sul torrente Borlezza in comune di Sovere (BG) secondo la soluzione progettuale indicata negli elaborati per le motivazioni espresse in premessa; 2. di trasmettere copia del presente decreto alla società Energia Hydro s.r.l.",,
7,"(Proponente), via Aldo Moro, n. 28, Breno (BG); 3. di informare contestualmente i seguenti soggetti dell’avvenuta decisione finale e delle modalità di reperimento della stessa: – Comune di Sovere (BG); – Provincia di Bergamo; – Comunità Montana dei Laghi Bergamaschi; – ARPA Lombardia - sede centrale di Milano; 4. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 5. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.cartografia.regione.lombardia.it/silvia/; 6. di rendere noto che contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R. della Lombardia secondo le modalità di cui al d.lgs.",,
8,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al Capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
9,Il dirigente Filippo Dadone,,
10,Bollettino Ufficiale,,
