sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 11 – Serie Ordinaria n. 3 - Mercoledì 15 gennaio 2014,,
3,D.g.r.,,
4,"10 gennaio 2014 - n. X/1216 Aggiornamento della disciplina regionale per l’efficienza e la certificazione energetica degli edifici e criteri per il riconoscimento della funzione bioclimatica delle serre e delle logge, al fine di equipararle a volumi tecnici LA GIUNTA REGIONALE Premesso che: • gli articoli 9 e 25 della l.r.",,
5,"24/2006 («Norme per la prevenzione e la riduzione delle emissioni in atmosfera a tutela della salute e dell’ambiente») attribuiscono alla Giunta regionale, in conformità alle Direttive 2002/91/CE e 2010/31/UE e ai principi indicati nella normativa statale di riferimento, la competenza a definire le modalità applicative concernenti la certificazione energetica degli edifici, le caratteristiche termofisiche dell’involucro edilizio ed i valori di energia primaria per il soddisfacimento del fabbisogno energetico degli edifici; • con d.g.r. n. 5018 del 26 giugno 2007, modificata ed integrata con d.g.r.",,
6,5773 del 31 ottobre 2007 e con d.g.r.,,
7,"8745 del 22 dicembre 2008, sono state approvate le «Disposizioni inerenti all’efficienza energetica in edilizia», comprensive della disciplina per la certificazione energetica ed i relativi ambiti di applicazione; • con l’art.",,
8,"17 delle suddette disposizioni le funzioni di Organismo regionale di accreditamento, che includono la gestione del Catasto energetico degli edifici ed il monitoraggio dell’impatto delle disposizioni regionali, sono state attribuite a Cestec spa, società interamente partecipata da Regione Lombardia; • con l’art.",,
9,10 della l.r.,,
10,"12/2012 è stata autorizzata la fusione per incorporazione di Cestec in Finlombarda, attribuendo ad ARPA le funzioni relative al controllo sul rispetto delle disposizioni regionali in materia di redazione dell’attestato di certificazione energetica; • i soggetti giuridici subentrati a Cestec nelle diverse funzioni sono tenuti a recepire le modifiche introdotte nella disciplina per l’esercizio dell’attività di certificazione energetica degli edifici, già disciplinata con d.g.r.",,
11,5018/2008 e successive modifiche ed integrazioni; • con d.g.r.,,
12,"4416 del 21 novembre 2012 è stata disposta l’inclusione, fra i titoli di studio che costituiscono il prerequisito per chiedere l’accreditamento come certificatori energetici, dei diplomi di laurea (ex d.m.16.3.2007) in Scienze e Tecniche dell’Edilizia, Scienze e Tecnologie Fisiche, Scienze Geologiche, nonché della laurea magistrale in Fisica, Pianificazione Territoriale ed Urbanistica, Scienze della Natura, Scienze e Tecnologie Geologiche; Rilevato che il d.p.r.",,
13,"75/2013 ha regolamentato i criteri di accreditamento per assicurare la qualificazione e l’indipendenza degli esperti e degli organismi a cui affidare la certificazione energetica degli edifici, prevedendo: a) un elenco di titoli di studio idonei per l’accreditamento più ampio di quello previsto dalle attuali disposizioni regionali; b) la distinzione tra i titoli di studio che possono permettere l’accreditamento immediato, se integrati dall’abilitazione professionale alla progettazione degli edifici e dei relativi impianti, nonché dall’iscrizione all’Ordine o Collegio professionale, e i titoli di studio che debbono essere integrati da uno specifico corso di formazione, con superamento dell’esame finale; c) la necessità che le Regioni già dotate di una propria normativa di recepimento della Direttiva 2002/91/CE adottino misure atte a favorire un graduale ravvicinamento dei propri provvedimenti, assicurando la loro coerenza con i contenuti dello stesso d.p.r.; Rilevato altresì: • che tra i titoli di studio indicati nel d.p.r.",,
14,75/2013 non è contemplata la classe di laurea magistrale LM 71 «Scienze e tecnologie della chimica industriale» (disciplinata dal d.m.,,
15,"16 marzo 2007) nonostante la gran parte dei relativi insegnamenti comprenda discipline attinenti alla progettazione degli edifici e dei relativi impianti, analogamente a quanto previsto per altri titoli ammessi dallo stesso d.p.r.",,
16,75/2013; • che il d.l.,,
17,"63/2013, come convertito con l. 90/2013, ha modificato il d.lgs.",,
18,"192/2005 (relativo all’efficienza e alla certificazione energetica degli edifici) introducendo, tra le",,
19,"co» e la denominazione di «Attestato di prestazione energetica», al posto di «Attestato di certificazione energetica»;",,
20,"fiche, l’art.",,
21,17 (cosiddetta «clausola di cedevolezza») del d.lgs.,,
22,"192/2005, prevedendo che le norme contenute nel decreto medesimo si applichino alle regioni e alle province autonome fino alla data di entrata in vigore delle norme di attuazione della direttiva 2010/31 UE da parte di ciascuna regione e provincia autonoma, ferma restando la necessità che le norme attuative regionali rispettino i vincoli derivanti dall'ordinamento europeo ed i principi fondamentali desumibili dal decreto stesso;",,
23,Considerato:,,
24,"derare le serre bioclimatiche e le logge addossate o integrate all’edificio come volumi tecnici, non computabili ai fini volumetrici, a condizione che siano progettate in modo da integrarsi nell’organismo edilizio nuovo o esistente e che dimostrino, attraverso i necessari calcoli energetici, la loro funzione di riduzione dei consumi di combustibile fossile per riscaldamento invernale, attraverso lo sfruttamento passivo e attivo dell’energia solare o la funzione di spazio intermedio;",,
25,"glio definite, al fine di chiarire i limiti entro cui le serre e le logge possano essere considerate «volumi tecnici», con la conseguente possibilità di essere realizzate a prescindere da ogni diversa previsione contenuta negli strumenti urbanistici;",,
26,"nale per limitare il consumo energetico e stabilire i requisiti dell'involucro edilizio, di cui all'art.",,
27,9 della l.r.,,
28,"24/2006, rientrano anche le condizioni in base alle quali le serre e le logge possano essere definite «volumi tecnici», facendo comunque salvi gli interventi autorizzati sulla base di disposizioni comunali eventualmente difformi, ovvero non soggetti ad autorizzazione, entro la data di pubblicazione del presente provvedimento;",,
29,"Visto l’allegato documento, che fornisce puntuali indicazioni sulle caratteristiche che debbono avere le serre e le logge per riconoscere la loro funzione bioclimatica e la conseguente equiparazione ai volumi tecnici; Ritenuta l’opportunità di definire con un unico provvedimento le modifiche e le integrazioni da apportare alla disciplina regionale per l’efficienza energetica in edilizia e, pertanto, di: a) riconoscere come idonei per l’accreditamento tutti i titoli di studio previsti . dal d.p.r.",,
30,"75/2013 e quelli che appartengono alla classe di laurea LM 71, ex d.m.",,
31,"16 marzo 2007, al fine di non creare preclusioni immotivate negli sbocchi occupazionali; b) mantenere il requisito del superamento di uno specifico corso di formazione, con esame finale, per tutti coloro che chiedono di essere accreditati per l’attività di certificazione energetica, indipendentemente dal titolo di studio conseguito e dall’iscrizione all’Ordine o Collegio professionale, qualora esistente, al fine di favorire il conseguimento di una competenza specifica sulla certificazione energetica in Lombardia, nell’interesse degli utenti; c) recepire la definizione di impianto termico introdotta con il d.l.",,
32,"63/2013; d) modificare, a decorrere dal 15 gennaio 2014 (prima data utile secondo l’indicazione fornita da Finlombarda s.p.a. in qualità di Organismo regionale di Accreditamento) la denominazione dell’Attesto di Certificazione energetica in Attestato di Prestazione energetica, in modo da uniformare il più possibile la terminologia di riferimento utilizzata in ambito nazionale; e) approvare l’allegato documento, contenente i criteri per il riconoscimento della funzione bioclimatica delle serre e delle logge, ai fini della loro equiparazione a «volumi tecnici»; Dato atto che le restanti disposizioni regionali in materia di certificazione energetica degli edifici riguardano modalità applicative delle Direttive 2002/91/CE e 2010/31/UE ormai consolidate nell’ambito regionale e che rispettano i principi fondamentali desumibili dal d.lgs.",,
33,"192/2005 e dalle successive modifiche ed integrazioni; A voti unanimi, palesemente espressi nelle forme di legge;",,
34,"– 12 – Serie Ordinaria n. 3 - Mercoledì 15 gennaio 2014 DELIBERA 1. di disporre, in relazione alla disciplina per la certificazione energetica approvata con d.g.r.",,
35,8745/2008 e con d.g.r.,,
36,"4416/2012, quanto segue: a) i titoli di studio che costituiscono il prerequisito per chiedere l’accreditamento come certificatori energetici sono tutti quelli indicati all’art.",,
37,"2, commi 3 e 4, del d.p.r.",,
38,"16 aprile 2013 n. 75 e quelli che appartengono alla classe di laurea LM 71, ex d.m.",,
39,"16 marzo 2007; b) la partecipazione allo specifico corso di formazione, con superamento dell’esame finale, rimane un requisito imprescindibile per coloro che chiedono di essere accreditati per svolgere l’attività di certificazione energetica in Lombardia, indipendentemente dal titolo di studio conseguito e dall’iscrizione all’Ordine o Collegio professionale, qualora esistente; c) l’Attestato energetico di cui all’allegato C) della d.g.r.",,
40,"8745/2008, come modificato con d.g.r.",,
41,"1811 del 31 maggio 2011, viene denominato «Attestato di Prestazione Energetica» a far data dal 15 gennaio 2014; 2. di sostituire la definizione di impianto termico contenuta all’art.2, lett. ee) della d.g.r.",,
42,8745/2008 con la definizione di cui all’art.,,
43,"2, comma 1, lettera I-tricies) del d.lgs.",,
44,"192/2005, come modificato con d.l.",,
45,"63/2013, nel testo integrato dalla legge di conversione 3 agosto 2013, n. 90; 3. di confermare, per tutto quanto non espressamente modificato con il presente provvedimento, le precedenti disposizioni regionali approvate con d.g.r.",,
46,"8745/2008 e successive modifiche ed integrazioni; 4. di approvare il documento «Criteri per il riconoscimento della funzione bioclimatica delle serre e delle logge, ai fini dell’equiparazione a volumi tecnici», allegato al presente provvedimento quale parte integrante e sostanziale, dando atto che lo stesso si applica all’intero territorio regionale a far data dalla sua pubblicazione sul BURL, facendo comunque salvi gli interventi autorizzati sulla base di disposizioni comunali eventualmente difformi, ovvero non soggetti ad autorizzazione, entro la data di pubblicazione del presente provvedimento; 5. di disporre la pubblicazione del presente provvedimento sul BURL II segretario: Marco Pilloni ——— • ———",,
47,Bollettino Ufficiale,,
48,Bollettino Ufficiale,,
49,– 13 – Serie Ordinaria n. 3 - Mercoledì 15 gennaio 2014 ALLEGATO,,
50,"Criteri per il riconoscimento della funzione bioclimatica delle serre e delle logge, ai fini dell’equiparazione a volumi tecnici",,
51,"Ai soli fini di cui alla Legge Regionale 39/2004, art.4 comma 4, le serre bioclimatiche e le logge addossate o integrate all’edificio, opportunamente chiuse e trasformate per essere utilizzate come serre rientrano nella casistica dei “volumi tecnici”, non computabili ai fini volumetrici, se sono congiuntamente rispettati i seguenti criteri: a)",,
