sentence number,sentence,value (0/1)
1,– 58 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 6 - Mercoledì 05 febbraio 2014,,
4,"D.G. Ambiente, energia e sviluppo sostenibile D.d.u.o.",,
5,29 gennaio 2014 - n. 532 Approvazione ai sensi del comma 3 dell’art.,,
6,242 del d.lgs.,,
7,"3 aprile 2006, n. 152, del piano di caratterizzazione integrativo relativo all’area di servizio AGIP n. 2326 «Vimercate Ovest», ubicata nei comuni di Usmate Velate e Vimercate (MB) e contestuale autorizzazione alla società ENI R&M s.p.a. per la realizzazione degli interventi in esso previsti IL DIRIGENTE DELLA U.O. ATTIVITÀ ESTRATTIVE, RIFIUTI E BONIFICHE Visto il decreto legislativo 3 aprile 2006, n. 152 e s.m.i. : «Norme in materia ambientale», in particolare il Titolo V «Bonifica di siti contaminati» e s.m.i.; Visto il r.r.",,
8,"15 giugno 2012, n. 2 «Attuazione dell’art.",,
9,"21 della legge regionale 12 dicembre 2003, n. 26 – Disciplina dei servizi locali di interesse economico generale.",,
10,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche – relativamente alle procedure e ripristino ambientale dei siti inquinati», ed in particolare l’art.",,
11,18 «Interventi di bonifica con il raggiungimento delle concentrazioni soglia di contaminazione»; Richiamate le deliberazioni di Giunta regionale:,,
12,"• 27 giugno 2006, n. 2838 avente ad oggetto: «Modalità",,
13,applicative del Titolo V «Bonifica di siti contaminati» della parte quarta del d.lgs.,,
14,152/2006 – Norme in materia ambientale.»;,,
15,"• 10 febbraio 2010, n. 11348 – «Linee guida in materia di bonifica di siti contaminati»;",,
16,• 23 maggio 2012 n. 3509 «Linee guida per la disciplina del,,
17,"procedimento per il rilascio della certificazione di avvenuta bonifica, messa in sicurezza operativa e messa in sicurezza permanente dei siti contaminati»;",,
18,"Atteso che nei territori comunali di Usmate Velate e Vimercate (MB), è presente il Punto Vendita AGIP 2326 Area di Servizio «Vimercate Ovest», di proprietà della società ENI s.p.a.; Richiamata la determina del responsabile dell’Area Territorio e Ambiente del Comune di Usmate Velate n. 20/UT del 11 marzo 2013 di approvazione ai sensi e per gli effetti dell’art.",,
19,242 del d.lgs.,,
20,"3 aprile 2006, n. 152, del «Verbale della Conferenza dei Servizi Piano di caratterizzazione del sito AdS AGIP-ENI s.p.a n. 2326 «Vimercate Ovest» tangenziale est Milano in Comune di Usmate Velate», presentato dalla Società ENI s.p.a Divisione Refining & Marketing e di autorizzazione per la realizzazione degli interventi in esso previsti; Vista la nota del 10 settembre 2013 con prot/1087/ENV, agli atti regionali con protocollo n. 34549 del 18 settembre 2013, con la quale la Società Saipem s.p.a.",,
21,"Business Unit Engineering & Construction, con sede in Fano (PU) – Via Toniolo, 11, incaricata da ENI R&M s.p.a, ha trasmesso il Piano di Caratterizzazione Integrativo del sito AdS AGIP n. 2326 «Vimercate Ovest» ubicato nei Comini di Usmate Velate e Vimercate; Preso atto di quanto indicato nel documento di cui sopra, ed in particolare delle conclusioni dell’Annesso 2 – rapporto tecnico HPC al suddetto Piano di caratterizzazione Integrativo, relativo alle attività di Caratterizzazione del sito, dalle quali emerge il superamento delle CSC per le acque di falda captate da piezometri realizzati anche sul territorio del Comune di Vimercate; Considerato che il Comune di Usmate Velate, in data 18 novembre 2013, ha convocato la Conferenza di Servizi ai sensi dell’art.",,
22,"14, l. 7 agosto 1990, n. 241, e s.m.i., per l’acquisizione dei pareri sul documento sopra richiamato e per la quale è stata richiesta la presenza della Regione Lombardia, della Provincia di Monza e Brianza, del Comune di Vimercate, dell’A.R.P.A., della Prefettura di Monza e della ENI s.p.a.",,
23,Saipem s.p.a. e HPC AG srl da Eni incaricate; Preso atto che la contaminazione del sito AdS AGIP ENI n. 2326 «Vimercate Ovest» interessa i Comuni di Usmate Velate e di Vimercate; Considerato che secondo quanto previsto dalla l.r.,,
24,"27 dicembre 2006, n. 30, nel caso di accertata contaminazione delle matrici ambientali sul territorio di due o più Comuni gli adempimenti tecnico-amministrativi per la bonifica del sito contaminato sono a carico della Regione; Preso atto del principio di trasparenza dell’azione amministrativa di cui alle disposizioni del Capo III, legge 241/1990 s.m.i., relativo alla partecipazione al procedimento amministrativo; Considerato che la Conferenza predetta ha espresso parere favorevole al Piano di caratterizzazione Integrativo con prescrizioni;",,
25,"Ritenuto, per i motivi sopra indicati, che il verbale della Conferenza di Servizi costituisca parte integrante del presente provvedimento (allegato 1)(omissis); Considerato che la socità ENI R&M spa, con note del 4 novembre 2013 con prot.",,
26,"L. 2550/NBI, agli atti regionali con protocollo n. 592 del 8 gennaio 2014, e del 10 dicembre 2013 con prot 1590/ENV, agli atti regionali con protocollo n. 49452 del 11 dicembre 2013, ha trasmesso i documenti integrativi richiesti dalla Conferenza dei Servizi del 18 novembre 2013; Rilevato che con nota regionale del 20 dicembre 2013 prot.n.",,
27,"51050 è stato chiesto il parere agli Enti sulla documentazione integrativa trasmessa da ENI R&M spa in risposta alle richieste della Conferenza di Servizi; Vista la nota n. 9.5/2012/1631 del gennaio 2014, agli atti regionali con protocollo n. 1373 del 13 gennaio 2014, con la quale la Provincia di Monza e Brianza ha espresso il proprio parere favorevole subordinato a osservazioni e prescrizioni in merito al documento di risposta alle prescrizioni della CdS del 18 novembre 2013 al piano di Caratterizzazione integrativo; Vista la nota di ARPA, agli atti regionali con protocollo n. 1782 del 14 gennaio 2014, con la quale l’ARPA Lombardia - Dipartimento di Monza e Brianza ha ritenuto soddisfacente quanto ricevuto in risposta alle richieste della CdS del 18 novembre 2013; Ritenuto pertanto, di approvare il «Piano di Caratterizzazione Integrativo ai sensi dell’art.",,
28,242 comma 3 del d.lgs.,,
29,"152/2006, relativo al sito AdS AGIP-ENI n. 2326 «Vimercate Ovest», ubicato nei Comuni di Usmate Velate e Vimercate (MB) e di autorizzare gli interventi in esso previsti, con le osservazioni e prescrizioni espresse dalla Conferenza di Servizi, di cui all’allegato 1(omissis) al presente atto; Evidenziato che, al fine dei necessari controlli a garanzia degli interventi di cui trattasi, la società ENI R&M s.p.a. o, in sua vece, le società da essa incaricate, dovrà trasmettere agli Enti territorialmente interessati, ogni documento necessario per una corretta informazione tecnico-procedurale, relativa all’esecuzione dei lavori di cui trattasi, a mente del programma temporale degli interventi e delle azioni connesse; Vista la l.r.",,
30,"7 luglio 2008, n. 20 «Testo Unico delle leggi regionali in materia di organizzazione e personale», nonché i provvedimenti organizzativi della X legislatura; Dato atto che il presente provvedimento rientra tra le competenze della Struttura Individuata dalla d.g.r. n. 87 del 29 aprile 2013 (ovvero altro provvedimento organizzativo) DECRETA di approvare, ai sensi del comma 3 dell’art.",,
31,242 del d.lgs.,,
32,"3 aprile 2006, n. 152, il «Piano di Caratterizzazione Integrativo» relativo al sito AdS AGIP-ENI n. 2326 «Vimercate Ovest», presentato dalla società ENI R&M s.p.a. ed acquisito agli atti regionali con prot. n. del. e contestualmente di autorizzare la realizzazione delle operazioni in esso previste, con il rispetto delle prescrizioni ed osservazioni di cui al verbale di Conferenza di Servizi del 18 novembre 2013; che, al fine dei necessari controlli a garanzia degli interventi di cui trattasi, la Società ENI R&M s.p.a. dovrà trasmettere agli Enti territorialmente interessati, ogni documento necessario per una corretta informazione tecnico-procedurale, relativa all’esecuzione dei lavori di cui trattasi, a mente del programma temporale degli interventi e delle azioni connesse; di dare atto che l’eventuale proroga dei tempi di ultimazione della caratterizzazione è condizionata alla presentazione di idonea documentazione attestante le motivazioni e le cause del ritardo; di comunicare il presente atto alla società ENI R&M s.p.a., e di trasmetterne copia ai Comuni di Usmate Velate e Vimercate, alla Provincia di Monza e Brianza, all’A.R.P.A. Lombardia – Dipartimento Provinciale di Monza e Brianza e all’ASL della Provincia di Monza e Brianza; di provvedere a pubblicare sul Bollettino Ufficiale della Regione Lombardia, il presente provvedimento, ad esclusione dell’Allegato 1; di dare atto, ai sensi dell’art.",,
33,"3, legge 7 agosto 1990, n. 241, che contro il presente provvedimento, potrà essere presentato ricorso giurisdizionale al Tribunale Amministrativo Regionale, entro 60 (sessanta) giorni dalla data di comunicazione dello stesso, ovvero ricorso straordinario al Presidente della Repubblica entro 120 (centoventi) giorni dalla predetta data.",,
34,Il dirigente ad interim della struttura Angelo Elefanti,,
