sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 21 – Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
3,Circolare regionale 31 gennaio 2014 - n. 2 Definizione delle regole di gestione dei flussi informativi afferenti l’area ASSI in attuazione della d.g.r.,,
4,"X/1185 del 20 dicembre 2013 «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2014» La presente circolare, in attuazione a quanto previsto dalla d.g.r.",,
5,"X/1185 del 20 dicembre 2013 recante «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2014», definisce per l’esercizio 2014 le regole di gestione dei flussi informativi afferenti l’area ASSI, con riferimento ai seguenti ambiti: 1.",,
6,Il gestionale e i flussi informativi sul sistema di offerta socio sanitario; 2.,,
7,Il sistema informativo legato alla produzione erogata nel sistema di offerta socio sanitario; 3.,,
8,I flussi ministeriali derivati dai flussi regionali; 4.,,
9,Il sistema informativo legato alla produzione erogata nell’ambito delle misure di cui alla d.g.r.,,
10,"856/2013, costituente il primo provvedimento attuativo della d.g.r.",,
11,116/2013.,,
12,Il gestionale e i flussi informativi sul sistema di offerta socio sanitario e sociale Flusso Rete UDO: In attuazione a quanto previsto dalla d.g.r.,,
13,"X/1185 del 20 dicembre 2013, nel 2014 prosegue il sistema di rilevazione della rete di offerta socio sanitaria attraverso l’acquisizione via SMAF del flusso denominato RETE UDO ASSI, secondo il tracciato già definito.",,
14,Viene aggiornato nell’allegato 1)(omissis) alla presente circolare il manuale tecnico del tracciato della rete attraverso: • l’introduzione della tipologia di unità di offerta relativa alle Cure intermedie; • l’implementazione delle regole per la gestione delle correzioni delle informazioni.,,
15,Si riporta di seguito il calendario di rilevazione valido per il 2014:,,
16,Periodo di riferimento I° trimestre II° trimestre III° trimestre IV° trimestre,,
17,FLUSSO RETE UDO (SMAF) Scadenza invio Esiti automatici Scadenza 2° invio Esiti automatici dati dalla ASL alla dalla Regione dati dalla ASL alla dalla Regione Regione da fine (1° elaborazione) Regione da fine (2° elaborazione) trimestre da fine trimestre trimestre da fine trimestre ENTRO IL 30 ENTRO IL 05 NON PREVISTO NON PREVISTO APRILE MAGGIO ENTRO IL 30 ENTRO IL 05 NON PREVISTO NON PREVISTO LUGLIO AGOSTO ENTRO IL 30 ENTRO IL 05 NON PREVISTO NON PREVISTO OTTOBRE NOVEMBRE ENTRO IL 30 ENTRO IL 05 NON PREVISTO NON PREVISTO GENNAIO FEBBRAIO,,
18,Applicativo Anagrafica per la famiglia (AFAM): Come previsto nella d.g.r.,,
19,"X/1185/2013, si chiede alle ASL di assicurare nell’ambito di AFAM la tempestiva alimentazione dei dati sull’esercizio l’accreditamento e il contratto, comprensivo dei dati della scheda di budget, nell’ambito delle unità di offerta già gestite nell’applicativo e di quelle che progressivamente verranno implementate.",,
20,In particolare si chiede di procedere all’aggiornamento e alla verifica dei dati relativi all’Assistenza domiciliare integrata e alle CSS.,,
21,Il modello a tendere prevede il passaggio dalla rilevazione dei dati attraverso il flusso denominato RETE UDO all’utilizzo esclusivo del gestionale AFAM.,,
22,I dati rilevati in AFAM andranno pertanto direttamente ad alimentare il DWH di Direzione.,,
