sentence number,sentence,value (0/1)
1,– 14 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 3 - Mercoledì 15 gennaio 2014 D.g.r.,,
4,10 gennaio 2014 - n. X/1217 Semplificazione dei criteri tecnici per la redazione della documentazione di previsione d’impatto acustico dei circoli privati e pubblici esercizi.,,
5,"Modifica ed integrazione dell’allegato alla deliberazione di Giunta regionale 8 marzo 2002, n. VII/8313 LA GIUNTA REGIONALE Richiamati: −− la legge 26 ottobre 1995, n. 447 «Legge quadro sull’inquinamento acustico» ed in particolare l’articolo 4, comma 1, lettera l) che stabilisce che le Regioni definiscano i criteri da seguire per la redazione della documentazione di impatto acustico di cui all’articolo 8 della legge medesima; −− il d.p.r.",,
6,"19 ottobre 2011, n. 227 «Regolamento per la semplificazione di adempimenti amministrativi in materia ambientale gravanti sulle imprese, a norma dell’articolo 49, comma 4-quater, del decreto legge 31 maggio 2010, n. 78 convertito con modificazioni dalla legge 30 luglio 2010, n. 122»; Visti: −− l’articolo 5 della legge regionale 10 agosto 2001, n. 13 ed in particolare il c omma 1 che stabilisce che la Giunta regionale definisca le modalità ed i criteri tecnici da seguire per la redazione della documentazione di previsione di impatto acustico di cui all’articolo 8 della legge 447/95; −− quanto previsto dal comma 4 dell’articolo 5 della legge regionale 10 agosto 2013, che stabilisce che la documentazione di previsione di impatto acustico debba essere redatta da tecnico competente in acustica ambientale o proposta nelle forme di autocertificazione previste dalla legislazione vigente; −− la deliberazione di Giunta regionale 8 marzo 2002, n. VII/8313 ed in particolare l’articolo 5 dell’allegato alla medesima che definisce, tra l’altro, i criteri per la redazione della documentazione di previsione di impatto acustico per i circoli privati e pubblici esercizi; Visto il PRS della X legislatura ed in particolare l’azione Ter 09.08.276.1 «Semplificazione amministrativa ed adeguamento dei criteri di redazione per la documentazione di previsione di impatto acustico»; Visto il documento predisposto da ARPA nell’ambito del tavolo tecnico tra Direzione Generale Ambiente, Energia e Sviluppo Sostenibile, Direzione Generale Commercio Turismo e Terziario, Comune di Milano ed ARPA, allegato alla comunicazione dirigenziale prot.",,
7,"T1.2013.0046701 del 26 novembre 2013 con la quale è stata resocontata l’attività del tavolo tecnico; Considerato l’esito dell’incontro del 28 novembre 2013 con i soggetti interessati con l’accoglimento di due delle tre proposte da essi formulate e la modifica conseguente del documento; Ritenuto di condividere e fare propria l’impostazione ed i contenuti di detto documento ed in particolare l’individuazione di casi tipo per i quali la documentazione di previsione di impatto acustico può essere resa dal titolare/gestore del circolo privato o pubblico esercizio nelle forme di dichiarazione sostitutiva, nonché le indicazioni contenute per la redazione da parte di tecnico competente della documentazione di previsione di impatto acustico; All’unanimità dei voti espressi nelle forme di legge; DELIBERA 1. di approvare l’Allegato 1 contenente «Appendice relativa a criteri e modalità per la redazione della documentazione di previsione di impatto acustico dei circoli privati e pubblici esercizi» parte integrante della presente deliberazione; 2. di sostituire nel documento allegato alla deliberazione di Giunta regionale VII/8313 del 8 marzo 2002 recante «Modalità e criteri tecnici di redazione della documentazione di previsione di impatto acustico e di valutazione previsionale del clima acustico» il comma 4 dell’articolo 5 con il seguente: • «4.",,
8,Fatte salve le disposizioni della legge 26 ottobre 1995 n. 447 e del d.p.r.,,
9,"19 ottobre 2011 n. 227, criteri e modalità per la redazione della documentazione di previsione di impatto acustico per i circoli privati ed i pubblici esercizi, quando dovuta ai sensi della vigente normativa, sono definiti nella allegata «Appendice relativa a criteri e modalità per la redazione della documentazione di previsione di impatto acustico dei circoli privati e pubblici esercizi» parte integrante del presente documento»;",,
10,3. di integrare il documento allegato alla deliberazione di Giunta regionale VII/8313 del 8 marzo 2002 recante «Modalità e criteri tecnici di redazione della documentazione di previsione di impatto acustico e di valutazione previsionale del clima acustico» con l’Allegato 1 contenente «Appendice relativa a criteri e modalità per la redazione della documentazione di previsione di impatto acustico dei circoli privati e pubblici esercizi» parte integrante della presente deliberazione; 4. di disporre la pubblicazione sul Bollettino Ufficiale di Regione Lombardia della presente deliberazione e del testo dell’allegato alla d.g.r.,,
