sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 61 – Serie Ordinaria n. 6 - Mercoledì 05 febbraio 2014,,
3,D.d.s.,,
4,29 gennaio 2014 - n. 544 Progetto di piccola derivazione d’acqua a scopo idroelettrico sul torrente Varrone denominata «Fontanon dal Dent» nel comune di Premana (LC).,,
5,Proponente: comune di Premana.,,
6,Verifica ai sensi dell’art.,,
7,20 del d. lgs.,,
8,152/2006,,
9,D.d.s.,,
10,29 gennaio 2014 - n. 545 Progetto di piccola derivazione d’acqua a scopo idroelettrico sul torrente Varrone denominata «Ciarei» nel comune di Premana (LC).,,
11,Proponente: comune di Premana.,,
12,Verifica ai sensi dell’art.,,
13,20 del d. lgs.,,
14,152/2006,,
15,IL DIRIGENTE DELLA STRUTTURA VALUTAZIONE DI IMPATTO AMBIENTALE OMISSIS DECRETA 1. di assoggettare alla procedura di Valutazione di impatto ambientale ai sensi dell’art.,,
16,"20, comma 6 del d.lgs.",,
17,"152/06 il progetto relativo alla «Piccola derivazione d’acqua a scopo idroelettrico sul torrente Varrone denominata Fontanon dal Dent nel comune di Premana (LC)», secondo la soluzione progettuale indicata negli elaborati prodotti dal Proponente per le motivazioni espresse in premessa; 2. lo studio di impatto ambientale dovrà analizzare in particolare le componenti di sensibilità ambientale significative, come emerse dall’applicazione della metodologia di cui alla d.g.r.",,
18,"2987/2012, nonché sanare le carenze informative e di analisi evidenziate rispetto ad altre componenti degli indicatori di sensibilità ambientale; 3. di trasmettere copia del presente decreto al Comune di Premana (Proponente), con sede in Via Vittorio Emanuele, 15, Premana (LC).",,
19,4. di informare contestualmente i seguenti soggetti dell’avvenuta decisione finale e delle modalità di reperimento della stessa: – Provincia di Lecco; – ARPA – Sede Centrale; 5. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 6. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.cartografia.regione.lombardia.it/silvia/; 7. di rendere noto che contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R. della Lombardia secondo le modalità di cui al d.lgs.,,
20,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al Capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
21,Il dirigente Filippo Dadone,,
22,IL DIRIGENTE DELLA STRUTTURA VALUTAZIONI DI IMPATTO AMBIENTALE OMISSIS DECRETA 1. di assoggettare alla procedura di Valutazione di Impatto Ambientale ai sensi dell’art.,,
23,"20, comma 6 del d.lgs.",,
24,"152/06 il progetto relativo alla «Piccola derivazione d’acqua a scopo idroelettrico sul torrente Varrone denominata Ciarei nel comune di Premana (LC)», secondo la soluzione progettuale indicata negli elaborati prodotti dal Proponente per le motivazioni espresse in premessa; 2. lo Studio di Impatto Ambientale dovrà analizzare in particolare le componenti di sensibilità ambientale significative, come emerse dall’applicazione della metodologia di cui alla d.g.r.",,
25,"2987/2012, nonché sanare le carenze informative e di analisi evidenziate rispetto ad altre componenti degli indicatori di sensibilità ambientale; 3. di trasmettere copia del presente decreto al Comune di Premana (Proponente), con sede in Via Vittorio Emanuele, 15, Premana (LC); 4. di informare contestualmente i seguenti soggetti dell’avvenuta decisione finale e delle modalità di reperimento della stessa: – Provincia di Lecco; – ARPA – Sede Centrale; 5. di provvedere alla pubblicazione sul BURL della sola parte dispositiva del presente decreto; 6. di provvedere altresì alla pubblicazione integrale del presente provvedimento sul sito web www.cartografia.regione.lombardia.it/silvia/; 7. di rendere noto che contro il presente decreto è proponibile ricorso giurisdizionale presso il T.A.R. della Lombardia secondo le modalità di cui al d.lgs.",,
26,"2 luglio 2010, n. 104, ovvero è ammesso ricorso straordinario al Capo dello Stato, rispettivamente entro 60 o 120 giorni dalla data di avvenuta notificazione del presente atto.",,
27,Il dirigente Filippo Dadone,,
