sentence number,sentence,value (0/1)
1,– 16 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
4,"D.G. Famiglia, solidarietà sociale e volontariato D.d.g.",,
5,"29 gennaio 2014 - n. 514 Voltura dell’accreditamento per la seguente unità di offerta socio sanitaria: R.S.A. Villa Serena con sede in Galbiate (LC), piazza A. Grandi n. 1 da: Villa Serena s.p.a. con sede legale in Galbiate (LC), piazza A. Grandi n. 1, CF 02600960138 al nuovo gestore: KCS Caregiver cooperativa sociale con sede legale in Bergamo, via A. Manzoni n. 7, CF 02125100160 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Vista la d.g.r. del 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Richiamato in particolare l’Allegato A della sopra citata d.g.r., che reca disposizioni circa le procedure da seguire nei casi di variazione dell’Ente Gestore di una unità di offerta socio sanitaria accreditata; Vista altresì la d.g.r. del 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Dato atto che, verificata la documentazione prodotta a corredo della richiesta di parere preventivo per la voltura presentata, nei modi previsti dalla citata d.g.r. n. 3540/12, dall’Ente Gestore uscente e l’Ente Gestore subentrante, la Direzione Generale Famiglia, Solidarietà Sociale e Volontariato ha rilasciato il parere positivo con nota prot n. 17333 in data 31 dicembre 2013; Preso atto che, ottenuto il parere positivo della Direzione Generale intestata, il Legale Rappresentante del nuovo Ente Gestore subentrante KCS Caregiver Cooperativa Sociale, CF 02125100160, con nota protocollata in data 3 gennaio 2014 prot. n. 75, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha presentato a Regione Lombardia richiesta di voltura dell’accreditamento per l’unità d’offerta R.S.A. Villa Serena di Galbiate (LC), Piazza A. Grandi n. 1, già accreditata con d.d.g. n. 11331 del 3 dicembre 2013 per n. 184 posti letto e a contratto per n. 182 posti letto; Atteso che: −− l’ ASL di Lecco ha verificato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, come attestato dalla deliberazione del Direttore Generale n. 3 del 13 gennaio 2014, trasmessa alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato con nota protocollata in data 21 gennaio 2014 prot. n. 701, −− l’immobile dove è esercitata l’attività dell’unità di offerta oggetto della presente voltura è di proprietà di Villa Serena s.p.a. e sarà condotto a titolo di concessione, da parte dell’Ente Gestore subentrante, −− l’attività è esercitata a seguito di sottoscrizione di contratto di concessione per la gestione della R.S.A. sino al 31 dicembre 2035, −− per la realizzazione dell’immobile sede dell’attività sono stati impiegati finanziamenti regionali ex d.g.r.",,
6,"33576 del 19 dicembre 1997; Ritenuto: −− di provvedere alla iscrizione nell’apposito registro regionale della voltura di cui all’oggetto, con decorrenza dalla data di adozione del presente decreto, sulla base delle verifiche compiute dalla competente ASL di Lecco, −− di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Lecco, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti dalla d.g.r. n. 3540/2012 , con scadenza in data 20 febbraio 2014 ; Visti la l.r.",,
7,"7 luglio 2008, n. 20 ed i provvedimenti organizzativi della X Legislatura, adottati dalla Giunta Regionale; Richiamata in particolare la d.g.r.",,
8,"20 marzo 2013 n. 3 «Costituzione delle Direzioni Centrali e Generali, incarichi e altre disposizioni organizzative – I provvedimento organizzativo – X legislatura», con la quale è stato affidato l’incarico di Direttore Generale della Direzione Famiglia, Solidarietà sociale e Volontariato a Giovanni Daverio;",,
9,"Ravvisata la necessità di disporre la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e la relativa comunicazione all’ente gestore interessato ed alla ASL territorialmente competente; DECRETA 1. di provvedere, a favore del seguente nuovo Ente Gestore: KCS Caregiver Cooperativa Sociale con sede legale in Bergamo, Via A. Manzoni n. 7, CF 02125100160, alla voltura dell’accreditamento della seguente unità di offerta socio sanitaria: R.S.A. Villa Serena con sede in Galbiate (LC), Piazza A. Grandi n. 1, codice struttura 305002901, già accreditata con d.d.g. n. 11331 del 3 dicembre 2013 per n. 184 posti letto e a contratto per n. 182 posti letto, con decorrenza dalla data del presente provvedimento, sulla base delle verifiche compiute dall’ASL di Lecco; 2. di provvedere altresì all’iscrizione della suddetta voltura nell’apposito registro regionale; 3. di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Lecco, che dovrà essere modificato in relazione alla variazione del soggetto gestore e conseguentemente trasmesso alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato; 4. di disporre che, entro 90 giorni dall’adozione del presente atto, l’ASL territorialmente competente effettui una visita di vigilanza, al fine di verificare la permanenza dei requisiti di accreditamento; 5. di disporre la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia e la comunicazione all’ente gestore interessato, nonché alla ASL di Lecco.",,
10,Il direttore generale Giovanni Daverio D.d.g.,,
11,"29 gennaio 2014 - n. 515 Voltura dell’accreditamento per la seguente unità di offerta socio sanitaria: consultorio familiare «A.I.E.D. Milano» con sede in Milano, viale Regina Giovanna n. 36, dall’associazione non riconosciuta A.I.E.D. - Milano - CF 12295130152 al nuovo gestore: associazione A.I.E.D. - Milano con sede legale in Milano, viale Regina Giovanna n. 36 - CF 08298990964 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, SOLIDARIETÀ SOCIALE E VOLONTARIATO Vista la d.g.r. del 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Richiamato in particolare l’Allegato A della sopra citata d.g.r., che reca disposizioni circa le procedure da seguire nei casi di variazione dell’Ente Gestore di una unità di offerta socio sanitaria accreditata; Vista altresì la d.g.r. del 20 dicembre 2013 n. 1185 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2014»; Dato atto che, verificata la documentazione prodotta a corredo della richiesta di parere preventivo per la voltura presentata, nei modi previsti dalla citata d.g.r. n. 3540/12, dall’Ente Gestore uscente e l’Ente Gestore subentrante, la Direzione Generale Famiglia, Solidarietà Sociale e Volontariato ha rilasciato il parere positivo con nota prot n. 10564 in data 30 luglio 2013; Preso atto che, ottenuto il parere positivo della Direzione Generale intestata, il Legale Rappresentante del nuovo Ente Gestore subentrante, Associazione A.I.E.D. - Milano, CF 08298990964, con nota protocollata in data 5 novembre 2013 prot. n. 15031, integrata con nota prot. n. 15457 del 18 novembre 2013, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha presentato a Regione Lombardia richiesta di voltura dell’accreditamento per l’unità d’offerta: Consultorio Familiare A.I.E.D. di Milano, già accreditato con d.g.r. n. 3087 del 7 marzo 2012 e a contratto; Atteso che: −− l’ ASL di Milano ha verificato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, come attestato dalla Deliberazione del Direttore Generale n. 1619 del 23 dicembre 2013, trasmessa alla Direzione Generale Famiglia, Solidarietà Sociale e Volontariato con nota protocollata in data 8 gennaio 2014 prot. n. 165, −− l’immobile dove è esercitata l’attività dell’unità di offerta oggetto della presente voltura è di proprietà della Combi Line International s.p.a. e sarà condotto a titolo di locazione, da parte dell’Ente Gestore subentrante, −− l’attività è esercitata a titolo di gestione diretta,",,
12,Bollettino Ufficiale,,
13,– 15 – Serie Ordinaria n. 6 - Giovedì 06 febbraio 2014,,
14,"D.G. Istruzione, formazione e lavoro",,
15,Corpo di appartenenza,,
16,D.d.u.o.,,
17,31 gennaio 2014 - n. 632 Riassegnazione risorse anno 2014 - Programmazione 20132014 - Avviso per interventi rivolti al personale appartenente alle “Forze di Polizia”,,
18,Polizia di Stato,,
19,"€ 347.885,92",,
20,Corpo Forestale dello Stato,,
21,"€ 200.000,00",,
22,Corpo di Polizia Penitenziaria,,
23,"€ 250.000,00",,
24,Arma dei Carabinieri,,
25,"€ 300.000,00",,
26,Corpo della Guardia di Finanza,,
27,"€ 400.000,00",,
28,Polizia di Frontiera,,
29,"€ 300.000,00",,
30,"IL DIRIGENTE DELLA UNITÀ AUTORITÀ DI GESTIONE Richiamato il d.d.u.o. n. 10775 del 26 novembre 2012 avente ad oggetto «Programmazione 2013-2014 - Avviso per interventi rivolti al personale appartenente alle «Forze di Polizia» che decretava di effettuare al 31 dicembre 2013 un monitoraggio rispetto all’effettivo utilizzo delle risorse da parte dei singoli «Corpi di Polizia», al fine di definirne una riassegnazione Preso atto che avvalendosi, l’intervento, di risorse vincolate alla corrente programmazione comunitaria FSE 2007/2013 e che il mancato utilizzo delle stesse potrebbe comportare il rischio di disimpegno automatico delle risorse inutilizzate; Preso atto che per alcuni «corpi di Polizia» il monitoraggio e la successiva previsione di utilizzo delle risorse ha evidenziato un probabile mancato utilizzo delle risorse; Preso atto altresì, invece, che per alcuni «corpi di Polizia» le risorse assegnate sono già state completamente utilizzate e in particolare per il corpo di Polizia della Polizia di Stato le richieste di dote non attivate per mancanza di risorse sono diverse; Ritenuto opportuno al fine di una corretta riassegnazione delle risorse quantificare con i singoli referenti della formazione per i diversi corpi di appartenenza della Polizia le necessarie risorse per l’anno 2014; Ritenuto quindi di fornire adeguata risposta alle esigenze espresse dai singoli Comandi regionali dei corpi di polizia, secondo la seguente ripartizione; Corpo di appartenenza",,
31,Risorse,,
32,Polizia di Stato,,
33,"€ 347.885,92",,
34,Corpo Forestale dello Stato,,
35,"€ 200.000,00",,
36,Corpo di Polizia Penitenziaria,,
37,"€ 250.000,00",,
38,Arma dei Carabinieri,,
39,"€ 300.000,00",,
40,Corpo della Guardia di Finanza,,
41,"€ 400.000,00",,
42,Polizia di Frontiera,,
43,"€ 300.000,00",,
44,"Valutato, altresì, necessario, effettuare al 31 ottobre 2014 un monitoraggio e successiva riassegnazione delle risorse da parte dei singoli «corpi di polizia» al fine di evitare un mancato utilizzo delle risorse FSE che potrebbe comportare il rischio di disimpegno automatico delle risorse inutilizzate; Vista l’assegnazione funzionale per gestione di specifici avvisi POR FSE 2007/2013, protocollo E1.2013.0116998 del 15 maggio 2013 che dispone che per lo svolgimento delle attività di gestione degli avvisi (dote polizia e dote taxi) la sig.ra Olga Corsini e funzionalmente dipendente dall’Autorità di Gestione; Vista la l.r. n. 20/2008 «Testo unico delle leggi regionali in materia di organizzazione e personale»,nonchè i provvedimenti organizzativi della X legislatura; Preso atto che il presente provvedimento rientra tra le competenze della U.O. Autorità di Gestione individuate dalla d.g.r. n. 87 del 29 aprile 2013 (ovvero altro provvedimento organizzativo successivo) e dal decreto del segretario generale n. 7110 del 25 luglio 2013.",,
45,"Vista la l.r. n. 34/1978 e successive modifiche e integrazioni, nonchè il regolamento di contabilità e la legge regionale di approvazione del bilancio di previsione dell’anno in corso; Verificato che la spesa oggetto del presente atto non rientra nell’ambito di applicazione dell’art.3 della l. 136/2010 (tracciabilità dei flussi finanziari)».",,
46,Preso atto che il presente provvedimento è adottato nel rispetto dei termini di adozione stabiliti dalla legge 241/90.,,
47,DECRETA 1.,,
48,"Di approvare, per quanto già indicato in premessa, la riassegnazione delle risorse residue fissate al 31 dicembre 2013 che risulta pari ad € 1.797.885,92 , e di ripartirla per i diversi corpi di appartenenza, così come da tabella di seguito riportata:",,
49,Risorse,,
50,"2.di effettuare al 31 ottobre 2014 un monitoraggio e successiva riassegnazione delle risorse da parte dei singoli «corpi di polizia», al fine di evitare il mancato utilizzo delle risorse FSE che potrebbe comportare il rischio di disimpegno automatico delle risorse inutilizzate 3,di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito internet www.lavoro.regione.lombardia.it; 4. di attestare che contestualmente alla data di adozione del presente atto si provvede alla pubblicazione di cui agli artt.",,
51,26 e 27 del d.lgs.,,
52,33/2013».,,
53,Il dirigente Cristina Colombo,,
