sentence number,sentence,value (0/1)
1,– 12 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
4,D) ATTI DIRIGENZIALI Giunta regionale,,
5,D.G. Sistemi verdi e paesaggio D.d.s.,,
6,"31 dicembre 2012 - n. 12668 Approvazione del “Quadro riepilogativo di confronto” per il reciproco riconoscimento delle attività formative realizzate in campo forestale nei territori della Provincia Autonoma di Trento e delle Regioni Lombardia, Liguria e Piemonte IL DIRIGENTE DELLA STRUTTURA FORESTE Visti: • il «Trattato sul funzionamento dell’Unione Europea» al Titolo VII «Norme comuni sulla concorrenza, sulla fiscalità e sul ravvicinamento delle legislazioni» e in particolare l’articolo 102, che vieta lo sfruttamento abusivo, da parte di una o più imprese, di una posizione dominante sul mercato interno o su una parte sostanziale di questo; • il d.lgs. n. 227/2001 «Orientamento e modernizzazione del settore forestale, a norma dell’articolo 7 della legge 5 marzo 2001, n. 57» che: • all’art.",,
7,"12 (Ricerca, formazione e informazione) attribuisce alle Regioni la cura della formazione degli addetti che a vario titolo operano nel settore forestale; • all’articolo 7, al fine di promuovere la crescita delle imprese forestali e qualificarne la professionalità, affida alle Regioni l’istituzione di elenchi o albi delle imprese per l’esecuzione di lavori, opere e servizi in ambito forestale; • la l.r.",,
8,"19/2007 «Norme sul sistema educativo di istruzione e formazione della Regione Lombardia»; • la l.r. n. 31 del 5 dicembre 2008 «Testo unico delle leggi in materia di agricoltura, foreste, pesca e sviluppo rurale» e in particolare l’art.",,
9,"57 che prevede l’istituzione dell’Albo Regionale delle Imprese Boschive a cui vengono iscritte le imprese con idonee capacità tecnico-professionali per l’esecuzione delle attività selvicolturali; • il r. r. n. 5 del 20 luglio 2007 «Norme forestali regionali, in attuazione dell’articolo 11 della legge regionale 28 ottobre 2004, n. 27 (Tutela e valorizzazione delle superfici, del paesaggio e dell’economia forestale)» che definisce l’entità e la tipologia degli interventi che possono essere realizzati da «imprese boschive di cui all’art.",,
10,57 della l.r.,,
11,"31/2008 o con analoghe qualifiche attestate da altre regioni o da stati membri dell’Unione Europea»; • la d.g.r. n. 8396/2008 di «Istituzione dell’Albo regionale delle imprese boschive»; Preso atto dei decreti regionali: • n. 15404 del 19 dicembre 2008 «Albo regionale delle imprese boschive: criteri e modalità per l’iscrizione e l’aggiornamento» che prevede, tra i requisiti per l’iscrizione, la presenza nell’organico della ditta di «almeno un addetto, legato stabilmente e in modo esclusivo all’impresa che possieda specifiche competenze tecnico-professionali nell’esecuzione delle attività selvicolturali acquisite con percorsi di formazione professionale, ai sensi della l.r.",,
12,"19/2007»; • n. 4096 del 27 aprile 2009 «Indicazioni regionali per percorsi formativi di Operatore Forestale Responsabile e Istruttore Forestale» che approva, ai sensi della l.r.",,
13,"19/2007, lo standard professionale di «Operatore Forestale Responsabile» e di «Istruttore Forestale», i relativi percorsi formativi e i crediti formativi; Dato atto che gli enti di seguito citati hanno normato in modo differente la formazione in materia forestale, come sotto riportato: • la Regione Piemonte, nell’ambito del «Sistema informativo integrato della Direzione regionale Istruzione, Formazione professionale e Lavoro», con d.d n. 813/DA1415 del 19 dicembre 2007 e s.m.i., ha individuato per il comparto forestale e ambientale i percorsi formativi specifici per ciascun profilo professionale e con d.d. n. 1244/DB1416 del 16 maggio 2012 ha approvato le modalità di realizzazione degli esami finali per il rilascio della qualifica di Operatore forestale, Operatore in ingegneria naturalistica e Operatore in treeclimbing; • la Regione Liguria, nell’ambito della l.r.",,
14,"11 maggio 2009,",,
15,"ne e orientamento», con d.g.r. n. 339 del 22 marzo 2012, ha definito le figure professionali dell’Operatore e dell’Istruttore forestale, inserendole contestualmente nel Repertorio regionale delle professioni; • la Provincia autonoma di Trento, nell’ambito della l.p.",,
16,"23 maggio 2007, n. 11 «Governo del territorio forestale e montano, dei corsi d’acqua e delle aree protette», con d.g.p. n. 559 del 7 marzo 2008 e d.g.p. n. 160 del 4 febbraio 2011, ha disciplinato una serie di attività formative e dimostrative in materia di organizzazione, tecnica e sicurezza dei lavori di utilizzazione forestale calibrata sulle esigenze dei tecnici forestali e personale addetto alla vigilanza e degli operatori impegnati nel settore del taglio dei boschi e della manutenzione del territorio, sia del settore privato che pubblico; Considerato che: • le norme della Provincia Autonoma di Trento e delle Regioni Lombardia, Liguria e Piemonte in materia di boschi e foreste definiscono in modo differente l’entità e le tipologie di interventi selvicolturali che possono essere eseguiti dalle imprese boschive; • i rappresentanti delle Regioni Lombardia, Liguria e Piemonte e della Provincia Autonoma di Trento, nell’ambito del convegno «Lo stato dell’arte della formazione forestale lungo l’arco alpino» svoltosi a Barzio (LC) il giorno 6 ottobre 2011, hanno deciso di attivare un percorso congiunto finalizzato al reciproco riconoscimento delle attività formative realizzate in campo forestale, al fine di non ostacolare e limitare le attività delle imprese boschive nei rispettivi territori; • sulla base di tale impegno, i predetti enti territoriali hanno successivamente istituito un gruppo di lavoro che ha analizzato, sia sotto un profilo tecnico che amministrativo, le iniziative formative codificate e già realizzate sugli argomenti in parola, pervenendo così all’elaborazione di un quadro riepilogativo di confronto; • i suddetti enti hanno fatto proprie le risultanze del citato gruppo di lavoro, impegnandosi, con note agli atti regionali, a recepire con idoneo provvedimento amministrativo il predetto quadro di confronto; Preso atto che il quadro riepilogativo di confronto delle attività formative realizzate in campo forestale dalla Provincia Autonoma di Trento e dalle Regioni Lombardia, Liguria e Piemonte è stato approvato da: • Regione Piemonte con determinazione n. 1992 del 2 agosto 2012; • Provincia Autonoma di Trento con delibera n. 2255 del 19 ottobre 2012; Ritenuto, sentita anche la D.G. Occupazione e Politiche del lavoro, di provvedere all’approvazione del quadro riepilogativo di confronto per il reciproco riconoscimento delle attività formative realizzate in campo forestale dalla Provincia Autonoma di Trento e dalle Regioni Lombardia, Liguria e Piemonte; Ritenuto quindi che le imprese boschive con sede legale al di fuori del territorio lombardo, che abbiano nel proprio organico almeno un addetto con: • un attestato rilasciato dalla Regione Piemonte o dalla Regione Liguria da cui risulti aver frequentato con profitto il corso identificato con il modulo UF4 «Utilizzo in sicurezza della motosega nelle operazioni di abbattimento e allestimento, livello avanzato»; • un attestato rilasciato dalla Provincia Autonoma di Trento da cui risulti aver frequentato con profitto il corso «Regole avanzate per il taglio degli alberi forestali»; possano svolgere sul territorio lombardo l’attività forestale consentita alle imprese boschive iscritte all’Albo regionale; Visti la l.r. n. 20/2008 e i provvedimenti organizzativi della IX Legislatura; DECRETA 1. di approvare l’allegato «Quadro riepilogativo di confronto», parte integrante e sostanziale del presente decreto, per il reciproco riconoscimento delle attività formative realizzate in campo forestale nei territori della Provincia autonoma di Trento e delle Regioni Lombardia, Liguria e Piemonte; 2. di dare atto, pertanto, che le imprese boschive con sede legale al di fuori del territorio lombardo, che abbiano nel proprio organico almeno un addetto con:",,
17,Bollettino Ufficiale,,
18,– 13 – Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
19,"gione Liguria da cui risulti aver frequentato con profitto il corso identificato con il modulo UF4 «Utilizzo in sicurezza della motosega nelle operazioni di abbattimento e allestimento, livello avanzato»; • un attestato rilasciato dalla Provincia Autonoma di Trento da cui risulti aver frequentato con profitto il corso «Regole avanzate per il taglio degli alberi forestali»; possono svolgere sul territorio lombardo l’attività forestale consentita alle imprese boschive iscritte all’Albo regionale; 3. di disporre la pubblicazione integrale del presente decreto sul Bollettino Ufficiale di Regione Lombardia e sul sito web della Direzione Generale Sistemi Verdi e Paesaggio.",,
20,Il dirigente della struttura Roberto Carovigno ——— • ———,,
21,Bollettino Ufficiale,,
22,– 14 – Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
23,ALLEGATO QUADRO RIEPILOGATIVO DI CONFRONTO Tabella riassuntiva Provincia autonoma di Trento,,
24,Regione Liguria,,
25,Regione Lombardia,,
26,Regione Piemonte,,
27,UF1,,
28,UF1,,
29,Sicurezza e tecniche di base per il taglio degli alberi,,
30,UF2,,
31,UF2,,
32,Regole base per il taglio degli alberi forestali,,
33,UF3,,
34,Operatore forestale,,
35,UF3,,
36,Regole avanzate per il taglio degli alberi forestali,,
37,UF4,,
38,Operatore forestale responsabile,,
39,UF4,,
40,Sicurezza e tecnica dell’esbosco con trattore e verricello,,
41,UF5,,
42,UF5,,
43,UF6f,,
44,UF6f,,
45,Qualifica professionale da operatore forestale,,
46,Qualifica professionale da operatore forestale,,
47,Responsabile della conduzione di utilizzazioni forestali,,
