sentence number,sentence,value (0/1)
1,–4–,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 4 - Mercoledì 23 gennaio 2013,,
4,D.G. Sanità D.d.g.,,
5,"21 gennaio 2013 - n. 252 Indicazioni in merito alle attività dei servizi di medicina di laboratorio riguardo le attività di POCT (Point of Care Testing) IL DIRETTORE GENERALE Visti: −− il d.p.r. del 14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle regioni e alle provincie autonome di Trento e di Bolzano, in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; −− la legge regionale 30 dicembre 2009, n. 33 «Testo unico delle leggi regionali in materia di sanità»; Richiamati: −− la d.g.r. n. VI/38133 del 6 agosto 1998 «Attuazione dell’art.",,
6,"12, comma 3 e 4 della l.r.",,
7,11 luglio 1997 n. 31.,,
8,Definizione di requisiti e indicatori per l’accreditamento delle strutture sanitarie»; −− la d.g.r. n. VII/3265 del 26 gennaio 2001 «Ulteriori indicazioni in merito alla modalità di verifica degli standard e per l’accreditamento delle strutture sanitarie pubbliche e private previste dalla d.g.r.,,
9,VI/38133/98» che prevede che in una struttura di ricovero e cura siano garantite le prestazioni di medicina di laboratorio anche tramite «esternalizzazione» del servizio; −− la d.g.r. n. VII/3313 del 2 febbraio 2001 «Approvazione delle direttive in ordine all’attuazione delle disposizioni di cui alla l.r.,,
10,"12 agosto 1999 n. 15, art.",,
11,"4, comma 4, relative ai Servizi di Medicina di Laboratorio e all’attività di prelievo» e successive modifiche ed integrazioni; −− il decreto D.g.",,
