sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 35 – Serie Ordinaria n. 3 - Mercoledì 16 gennaio 2013,,
3,D.d.u.o.,,
4,"10 gennaio 2013 - n. 96 Progetto di un allevamento suinicolo con impianto di trattamento dei reflui zootecnici e produzione di energia, nel comune di Dorno (PV).",,
5,Proponente: Agridorno società agricola - Dorno.,,
6,Pronuncia di compatibilità ambientale ai sensi del d.lgs.,,
7,152/2006 e della l.r.,,
8,5/2010 IL DIRIGENTE DELL’UNITA’ ORGANIZZATIVA SVILUPPO SOSTENIBILE E VALUTAZIONI AMBIENTALI OMISSIS DECRETA 1. di esprimere - ai sensi del d.lgs.,,
9,152/2006 e della l.r.,,
10,"5/2010 giudizio positivo in ordine alla compatibilità ambientale del progetto di allevamento suinicolo con impianto di trattamento dei reflui zootecnici, per una capacità complessiva di 17.500 capi, nel Comune di Dorno (PV) - strada per Pieve Albignola, secondo la soluzione progettuale prospettata negli elaborati depositati dal proponente Società Agricola Agridorno s.s., a condizione che siano ottemperate le seguenti prescrizioni, che dovranno essere espressamente recepite nei successivi provvedimenti di autorizzazione e approvazione del progetto stesso: quadro progettuale e gestionale e fase di costruzione: a. in rapporto alle possibili interferenze dei manufatti con le acque sotterranee, il progetto dei sistemi di smaltimento delle acque meteoriche e reflue dovrà rispettare il franco minimo dal livello minimo di escursione della falda - pari a 2 metri per i pozzi perdenti e pari ad un metro per l’impianto di subirrigazione - fra la base del singolo manufatto e il livello di massima escursione della falda stessa; b. per prevenire tracimazioni è opportuno garantire un adeguato battente di sicurezza delle vasche di stoccaggio di reflui e fanghi, con l’installazione di sistemi di allarme e controllo automatico adeguati anche a segnalare - più in generale - anomalie o guasti agli apparati di movimentazione dei reflui; l’intero sistema di vasche e condotte dell’allevamento e dell’impianto di trattamento dei reflui sia sottoposto a regolare manutenzione e a periodica verifica di tenuta; c. prima di procedere all’utilizzo agronomico dei reflui zootecnici il proponente adegui il relativo piano operativo aziendale - in termini di carico zootecnico e di superficie agraria a disposizione - nei tempi e nei modi previsti dalla normativa regionale di settore; nel caso di sopravvenuta indisponibilità di adeguate superfici sia proporzionalmente limitato il numero dei capi allevati; la distribuzione dei reflui - svolta direttamente dal proponente o da contoterzisti - sia prontamente seguita dall’interramento, per limitare la produzione di odori; d. si rammenta che nella realizzazione del progetto dovranno essere seguiti i criteri contenuti nelle linee guida «Criteri igienici e di sicurezza in edilizia rurale», approvate con decreto regionale n. 20109 del 29 dicembre 2005 [B.U.R.L. - 3° suppl. straordinario al n. 6 del 10.02.2006]; e. gli approvvigionamenti idrici dovranno essere misurati a mezzo di apposito contatore, secondo quanto disposto dal d.lgs.",,
11,"152/2006; f. il passaggio dei mezzi di approvvigionamento in fase di cantiere e - a regime - degli automezzi di movimentazione dei mangimi e degli animali, nonché dei fanghi diretti allo spandimento in campo, sia effettuato utilizzando percorsi esterni ai centri abitati; ove ciò non risultasse possibile, siano concordati con le Amministrazioni comunali interessate specifici itinerari e/o fasce orarie di transito; g. ai fini del rilascio dell’autorizzazione integrata ambientale (a.i.a.) siano affinati e dettagliati:",,
12,"• il sistema di raccolta e smaltimento delle acque meteoriche, delle reflue civili, delle acque di lavaggio delle strutture, del piazzale esterno e degli automezzi, in coerenza con il regolamento regionale 4/2006;",,
13,"pannoni e i relativi sistemi di regolazione, il controllo periodico della pressione degli abbeveratoi, il controllo e manutenzione della rete idrica dell’allevamento, in modo da ridurre i consumi energetici;",,
14,• la frequenza e il sistema di accertamento e verifica dell’avvenuta disinfezione degli automezzi afferenti all’allevamento; la pulizia ordinaria e straordinaria degli ambienti e delle attrezzature;,,
15,"h. durante la fase di costruzione sia perseguita la massima limitazione delle emissioni di rumore, gas di scarico e polvere, adottando macchine adeguatamente silenziate e le normali cautele previste nella corretta gestione di un cantiere edile con gli opportuni accorgimenti; i depositi di terre di scavo siano localizzati all’interno del sedime recintato, ed utilizzati prioritariamente per gli interventi di mitigazione a verde; i. circa la via di accesso all’allevamento, il proponente concordi con il Comune di Dorno, e con il competente Ufficio della Provincia di Pavia, specifici interventi atti a rendere la SP122 compatibile con il passaggio dei mezzi pesanti, mediante la formazione di piazzole di incrocio e la sistemazione degli accessi e intersezioni, in particolare quella con la SP206; quadro ambientale: j. il proponente predisponga ed attui, ad integrazione e in coordinamento con il piano di monitoraggio ai fini dell’a.i.a. e con l’autorizzazione ai sensi del d.lgs.",,
