sentence number,sentence,value (0/1)
1,– 20 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 D.d.g.,,
4,"21 dicembre 2012 - n. 12655 Accreditamento di unità di offerta socio sanitarie di assistenza domiciliare integrata aventi sede nella ASL Milano ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti: • il d. lgs.",,
5,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
6,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
7,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; • la l.r.,,
8,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
9,Collegato» e successive modifiche; • la l.r.,,
10,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e sociosanitario»; • la l.r.",,
11,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
12,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»; Richiamate le dd.g.r.: • 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»; • 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; • la d.g.r.",,
13,"30 maggio 2012, n. 3541, rettificata dalla d.g.r.",,
14,6 giugno 2012 n. 3584 «Definizione dei requisiti specifici per l’esercizio e l’accreditamento dell’Assistenza Domiciliare Integrata» • la d.g.r.,,
15,"25 luglio 2012, n. 3851 «Determinazioni in ordine alle tariffe sperimentali dei nuovi profili dell’Assistenza Domiciliare Integrata»; Richiamato inoltre il d.d.g. della Direzione Generale Famiglia, Conciliazione, Integrazione e Solidarietà Sociale del 3 agosto 2012, n. 7089 ad oggetto: «Determinazioni in ordine all’Assistenza Domiciliare Integrata»; Dato atto che le unità di offerta in oggetto sono abilitate all’esercizio per effetto di SCIA, positivamente verificate con verbale dell’ASL di Milano, in conformità alla d.g.r. n. 3540/2012; Rilevato che gli enti gestori indicati nell’Allegato A, parte integrante del presente provvedimento, hanno presentato istanza di accreditamento per le rispettive unità di offerta; Visti il provvedimento di attestazione del possesso dei requisiti di accreditamento emesso dall’ASL di Milano, indicato nell’Allegato A; Ritenuto di accogliere le richieste di accreditamento in oggetto per le motivazioni sopra descritte; Stabilito che la ASL territorialmente competenti deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
16,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione agli enti gestori interessati, ed alla ASL territorialmente competente; DECRETA 1. di accreditare, con decorrenza dalla data di approvazione",,
17,"tegrata, analiticamente indicate nell’Allegato A, parte integrante del presente provvedimento, afferenti alla ASL di Milano sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla suddetta ASL ed attestati con il provvedimento indicato nel citato Allegato A; 2. di provvedere all’iscrizione delle unità di offerta oggetto del presente accreditamento nell’apposito registro regionale delle unità di offerta socio sanitarie accreditate; 3. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 4. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione agli enti gestori interessati, ed alla ASL territorialmente competente.",,
18,Il direttore generale Roberto Albonetti ——— • ———,,
19,Bollettino Ufficiale,,
20,– 21 – Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 ALLEGATO A UNITA’ DI OFFERTA SOCIO SANITARIE : ASSISTENZA DOMICILIARE INTEGRATA AVENTI SEDE NELLA ASL DI MILANO,,
21,N. 1 2 3,,
22,RAGIONE SOCIALE ENTE GESTORE A.M.P. PAXME DOMICILIARE SOCIETA' COOPERATIVA SOCIALE ALLEANZA SOCIALE PROTAGONISTA CONSORZIO DI COOPERATIVE PAXME ASSISTANCE SOCIETA' COOPERATIVA,,
23,Indirizzo,,
24,SCIA presentata presso l'ASL di,,
25,data presentazione richiesta accreditamento,,
26,richiesta accr.,,
27,Cure palliative (sì/no),,
