sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 33 – Serie Ordinaria n. 3 - Mercoledì 16 gennaio 2013,,
3,"D.G. Ambiente, energia e reti D.d.u.o.",,
4,10 gennaio 2013 - n. 97 Progetto di installazione di un impianto microidroelettrico a coclea idraulica situato in comune di Pradalunga (BG) sul fiume Serio.,,
5,"Proponente: Gala Green s.r.l. - Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
6,152/2006 e della l. r. 5/2010 IL DIRIGENTE DELL’UNITA’ ORGANIZZATIVA SVILUPPO SOSTENIBILE E VALUTAZIONI AMBIENTALI OMISSIS DECRETA di non assoggettare alla procedura di Valutazione di impatto ambientale ai sensi dell’art.,,
7,"20, comma 6 del d.lgs 152/06 il progetto relativo alla «installazione di un impianto microidroelettrico a coclea idraulica situato in comune di Pradalunga (BG)» secondo la soluzione progettuale indicata negli elaborati per le motivazioni espresse in premessa, a condizione che siano ottemperate le seguenti prescrizioni, che dovranno essere espressamente recepite nei successivi provvedimenti di autorizzazione e approvazione del progetto in parola: a. dovranno essere puntualmente adottate tutte le precauzioni e pienamente attuate tutte le misure di mitigazione/ monitoraggio prefigurate nel progetto e quelle prescritte nel seguito; b. relativamente agli aspetti cantieristici, le successive fasi progettuali dovranno definire: b1. un dettaglio del cronoprogramma dei lavori, che dovrà essere predisposto in modo da evitare interferenze con l’attività biologica delle specie animali presenti, in particolare rispetto ai cicli riproduttivi della fauna ittica; b2. le modalità di trasporto del materiale e delle attrezzature, nonché le cautele necessarie a diminuire l’emissione di polveri; b3. l’utilizzo di macchinari di cantiere a norma di legge, con l’obiettivo di ridurre alla fonte le emissioni nell’ambiente circostante; b4. durante la fase di cantiere dovranno essere adottate tecniche idonee a garantire la massima tutela di suolo, sottosuolo, acque superficiali, atmosfera, rumore e vibrazioni, nonché tutte le cautele necessarie ad assicurare la sicurezza del cantiere, fermo restando gli accorgimenti presentati nel progetto e in premessa, in particolare rispetto alla cautela necessaria per evitare la contaminazione delle acque e per prevenire sversamenti di liquidi classificabili come rifiuti pericolosi (oli, filtri e stracci sporchi di olio), per i quali dovrà essere prevista un’area appositamente attrezzata per la loro manipolazione e contenimento in caso di sversamenti accidentali o errori nelle manovre di carico e/o scarico; b5. deve essere vietato il lavaggio dei mezzi di cantiere in loco; b6. le aree e le piste interessate dalle attività di cantiere dovranno essere ripristinate allo stato dei luoghi nel più breve tempo e dovranno essere limitate al minimo spazio occupato; c. relativamente agli aspetti legati alla compatibilità geologica: c1. nelle successive fasi per l’approvazione dell’intervento, considerata la classificazione di rischio idrogeologico in classe «Em» e per la corretta progettazione delle strutture di fondazione, siano prodotte adeguate indagini geologiche e geognostiche, oltre a opportuni studi idraulici nell’intorno dell’area di intervento; c2. con particolare riferimento alla stabilità dei fronti di scavo, dovranno essere assicurati tutti gli accorgimenti utili a garantire al sicurezza dei lavori durante le operazioni di cantiere; d. relativamente agli aspetti ecologici: d1. il punto di rilascio delle acque turbinate deve essere direzionato quanto più possibile secondo la direttrice di flusso del corpo idrico; d2. deve essere minimizzata l’artificializzazione del fiume",,
8,"turalistica; in particolare, anche al fine di minimizzare l’impatto visivo, le pareti esterne visibili delle opere di adduzione e di restituzione dovranno essere ricoperte con materiale lapideo di origine fluviale locale; d3. deve essere limitato il passaggio della fauna ittica lungo la presa e la condotta, posizionando una griglia di protezione all’imbocco dell’opera di presa con maglie non superiori a 15 mm, nonché devono essere previste opportune soluzioni che consentano il ritorno dei pesci nel corso d’acqua; d4. le attività di manutenzione e pulizia che potranno comportare l’intorbidimento delle acque, compreso lo svuotamento periodico del canale di adduzione da sabbie e ghiaie, dovranno essere svolte nella finestra temporale compresa tra luglio e ottobre e dovranno avvenire in un periodo da concordarsi con l’ufficio competente per la fauna ittica della Provincia di Bergamo; d5. nelle successive fasi approvative, andrà definito un piano di manutenzione dei previsti passaggi per i pesci; d6. sia valutata dall’ufficio competente al rilascio della concessione la congruenza del progetto con la normativa di settore in materia di tutela dell’ittiofauna anche tenuto conto delle linee guida «Interventi idraulici ittiocompatibili» Quaderno di Ricerca n. 125, gennaio 2011 a cura di Regione Lombardia D.G. Agricoltura; in particolare sia valutata la funzionalità dei passaggi di risalita previsti dal progetto in ogni condizione di idraulica, la necessità di barriere di tipo fisico o comportamentale per indirizzare la discesa della fauna lungo il ramo destro del fiume durante i periodi di solo rilascio del DMV; d7. si demanda all’autorità competente al rilascio della concessione la verifica circa il valore di DMV previsto nonché la modalità del suo rilascio (ex d.g.r.",,
9,"29 marzo 2006, n. 2244 e d.g.r.",,
10,"19 dicembre 2007, n. 6232); sia comunque prevista la modulabilità del DMV, che dovrà essere garantita da sistemi automatizzati, così come l’acquisizione dei dati di portata, a monte e a valle dell’opera di presa; d8. è fatta salva la facoltà dell’Autorità competente al rilascio della concessione di prevedere ulteriori prescrizioni a salvaguardia del DMV, del mantenimento dell’equilibrio ecosistemico acquatico e ripariale e del paesaggio; d9. le successive fasi progettuali dovranno prevedere interventi compensativi e mitigativi, con particolare riguardo per l’ecosistema fluviale e finalizzati a supportare il raggiungimento degli obiettivi di qualità fissati per corpo idrico e a ridurne le criticità, da definire sulla scorta delle indicazioni fornite nella documentazione depositata ed in accordo con i competenti Uffici al rilascio della concessione; andrà prevista la ripiantumazione delle specie vegetali rimosse in accordo con gli enti territorialmente competenti in ottemperanza a quanto disposto dalla d.g.r. n. VIII/675 del 21 settembre 2005 e s.m.i.; andrà valutata l’opportunità di una riqualificazione dell’intera traversa al fine di garantire il passaggio dei pesci; d10. i misuratori di portata previsti dovranno seguire le indicazioni tecniche che verranno concordate con l’autorità competente al rilascio della concessione e ARPA Lombardia; d11. dovrà essere effettuato un monitoraggio sito-specifico ambientale di durata almeno triennale e a cadenza annuale, con particolare riferimento ai periodi più critici, al fine di verificare l’effettiva funzionalità dei passaggi per pesci, validità dei rilasci del DMV proposto, e in generale la continuità ecologica del tratto sotteso; tale monitoraggio dovrà essere concordato con l’Autorità competente per il rilascio della concessione e dovrà essere sviluppato in coerenza con quanto disposto dal d.lgs.",,
