sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 61 – Serie Ordinaria n. 4 - Lunedì 21 gennaio 2013,,
3,"D.G. Ambiente, energia e reti D.d.u.o.",,
4,"15 gennaio 2013 - n. 142 Progetto del secondo lotto della tangenziale di Roverbella, di collegamento tra la ex SS 249 “Gardesana Orientale”(tratto nord) e la SP 17 “Postumia” (tratto ovest).",,
5,"Proponente: Provincia di Mantova - Settore Progettazione della viabilità e delle infrastrutture.Verifica di assoggettabilità alla valutazione d’impatto ambientale, ai sensi del d.lgs.",,
6,152/2006 e della l.r.,,
7,5/2010 IL DIRIGENTE DELL’UNITÀ ORGANIZZATIVA SVILUPPO SOSTENIBILE E VALUTAZIONI AMBIENTALI OMISSIS DECRETA 1. di escludere dalla procedura di valutazione d’impatto ambientale - ai sensi del d.lgs.,,
8,152/2006 e della l.r.,,
9,"5/2010 - il progetto del secondo lotto della tangenziale di Roverbella, di collegamento tra la SP (ex SS) 249 «Gardesana orientale» (tratto nord) e la SP n. 17 «Postumia» (tratto ovest), secondo la soluzione progettuale indicata negli elaborati prodotti dalla Provincia di Mantova, a condizione che siano ottemperate le seguenti prescrizioni, che dovranno essere espressamente recepite nei successivi provvedimenti di autorizzazione del progetto in parola: a. in sede di redazione del progetto esecutivo siano dettagliati:",,
10,"mento, la gestione [rumore, polveri, movimento e stoccaggio dei materiali e dei rifiuti, protezione della risorsa idrica] e la sistemazione finale delle aree di cantiere, la viabilità di accesso ed il cronoprogramma dei lavori;",,
11,"• la caratterizzazione geotecnica e idraulica dei terreni interessati e dell’acquifero sotterraneo, ferma restando l’osservanza delle norme tecniche per le costruzioni di cui al d.m.",,
12,14 gennaio 2008;,,
13,• il sistema di raccolta e smaltimento delle acque meteoriche e degli sversamenti accidentali sulla piattaforma stradale;,,
14,ni della l.r.17/2000 e della d.g.r.,,
15,VII/6162 del 20 settembre 2001 relative al contrasto all’inquinamento luminoso;,,
