sentence number,sentence,value (0/1)
1,– 12 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 4 - Lunedì 21 gennaio 2013 D.g.r.,,
4,"16 gennaio 2013 - n. IX/4685 Piano regionale di monitoraggio ambientale per la ricerca di diossine e altri contaminanti ambientali in alimenti di origine animale - Anno 2013 LA GIUNTA REGIONALE Premesso che la «Conferenza permanente per i rapporti tra lo Stato, le Regioni e le Province Autonome di Trento e Bolzano» ha sancito l’Intesa, ai sensi dell’art.",,
5,"115 comma 1 lettera a) del decreto legislativo 31 marzo 1998 n. 112, sulla proposta del Ministro della salute di deliberazione del CIPE per l’assegnazione alle Regioni delle risorse vincolate, ai sensi dell’art.",,
6,"1, comma 34,della legge 23 dicembre 1996, n. 662, per l’anno 2011, alla realizzazione degli obiettivi del Piano sanitario nazionale ed accantonate con deliberazione n. 16 del 20 gennaio 2012 del CIPE per il finanziamento dei progetti regionali in materia di controlli sulla contaminazione da diossine, registrata al Repertorio Atti n. 226/ csr del 22 novembre 2012; Evidenziato che tale Intesa riporta: • l’allegato A che individua le modalità di accesso alle risorse assegnate stabilendo che le Regioni sono tenute a presentare, entro 60 giorni dall’espressione dell’Intesa i programmi attuativi approvati con delibera regionale, al Ministero della salute; stabilendo altresì che ciascun programma attuativo deve essere corredato da un prospetto che evidenzi: −− gli obiettivi che si intendono conseguire −− il termine del 31 dicembre 2013 entro il quale tali obiettivi devono essere raggiunti −− i costi connessi −− gli indicatori che consentano di misurare la validità dell’investimento proposto • l’allegato I che prevede l’assegnazione alle Regioni di risorse vincolate ai sensi dell’art.",,
7,"1, comma 34, della legge 23 dicembre 1996, n. 662, per l’anno 2011, alla realizzazione degli obiettivi del Piano sanitario nazionale ed accantonate con deliberazione n. 16 del 20 gennaio 2012 del CIPE per il finanziamento dei progetti regionali in materia di controlli sulla contaminazione da diossine; • l’allegato II che dispone l’attuazione di un progetto interregionale per il monitoraggio sui contaminanti ambientali negli alimenti di origine animale prodotti in aree che presentano fattori di rischio antropico e che possono determinare una contaminazione chimica della catena alimentare e della filiera ittica che rappresenta, per la sua posizione nella catena alimentare, un punto di accumulo dei contaminanti ambientali, e definisce i criteri con cui ogni Regione deve predisporre i propri programmi attuativi; Visto il piano nazionale triennale di monitoraggio dei contaminanti ambientali in alimenti di origine animale prodotti nei siti di interesse nazionale, predisposto dal Ministero della salute, in collaborazione con le Regioni e le Province autonome di Trento e di Bolzano, l’Istituto Superiore di Sanità, il Centro di referenza per la valutazione del rischio e gli Istituti Zooprofilattici Sperimentali, di cui alla nota del 10 febbraio 2011 prot.",,
8,"003757 del 10 febbraio 2011; Preso atto che in Lombardia sono state individuate sette aree, con provvedimento del Ministero dell’Ambiente della tutela e del territorio e del mare, come Siti di interesse nazionale (SIN) ai sensi dell’art.",,
9,"252, commi 1 e 2, del d.lgs. n. 152 del 2006 e precisamente: 1.",,
10,Cerro al Lambro (D.m.,,
11,468/2001) 2.,,
12,Laghi di Mantova e Polo Chimico (D. 7 febbraio 2003) 3.,,
13,Sesto San Giovanni (D. 31 agosto 2001) 4.,,
14,Broni (D.m.,,
15,26 novembre 2002) 5.,,
16,Brescia Caffaro (Legge 179/2002 art.,,
17,14; decreto del Ministro dell’Ambiente e della Tutela del Territorio del 24 febbraio 2003) 6.,,
18,Milano-Bovisa (D.m.18 settembre 2001n.,,
19,468; d.m.,,
20,"28 novembre 2006, n. 308; Decreto 8 luglio 2002 del Ministero dell’Ambiente e della Tutela del Territorio) 7.",,
21,"Pioltello e Rodano (Legge 23 dicembre 2000, n. 388 e decreto del Ministero dell’Ambiente e della Tutela del Territorio del 31 agosto 2001) Stabilito che i SIN indicati ai punti 5, 6, e 7 sono da includere nel piano di monitoraggio di cui all’allegato A del presente atto, precisando che i SIN di Pioltello Rodano, Sesto San Giovanni e Milano Bovisa, presentando analoghe criticità ambientali e una rilevante sovrapposizione territoriale, possono essere considerati",,
22,"come un’unica grande area sulla quale pianificare l’attività di campionamento; Stabilito altresì che è opportuno approfondire la conoscenza dello «stato di salute» delle acque superficiali mediante il monitoraggio della fauna ittica, come elemento fondamentale per la tutela dell’ambiente e della sanità pubblica in linea con i principi della sicurezza alimentare; Visti i verbali del Ministero della salute prot. n. 42655 del 20 dicembre 2012, n. 42653 del 20 dicembre 2012 e n. 43139 del 24 dicembre 2012 che definiscono le caratteristiche dei tre sopracitati SIN nonché le topologie di matrici da campionare (uova o latte ovino-caprino) e le ricerche da effettuare (PCB, diossine e PCB diossina-simili, idrocarburi policiclici aromatici, fenoli e metalli pesanti); Valutato che il «Piano di monitoraggio» di cui all’allegato A del presente atto è conforme ai criteri indicati dal Ministero della salute, all’Intesa sopra citata, nonché alla necessità di approfondire le conoscenze sulla contaminazione della fauna ittica dei principali fiumi e laghi della Lombardia; Preso atto che i costi per l’attuazione del «Piano di monitoraggio» in parola sono assicurati dal finanziamento previsto dall’Intesa sopra citata che verrà erogato a Regione Lombardia per un ammontare complessivo di € 297.647,00 secondo la seguente ripartizione: −− 75% in acconto, previa approvazione da parte del Ministero della Salute entro 30 giorni del piano di cui all’allegato A della presente delibera; −− 25% a saldo, a seguito di trasmissione al Ministero della Salute di una relazione consuntiva degli esiti del programma, nonché a seguito dell’inserimento dei dati dei controlli effettuati nel Sistema Informativo del Ministero della Salute; Dato atto che l’IZSLER con nota prot. n. 450 dell’8 gennaio 2013 ha assunto la decisione di aderire al piano regionale di monitoraggio ambientale per la ricerca di diossine e altri contaminanti ambientali in alimenti di origine animale assicurando il necessario supporto scientifico e laboratoristico; Ritenuto di: −− approvare l’allegato A «Piano di monitoraggio ambientale per la ricerca di diossine e altri contaminanti ambientali in alimenti di origine animale per l’anno 2013» parte integrante e sostanziale del presente atto; −− Individuare i Dipartimenti di Prevenzione Veterinari quali soggetti attuatori del piano di monitoraggio; −− dare mandato alla D.g.",,
23,"Sanità a emanare i successivi provvedimenti per l’acquisizione e la spesa delle risorse finanziarie previste dall’Intesa Stato-Regioni citata in premessa; −− pubblicare il presente provvedimento sul BURL e sul Portale istituzionale della Regione Lombardia; Vagliate ed assunte come proprie le predette valutazioni e considerazioni; A voti unanimi espressi nelle forme di legge; DELIBERA 1. di approvare l’allegato A «Piano di monitoraggio ambientale per la ricerca di diossine e altri contaminanti ambientali in alimenti di origine animale per l’anno 2013», parte integrante e sostanziale del presente atto; 2. di individuare i Dipartimenti di Prevenzione Veterinaria quali soggetti attuatori del piano di monitoraggio; 3. di dare mandato alla D.g.",,
24,Sanità a emanare i successivi provvedimenti per l’acquisizione e la spesa delle risorse finanziarie previste dall’Intesa Stato-Regioni citata in premessa; 4. di pubblicare il presente provvedimento sul BURL e sul Portale istituzionale della Regione Lombardia.,,
25,Il segretario: Marco Pilloni,,
26,——— • ———,,
27,Bollettino Ufficiale,,
28,– 13 – Serie Ordinaria n. 4 - Lunedì 21 gennaio 2013 ALLEGATO A PIANO DI MONITORAGGIO AMBIENTALE PER LA RICERCA DI DIOSSINE E ALTRI CONTAMINANTI AMBIENTALI IN ALIMENTI DI ORIGINE ANIMALE PER L’ANNO 2013,,
29,1.,,
30,"PREMESSA Ai sensi del decreto legislativo 14 aprile 2006, n. 152 recante norme in materia ambientale, il Ministero dell’Ambiente e della Tutela del Territorio e del Mare, in caso di pericoli, anche solo potenziali, per la salute umana e per l’ambiente ha facoltà di adottare, in applicazione del principio di precauzione di cui all’art.",,
31,"174, paragrafo 2, del Trattato CE, “misure di prevenzione necessarie, anche a carattere inibitorio di opere, lavoro o di attività antropiche”.",,
32,"L’articolo 252, comma 1, del d.lgs.",,
33,"152/2006 definisce i Siti di Interesse Nazionale (SIN) come quei siti, ai fini della bonifica, individuabili in relazione a: • • •",,
34,"caratteristiche del sito; quantità e pericolosità degli inquinanti presenti; rilievo dell’impatto sull’ambiente circostante in termini di rischio sanitario ed ecologico, nonché di pregiudizio per i beni culturali ed ambientali.",,
35,In Lombardia sono stati individuati 7 SIN che complessivamente coprono una superficie di 1.763 ha di territorio.,,
36,Sito Sesto San Giovanni Pioltello e Rodano Cerro al Lambro Milano - Bovisa Brescia - Caffaro Broni Laghi di Mantova e Polo Chimico,,
37,Legge istitutiva L. 388/00 L. 388/00 D.m. n. 468/2001 D.m. n. 468/2001; D.m.,,
38,308/2006 L. 179/02 L. 179/02 L. 179/02,,
