sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 17 – Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
3,"D.G. Famiglia, conciliazione, integrazione e solidarietà sociale D.d.g.",,
4,"17 dicembre 2012 - n. 12192 Nomina dei componenti dell’organismo di monitoraggio e valutazione delle collaborazioni IL DIRETTORE GENERALE DELLA DIREZIONE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Vista la legge regionale 12 marzo 2008, n. 3 recante «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario» che all’art.",,
5,20 dispone che la Regione Lombardia promuova forme di collaborazione al fine di dare piena attuazione al principio di sussidiarietà e di valorizzare la piena espressione della capacità progettuale delle organizzazioni facenti parte della società civile; Considerato che la stessa l.r. n. 3/2008 all’art.,,
6,"3, individua i soggetti di terzo settore quali attori del sistema che partecipano alla programmazione, progettazione e realizzazione della rete delle unità d’offerta sociali e sociosanitarie e al comma 2 in particolare riconosce a tali soggetti la libertà di svolgere attività sociali ed assistenziali, nel rispetto dei principi stabiliti dalla presente legge e secondo la normativa vigente; Considerato inoltre che sempre la legge 3/2008 all’art.",,
7,"11, nel declinare specificatamente le competenze esercitate dalla Regione, individua gli indicatori per la valutazione dell’efficacia e la qualità delle prestazioni erogate; Richiamata la d.g.r.",,
8,"1353 del 25 febbraio 2011 «Linee Guida per la semplificazione e la valorizzazione degli enti del Terzo settore nell’ambito dei servizi alla persona e alla comunità» che, nel perseguire l’obiettivo di dare piena attuazione alla legge regionale 3/2008 ed in particolare all’art 20, tende ad armonizzare l’attività delle ASL con quelle delle ASP e dei Comuni nell’ambito dei rapporti di collaborazione istaurati con i soggetti del terzo settore e a tal fine istituisce l’»Organismo di monitoraggio e valutazione delle collaborazioni» di seguito indicato semplicemente come «Organismo»; Dato atto che nell’allegato alla medesima delibera, quale parte integrante del provvedimento, nel paragrafo 1.3, relativo al quadro normativo regionale, rammenta che Regione Lombardia – nella legge 1/2008 «Testo unico delle leggi sul terzo settore» – prevede importanti deroghe alla disciplina sui contratti pubblici in particolare stabilendo la possibilità per le organizzazioni iscritte nei registri regionale e provinciali la possibilità di stipulare convenzioni con la Regione e gli enti pubblici; Considerato infine che con la d.g.r. n. 1353 citata viene definita anche la sfera di applicazione delle linee guida stesse, individuando nell’”Organismo” lo strumento adeguato per la valutazione sistematica dei servizi, in particolare ove si promuovano ed accompagnino percorsi sperimentali di valutazione dell’efficacia dei risultati conseguiti; Visto il decreto n. 10626 del 15 novembre 2011 «Modalità di funzionamento dell’»Organismo tecnico di monitoraggio e valutazione delle collaborazioni»» che stabilisce la composizione e le modalità di funzionamento dell’»Organismo» e le modalità di restituzione ai Tavoli di consultazione di cui alla l.r.",,
9,"3/2008 dei risultati delle valutazioni effettuate; Dato atto che, in base a quanto stabilito dall’art.",,
10,"3 dell’allegato al decreto citato, l’»Organismo» è composto da 5 membri, di cui 3 da nominare a seguito di designazione, di cui uno da parte del Tavolo del Terzo Settore, uno da parte dei Sindacati maggiormente rappresentativi (CGIL, CISL e UIL) e uno da parte di ANCI Lombardia; Considerato pertanto si è provveduto a richiedere alle relative rappresentanze le designazioni di un nominativo per la nomina dei componenti; Dato atto che sono pervenute le candidature da parte del Tavolo del Terzo settore nella persona del Dr. Fabrizio Tagliabue, coordinatore di imprese non profit, da parte di ANCI, nella persona della Dott.ssa Agnese Losi, coordinatrice del Dipartimento Welfare e Sanità di ANCI Lombardia, da parte del Sindacato UIL del prof.",,
11,"Graziano Arbosti, Responsabile del Servizio di Ricerca organizzativa Socio-Sanitaria presso l’IRCSS Istituto Neurologico Carlo Besta di Milano, da parte di CGIL nella persona della dott. ssa Emilia Naldi e da parte del sindacato SUNAS nella persona della dott.ssa Maria Ester Paltrinieri, segretario regionale del Sindacato stesso;",,
12,"didati non è pervenuto alcun curriculum e pertanto non è stato possibile comparare le esperienze maturate nell’ambito professionale richiamato dal decreto, inoltre, una delle candidature è pervenuta oltre i termini indicati nella richiesta inoltrata dagli uffici; Dato atto che secondo il decreto succitato due componenti dell’Organismo sono nominati dalla Regione di cui uno appartenente al mondo accademico lombardo e uno appartenente alla Unità Organizzativa competente per materia; Ritenuto di nominare il primo nella persona dell’avv.",,
