sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,–3– Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
3,C) GIUNTA REGIONALE E ASSESSORI D.g.r.,,
4,"28 dicembre 2012 - n. IX/4605 Prima attuazione della legge 135/2012, “Disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini” art.",,
5,"15 comma 13 lettera c) ed ulteriori indicazioni per l’esercizio 2013 correlate all’elenco dei 108 DRG a rischio di inappropriatezza di cui al vigente patto per la salute LA GIUNTA REGIONALE Vista la legge 135/2012, «Disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini» art.",,
6,"15 comma 13 lettera c) che stabilisce che le Regioni entro il 31 dicembre 2012 adottino dei «provvedimenti di riduzione dello standard dei posti letto ospedalieri accreditati ed effettivamente a carico del servizio sanitario regionale, ad un livello non superiore a 3,7 posti letto per mille abitanti, comprensivi di 0,7 posti letto per mille abitanti per la riabilitazione e la lungodegenza post-acuzie, adeguando coerentemente le dotazioni organiche dei presidi ospedalieri pubblici ed assumendo come riferimento un tasso di ospedalizzazione pari a 160 per mille abitanti»; Considerata la versione ad oggi disponibile della bozza del regolamento recante: «Definizione degli standard qualitativi, strutturali, tecnologici e quantitativi relativi all’assistenza ospedaliera, in attuazione dell’articolo 1, comma 169 della legge 30 dicembre 2004, n. 311» e dell’articolo 15, comma 13, lettera c) del decreto-legge 6 luglio 2012, n. 95 convertito, con modificazioni, dalla legge 7 agosto 2012, n. 135»; Considerato inoltre che il predetto regolamento: • prevede che le Regioni garantiscano il progressivo adeguamento agli standard di posti letto nel corso del triennio 2013-2015; • riguarda i posti letto ospedalieri accreditati ed effettivamente a carico del Servizio sanitario regionale; • prevede che il numero dei posti letto per mille abitanti sia incrementato o decrementato tenendo conto della mobilità tra regioni e che ciò porta la Regione Lombardia a garantire un tasso di posti letto pari al 3,84 per mille; Ritenuto di dare indicazione affinché, così come già prevedono le modalità di compilazione dei modelli informativi ministeriali HSP12 ed HSP13 – quadro E, i letti indicati al 1 gennaio di ogni anno siano esclusivamente quelli realmente ed oggettivamente disponibili, conteggiabili da parte degli ispettori ASL, per erogare prestazioni a contratto per il SSR sia per pazienti regionali che extra regionali; Dato atto che sulla base delle premesse sopra elencate i posti letto oggi effettivamente operanti e messi a carico del SSR rispettano già oggi il predetto indice massimo di 3,84 posti letto per mille abitanti, ivi compresa l’osservanza della ripartizione tra letti per acuti e letti riabilitativi; Richiamata la d.g.r.",,
7,"IX/3976/12 ed in particolare l’allegato 5 «Riorganizzazione rete emergenza cardiovascolare ed emodinamiche, reti di patologia, reti per l’alta specialità, punti nascita, radioterapia, appropriatezza farmaci e procedure in ambito onco-ematologico»; Preso atto che: • il tasso di posti letto per mille abitanti complessivamente verificato in Regione Lombardia rispetta le disposizioni della legge 135/2012 «Disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini» art.",,
8,"15 comma 13 lettera c) così come oggi sono declinate nella bozza di regolamento recante: «Definizione degli standard qualitativi, strutturali, tecnologici e quantitativi relativi all’assistenza ospedaliera, in attuazione dell’articolo 1, comma 169 della legge 30 dicembre 2004, n. 311» e dell’articolo 15, comma 13, lettera c) del decreto-legge 6 luglio 2012, n. 95 convertito, con modificazioni, dalla legge 7 agosto 2012, n. 135»; • non è di conseguenza necessario adottare provvedimenti di chiusura di unità operative con la finalità di raggiungere il predetto tasso di posti letto; Dato atto che, nell’ambito dei gruppi di approfondimento tecnico appositamente istituiti (GAT), sono stati elaborati i documenti finali che hanno costituito il punto di riferimento fondamentale per l’analisi degli ulteriori elementi per la riorganizzazione delle reti delle alte specialità, delle emodinamiche, delle radioterapie e dei punti nascita; Ritenuto quindi comunque di:",,
9,"che, dei punti nascita, delle radioterapie e delle alte specialità (cardiochirurgia, neurochirurgia, chirurgia toracica e chirurgia vascolare) secondo criteri di appropriatezza, numerosità e tipologia di procedure con l’obiettivo di promuovere ulteriormente la qualità della nostra rete ospedaliera; • prendere atto e di fare in larga parte proprie le indicazioni quali quantitative formulate rispetto alle attività chirurgiche attese, sulla base di criteri orientati alla sicurezza ed alla efficacia delle procedure, nelle discipline sopra elencate.",,
10,"Le predette indicazioni sono contenute nei documenti conclusivi dei GAT (gruppi di approfondimento tecnico), disponibili agli atti presso la DG Sanità, che hanno riguardato l’area materno / infantile, la radioterapia e l’area cerebrocardiovascolare; • provvedere ad una riorganizzazione della rete ospedaliera, nello specifico le specialità già individuate dalla sopra citata d.g.r.",,
