sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 79 – Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013,,
3,D.d.g.,,
4,19 dicembre 2012 - n. 12382 Voltura dell’accreditamento per la seguente unità di offerta: R.S.A.,,
5,"“Don Felice Cozzi” con sede in Corbetta (MI), via Brera n. 35 dal gestore uscente: comune di Corbetta con sede legale in Corbetta, via Carlo Cattaneo n. 25 al nuovo gestore: “Universiis società cooperativa sociale”, con sede legale in Udine, via Cividina, 41/A, ampliamento dell’accreditamento per n. 1 posto ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti: • il d. lgs.",,
6,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
7,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
8,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; • la l.r.,,
9,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
10,Collegato» e successive modifiche; • la l.r.,,
11,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e sociosanitario»; • la l.r.",,
12,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
13,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»; Richiamate le dd.g.r.: • 14 dicembre 2001, n. 7435 «Attuazione dell’art.",,
14,"12, commi 3 e 4 della l. r. 11 luglio 1997, n. 31: requisiti per l’autorizzazione al funzionamento e per l’accreditamento delle Residenze Sanitario Assistenziali per Anziani (R.S.A.)»; • 7 aprile 2003, n. 12618 «Definizione degli standard di personale per l’autorizzazione al funzionamento e l’accreditamento delle Residenze Sanitario Assistenziali per Anziani (R.S.A.) e prima revisione del sistema di remunerazione regionale (in attuazione della d.g.r.",,
15,"14 dicembre 2001, n. 7435)»; • 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»; • 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Dato atto che il Legale Rappresentante del nuovo Ente Gestore subentrante, indicato in oggetto, in qualità di capogruppo del Raggruppamento Temporaneo di Imprese costituito in data 27 settembre 2012 tra le seguenti società: Universiis Società Cooperativa Sociale di Udine, Melca Costruzioni s.n.c. di Livorno e M.I.T. s.r.l. di Nichelino, con nota protocollata in data 25 ottobre 2012 prot. n. G1.2012.0013906, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha richiesto la voltura dell’accreditamento per l’unità d’offerta R.S.A.",,
16,"«Don Felice Cozzi», già accreditata con d.g.r. n. 3925 del 27 dicembre 2006 per n. 44 posti letto messi a contratto, e contestualmente l’ampliamento dell’accreditamento da n. 44 a n. 45 posti, con aumento di n. 1 posto già autorizzato con DIA del 31 maggio 2012; Evidenziato che a tal fine Ente Gestore uscente ed Ente Gestore subentrante hanno provveduto, in conformità a quanto previsto dalla citata d.g.r. n. 3540/12, a richiedere il parere preventivo per la voltura, fornendo i necessari elementi di conoscenza e che il parere positivo è stato rilasciato con nota prot n. G1.2012.0010629 in data 27 luglio 2012; Atteso che: −− l’ ASL di Milano 1 ha attestato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, con delibera del Direttore Generale n. 733 del 23 novembre 2012 protocollata in data 27 novembre 2012 n. prot.",,
17,"15347,",,
18,"−− che la gestione è esercitata a titolo di concessione sino al 30 aprile 2015, come stabilito nell’atto del Comune di Corbetta rep.",,
19,8720 «Convenzione ai sensi dell’art.,,
20,153 del d. lgs.,,
