sentence number,sentence,value (0/1)
1,– 12 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
4,"D.G. Famiglia, conciliazione, integrazione e solidarietà sociale D.d.g.",,
5,"25 gennaio 2013 - n. 467 Voltura dell’accreditamento per la seguente unità di offerta socio sanitaria: comunità terapeutica denominata “Centro accoglienza padri Somaschi” con sede in Tavernerio (CO), via Montegrappa n. 1 da: P.L.O.C.R.S. - Provincia Lombarda dell’ordine dei chierici regolari Somaschi con sede legale in Milano, piazza XXV aprile n. 2, C.F. 03145110155, al nuovo gestore: Fondazione Somaschi Onlus con sede legale in Milano, piazza XXV aprile n. 2, C.F. 97597340153 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Vista la d.g.r. del 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Richiamato in particolare l’Allegato A della sopra citata d.g.r., che reca disposizioni circa le procedure da seguire nei casi di cambiamento dell’ente gestore di una unità di offerta socio sanitaria accreditata; Vista altresì la d.g.r. del 26 ottobre 2011 n. 4334 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2013»; Dato atto che il Legale Rappresentante del nuovo Ente Gestore subentrante, indicato in oggetto, con richiesta protocollata in data 27 novembre 2012 prot. n.G1.2012.0015380, sottoscritta anche dal Legale Rappresentante dell’Ente Gestore uscente, ha richiesto la voltura dell’accreditamento per l’unità d’offerta «Centro di Accoglienza Padri Somaschi» di Tavernerio, già accreditata con d.g.r. n. 9320 del 22 aprile 2009 ed a contratto per n. 21 posti di Servizio terapeutico riabilitativo; Evidenziato che a tal fine Ente Gestore uscente ed Ente Gestore subentrante hanno provveduto nei modi previsti dalla citata d.g.r. n. 3540/12 a richiedere il parere preventivo per la voltura, fornendo i necessari elementi di conoscenza e il parere positivo è stato rilasciato con nota prot n. G1.2012.0015027 in data 20 novembre 2012; Atteso che:",,
6,"• l’ASL di Como ha attestato il possesso dei requisiti di accreditamento in capo all’Ente Gestore subentrante, con Determinazione n. 64/2012 del 20 dicembre 2012 protocollato in data 2 gennaio 2013 n. prot.",,
7,"47,",,
8,"• che la gestione è esercitata a titolo di donazione di ramo d’azienda,",,
9,• che per la realizzazione dell’immobile sede dell’attività non sono stati impiegati finanziamenti statali o regionali;,,
10,Ritenuto:,,
11,"za dalla data di approvazione del presente decreto, sulla base delle verifiche compiute dalla competente ASL di Como,",,
12,"tratto sottoscritto con l’ASL di Como, che dovrà comunque essere modificato in relazione alla variazione del soggetto gestore, e che dovrà poi essere trasmesso alla Direzione Generale Famiglia e Solidarietà Sociale;",,
13,Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Viste la l.r.,,
14,"7 luglio 2008, n. 20 e le dd.g.r. che dispongono l’assetto organizzativo della Giunta regionale per la IX legislatura; Visto il decreto del 27 aprile 2011 n. 3716, del Direttore Generale della Direzione Famiglia, Conciliazione, Integrazione e Solidarietà Sociale, con il quale si delega la dott.sa Paola Palmieri, responsabile della U.O.",,
15,"«Sistemi di Welfare» alla firma dei decreti di voltura degli accreditamenti; DECRETA 1. di procedere, con decorrenza dalla data del presente provvedimento, alla voltura dell’accreditamento della seguente unità di offerta socio sanitaria: Comunità Terapeutica denominata «Centro di Accoglienza Padri Somaschi» con sede In Tavernerio (CO), Via Montegrappa n. 1, già accreditata per n. 21 posti di Servizio terapeutico riabilitativo, in favore del seguente nuovo ente gestore: «Fondazione Somaschi Onlus» con sede legale in",,
16,"Milano, Piazza XXV Aprile n. 2, C.F. 97597340153, sulla base delle verifiche compiute dall’ASL di Como; 2. di procedere all’iscrizione della voltura nell’apposito registro regionale; 3. di stabilire che il nuovo soggetto gestore subentra nel contratto sottoscritto con l’ASL di Como, che dovrà comunque essere modificato in relazione alla variazione del soggetto gestore, e che dovrà poi essere trasmesso alla Direzione Generale Famiglia e Solidarietà Sociale; 4. di disporre la pubblicazione del presente decreto sul BURL della Regione Lombardia e la comunicazione all’ente gestore interessato, nonché alla ASL di Como.",,
17,Il direttore generale Roberto Albonetti,,
