sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,–3– Serie Ordinaria n. 4 - Giovedì 24 gennaio 2013,,
3,D) ATTI DIRIGENZIALI Giunta regionale,,
4,D.G. Sistemi verdi e paesaggio D.d.s.,,
5,"21 gennaio 2013 - n. 243 Riconoscimento della tartufaia controllata e concessione per la raccolta riservata di tartufi al Consorzio agro-silvo-pastorale Reganzo, con sede in località Chiesa di Bognassi n. 1, comune di Varzi - PV (art.",,
6,124 della l.r.,,
7,"31/2008) IL DIRIGENTE DELLA STRUTTURA FORESTE Richiamata la legge 16 dicembre 1985, n. 752 «Normativa quadro in materia di raccolta, coltivazione e commercio dei tartufi freschi e conservati destinati al consumo» che, tra l’altro, all’art.",,
8,"3, dispone:",,
9,"• al comma 1, che la raccolta dei tartufi è libera nei boschi e nei terreni non coltivati;",,
10,"• al comma 4, che le regioni, su richiesta di coloro che ne",,
11,"hanno titolo, rilasciano le attestazioni di riconoscimento delle tartufaie controllate o coltivate;",,
12,"Visto il capo II «Raccolta, coltivazione e commercializzazione dei tartufi freschi e conservati» del titolo VIII «Disposizioni sulla raccolta, coltivazione e commercializzazione di funghi epigei e ipogei (tartufi)» della legge regionale 5 dicembre 2008, n. 31 «Testo unico delle leggi regionali in materia di agricoltura, foreste, pesca e sviluppo rurale» e s.m.i.; Visto, in particolare, l’articolo 124 della citata l.r.",,
13,"31/2008, ai sensi del quale:",,
14,"• I titolari e conduttori, singoli o associati o consorziati (ai sensi dell’articolo 4 della legge 752/1985), di terreni a vocazione tartufigena possono richiedere alle province, agli enti gestori dei parchi regionali e alle comunità montane il riconoscimento di tartufaie controllate o coltivate esistenti su fondi in loro possesso",,
15,"ticolo 119, può, previa istruttoria tecnica degli gli enti di cui sopra, provvedere al riconoscimento delle tartufaie controllate e coltivate;",,
16,"Richiamata la d.g.r. n. VII /7310 dell’11 dicembre 2011, di approvazione della Carta delle vocazioni e potenzialità tartufigene relative all’intero territorio regionale; Vista la nota, pervenuta alla competente Struttura «Foreste» in data 17 dicembre 2012, prot.",,
17,"F1.2012.0024294, con la quale la Comunità Montana dell’Oltrepò Pavese, esprimendo parere favorevole in merito, ha trasmesso la richiesta di riconoscimento di tartufaia controllata e di concessione di raccolta riservata, presentata dal Consorzio agro-silvo-pastorale Reganzo; Preso atto che l’ambito interessato dalla richiesta del Consorzio riguarda superfici del Comune di Varzi (PV), già riconosciute, con riferimento ai singoli mappali, come tartufaia controllata dai seguenti decreti: −− n. 13034 dell’1 agosto 2003, con decorrenza dall’1 agosto 2003 al 31 luglio 2008; −− n. 7561 del 22 luglio 2009, con decorrenza dal 22 luglio 2009 al 22 luglio 2012; Preso atto del parere positivo espresso nella seduta del 21 dicembre 2012 dal Collegio degli esperti, di cui all’art.",,
18,119 della l.r.,,
19,"31/2008, istituito con decreto n. 17460 del 25 ottobre 1990 ed aggiornato con decreto n. 11064 del 29 novembre 2012; Ritenuto di accogliere la richiesta formulata dal Consorzio agro-silvo-pastorale Reganzo, pervenuta per il tramite della Comunità Montana dell’Oltrepò Pavese e, pertanto, di riconoscere la tartufaia controllata e di concedere la raccolta riservata dei corpi fruttiferi, nel rispetto del regolamento adottato dall’assemblea generale dei soci del Consorzio agro-silvo-pastorale Reganzo, con sede in località Chiesa di Bognassi n. 1, comune di Varzi (PV); Dato atto che la concessione è subordinata all’effettiva tabellazione delle aree e all’esecuzione delle opere di miglioria indicate all’art.",,
20,124 della l.r.,,
21,"31/2008; Viste la legge 7 agosto 1990, n. 241 e s.m.i.",,
