sentence number,sentence,value (0/1)
1,– 14 –,,
2,Bollettino Ufficiale,,
3,"Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013 Rilevato che l’ente gestore sopra citato ha presentato istanza di ampliamento dell’accreditamento, con contestuale S.C.I.A., del 19 settembre 2012 prot. n. 57298, pervenuta in data 19 settembre 2012 prot. n. 12322, per il C.D.I. in oggetto, relativamente a n. 5 posti; Dato atto che la S.C.I.A. sopra indicata è stata positivamente verificata dalla competente commissione di vigilanza della A.S.L. di Mantova, con sopralluogo del 16 novembre 2012 di cui al verbale della verifica prot. n. 007054/6, in conformità alla d.g.r. n. 3540/12; Visto il provvedimento del 19 dicembre 2012 n. 415 adottato dalla A.S.L. di Mantova, pervenuto in data 3 gennaio 2013, prot. n. 00089, di attestazione del possesso dei requisiti di accreditamento, relativamente a n. 5 posti, per un numero complessivo di 15 posti; Ritenuto di accogliere la richiesta di accreditamento in oggetto per le motivazioni sopra descritte; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
4,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente; DECRETA 1. di ampliare l’accreditamento, con decorrenza dalla data di approvazione del presente atto, per la seguente unità di offerta socio sanitaria: C.D.I.",,
5,"«Germano Boninsegna» con sede in Pegognaga (MN), via Donatori di Sangue n. 12, gestito dall’ente «C.S.A. Cooperativa Servizi Assistenziali Società Cooperativa Sociale», con sede legale in Mantova, via Gelso n. 8, C.F. 01697440202, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Mantova e attestata con il provvedimento del 19 dicembre 2012 n. 415, precisando che, a seguito dell’ampliamento di cui trattasi, il numero complessivo dei posti accreditati passa da n. 10 a n. 15; 2. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 3. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente.",,
6,Il direttore generale Roberto Albonetti D.d.g.,,
7,"22 gennaio 2013 - n. 301 Accreditamento della seguente unità di offerta socio sanitaria: Hospice “Menotti Bassani” con sede in Laveno Mombello (VA), via Bassani n. 13, gestito dall’ente “Fondazione centro residenziale per anziani Menotti Bassani Onlus” con stessa sede C.F. 01319900120 ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti:",,
8,• il d.lgs.,,
9,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni;",,
10,• il d.p.r.,,
11,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»;",,
12,mento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»;,,
13,nitarie e socio-sanitarie.,,
14,Collegato» e successive modifiche;,,
15,• la l.r.,,
16,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario»;",,
17,• la l.r.,,
18,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»;",,
19,"no Socio Sanitario Regionale 2010-2014»; Richiamate le dd.g.r.: • 7 aprile 2003, n. 12619: «Attuazione dell’art.",,
20,"12, commi 3 e 4 della l.r.",,
21,"11 luglio 1997, n. 31.",,
