sentence number,sentence,value (0/1)
1,– 36 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
4,"D.G. Ambiente, energia e reti D.d.g.",,
5,"23 gennaio 2013 - n. 353 Valutazione della prima fase della sperimentazione del deflusso minimo vitale nel torrente Belviso e determinazioni sulle relative modalità di prosecuzione IL DIRETTORE GENERALE Visti: • la direttiva del Parlamento Europeo e del Consiglio n. 2000/60/CE del 23 ottobre 2000, che istituisce un quadro per l’azione comunitaria in materia di acque, prevedendo il raggiungimento entro il 2015 di obiettivi di qualità ecologica per le acque superficiali; • la deliberazione del Comitato Istituzionale dell’Autorità di Bacino del Fiume Po n. 1 del 24 febbraio 2010, con la quale è stato adottato il Piano di Gestione del distretto idrografico del bacino del fiume Po, con valore di Piano territoriale di settore e qualità di strumento conoscitivo, normativo e tecnico-operativo mediante il quale sono pianificate e programmate le misure finalizzate a garantire la corretta utilizzazione delle acque ed il perseguimento degli scopi e degli obiettivi ambientali stabiliti agli artt.",,
6,"1 e 4 della Direttiva 2000/60/CE; • il decreto del Ministero dell’Ambiente e della Tutela del Territorio e del Mare n. 260 del 8 novembre 2010, con il quale sono stati approvati criteri tecnici per la classificazione dello stato dei corpi idrici superficiali ed in particolare il relativo Allegato 1 «Monitoraggio e classificazione delle acque in funzione degli obiettivi di qualità ambientale»; Richiamati: • l’atto di indirizzi per la politica di uso e tutela delle acque della Regione Lombardia, approvato dal Consiglio regionale con deliberazione Consiliare n. VII/1048 del 27 luglio 2004; • il regolamento regionale n. 2 del 24 marzo 2006 «Disciplina sull’uso delle acque superficiali e sotterranee, dell’utilizzo delle acque a uso domestico, del risparmio idrico e del riutilizzo dell’acqua»; • il programma di tutela e usi delle acque in Lombardia (PTUA), approvato dalla Giunta Regionale con dgr n. VIII/2244 del 29 marzo 2006; • le direttive per l’adeguamento delle derivazioni al rilascio del deflusso minimo vitale, approvate dalla Giunta regionale con d.g.r. n. VIII/6232 del 19 dicembre 2007; • le linee Guida per l’avvio di sperimentazioni sul deflusso minimo vitale in tratti del reticolo idrico naturale regionale, approvate con decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n. 9001 del 8 agosto 2008; • il decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n. 11133 del 9 ottobre 2008, con il quale è stato istituito il Comitato di valutazione dei progetti di sperimentazione del deflusso minimo vitale ed il successivo decreto del Direttore Generale della Direzione Ambiente, Energia e Reti n. 7210 del 20 luglio 2010, con il quale, a seguito di riassetto organizzativo, ne è stata rinnovata la composizione; Dato atto che da parte della Società Edison s.p.a. con istanza ASEE/Gidr-GV/Z356 del 23 aprile 2009, successivamente integrata con nota ASEE/Gidr/Pol2-GV/Z499 del 2 luglio 2009, è stata presentata la proposta di sperimentazione del deflusso minimo vitale nel Torrente Belviso nel tratto compreso tra l’invaso di Frera e l’invaso di Ganda (impianto idroelettrico «Ganda»); Richiamati: • il decreto del Direttore Generale della Direzione Reti e Servizi di Pubblica Utilità e Sviluppo Sostenibile n. 8190 del 6 agosto 2009 con il quale la proposta sperimentale è stata approvata con prescrizioni; • il decreto del Dirigente della Struttura Usi delle Acque e Ciclo integrato dei Rifiuti n. 9822 del 1 ottobre 2009 con il quale è stato formalmente istituito il Tavolo tecnico con funzione di controllo e verifica dei risultati ed il successivo decreto del Dirigente della Struttura Regolamentazione e Gestione degli Usi delle Acque, Sicurezza degli Invasi n. 2726 del 30 marzo 2012 con il quale ne è stata aggiornata la composizione;",,
7,"sione della sperimentazione al tratto terminale del Torrente Belviso, compreso tra l’invaso di Ganda e l’immissione in Adda (impianto idroelettrico «Belviso»); Richiamato il decreto del Direttore Generale della Direzione Ambiente, Energia e Reti n. 10461 del 15 ottobre 2010 con il quale la proposta di estensione della sperimentazione è stata approvata con prescrizioni, in particolare imponendo approfondimenti tecnici conoscitivi al fine di determinare le condizioni di rilascio di portate di DMV a valle delle rispettive prese inferiori sui Torrenti Bondone e Caronella, funzionalmente legate all’impianto idroelettrico «Belviso»; Preso atto che la sperimentazione nel suo complesso interessa i seguenti corpi idrici classificati dal Piano di Gestione del Distretto Idrografico del Po:",,
8,"• N0080010032lo (T. Belviso, dal bacino di Frera all’immissione nel F. Adda);",,
9,"• N0080011061lo (T. Caronella, dalle sorgenti all’immissione nel F. Adda);",,
10,"• N0080010651lo (T. Bondone, dalle sorgenti all’immissione nel F. Adda);",,
