sentence number,sentence,value (0/1)
1,– 62 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Venerdì 01 febbraio 2013,,
4,D.G. Sanità D.d.g.,,
5,"28 gennaio 2013 - n. 491 Rinnovo del gruppo di lavoro regionale per l’accreditamento, l’appropriatezza ed il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali IL DIRETTORE GENERALE Richiamata la d.g.r. n. VIII/4799/07 in particolare dove riprende la circolare 37/SAN/2003 che istituisce lo strumento «Interpello» quale percorso privilegiato per la interlocuzione diretta tra Uffici Regionali ed erogatori pubblici e/o privati sulle tematiche di «aree di codifica dubbia»; Richiamata la d.g.r. n. VIII/9014/09 ed in particolare il punto 14 del deliberato che prevede una stretta collaborazione con gli operatori del settore per monitorare le fasi di attuazione dei contenuti della d.g.r. stessa; Richiamato il decreto del Direttore generale Sanità n. 4304 del 13 maggio 2011 «Costituzione del gruppo di lavoro regionale per l’accreditamento, appropriatezza e il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali»; Ritenuto di dover rinnovare il gruppo di lavoro regionale per l’accreditamento, appropriatezza e il controllo delle prestazioni sanitarie di ricovero ed ambulatoriali per dare pieno adempimento alla condivisione dei percorsi relativi alle modalità di codifica e all’accreditamento; Ritenuto di nominare quali componenti del gruppo di lavoro regionale: a) i componenti di nomina regionale: • Dott. Luca Merlino, Dirigente U.o.",,
6,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione Generale Sanità; • Dott.ssa Nadia Da Re, Dirigente Struttura Accreditamento, Appropriatezza e Controlli - Direzione generale Sanità; • Dott.ssa Rosa Ghioldi, U.o.",,
7,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità; • Dott.ssa Daniela Nicolosi, U.o.",,
8,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità, con funzioni di segreteria; • Dott. Gianluca Avanzi, Direttore Accreditamento, Qualità, Sicurezza Farmacia Fondazione Don Carlo Gnocchi Onlus b) i Rappresentanti designati dall’Associazione Assolombarda: • Dott. Dario Beretta, Direttore generale Istituto Clinico San Siro - Milano; • Dott. Alessandro Signorini, Direttore Sanitario Fondazione Poliambulanza - Brescia; • Dott. Angelo Gironi, Presidente ANISAP; • Dott. Alberto Ambrosio, Dirigente Medico Direzione Sanitaria IRCCS San Raffaele - Milano; • Dott. Cristian Ferraris, Assolombarda; (i soggetti sunnominati, a seconda delle tematiche, potranno farsi coadiuvare da un referente tecnico); c) i componenti designati delle Direzioni generali coinvolte, in rappresentanza di tutte le ASL e le Aziende Ospedaliere e Fondazioni pubbliche: • Dott.ssa Roberta Chiesa, Direttore Servizio Autorizzazione e Accreditamento Acquisto e Controllo delle Prestazioni Sanitarie - ASL di Brescia; • Dott. Aldo Bellini, Direttore Sanitario - ASL Milano 2; • Dott.ssa Anna Morabito, Direttore SC Accreditamento, Verifica e Controllo - ASL Milano1; • Dott.ssa Chiara Radice, Direttore Medico di Presidio A.O. Ospedale Civile di Legnano (MI); • Dott. Pietro Piovanelli, Dirigente Medico Direzione Sanitaria A.O. Spedali Civili Brescia; • Dott. Gaetano Elli, Direttore Sanitario di Presidio A.O. Ospedale Niguarda Cà Granda; Ritenuto di individuare quale coordinatore del Gruppo di lavoro il dott.",,
9,"Luca Merlino, Dirigente U.o.",,
10,Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità o un suo delegato; Dato atto che l’attività del gruppo di lavoro avrà termine alla fine della vigente legislatura;,,
11,"Verificato che l’attività del Gruppo di lavoro non comporta alcun onere di spesa, in quanto non saranno attribuiti compensi ai componenti; Ritenuto di pubblicare il seguente provvedimento sul sito web della D.g.",,
12,"Sanità; Vista la legge regionale 7 luglio 2008, n. 20 e successive modifiche ed integrazioni, nonché i provvedimenti organizzativi della IX legislatura.",,
13,"Preso atto della validazione resa dal CODIGEC nella seduta del ; Visto il decreto del Segretario generale del 6 marzo 2001 n. 4907, ad oggetto: «Modalità per la costituzione e il funzionamento dei gruppi di lavoro pluridisciplinari e interfunzionali, ai sensi dell’art.",,
14,26 della l.r.,,
15,"10 marzo 1995, n. 10»; Vista la l.r.",,
16,"7 luglio 2008, n. 20 nonché i provvedimenti organizzativi della IX legislatura; DECRETA Per le motivazioni indicate in premessa: 1. di rinnovare il Gruppo di Lavoro Regionale per l’Accreditamento, l’Appropriatezza e il Controllo delle Prestazioni Sanitarie di Ricovero ed Ambulatoriali provvedendo alla conferma dei suoi componenti; 2. di nominare quali componenti del Gruppo di lavoro regionale: a) i componenti di nomina regionale: • Dott. Luca Merlino, Dirigente U.o.",,
17,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità; • Dott.ssa Nadia Da Re, Struttura Accreditamento, Appropriatezza e Controllo - Direzione generale Sanità; • Dott.ssa Rosa Ghioldi, U.g.",,
18,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità; • Dott.ssa Daniela Nicolosi, U.o.",,
19,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo – Direzione Generale Sanità con funzioni di segreteria; • Dott. Gianluca Avanzi, Direttore Accreditamento, Qualità, Sicurezza Farmacia Fondazione Don Carlo Gnocchi Onlus. b) i Rappresentanti designati dall’Associazione Assolombarda: • Dott. Dario Beretta, Direttore generale Istituto Clinico San Siro - Milano; • Dott. Alessandro Signorini, Direttore Sanitario Fondazione Poliambulanza - Brescia; • Dott. Angelo Gironi, Presidente ANISAP; • Dott. Alberto Ambrosio, Dirigente Medico Direzione Sanitaria IRCCS San Raffaele - Milano; • Dott. Cristian Ferraris, Assolombarda (i soggetti sunnominati, a seconda delle tematiche, potranno farsi coadiuvare da un referente tecnico); c) i componenti designati delle Direzioni generali coinvolte, in rappresentanza di tutte le ASL le Aziende e Fondazioni pubbliche: • Dott.ssa Roberta Chiesa, irettore Servizio Autorizzazione e Accreditamento, Acquisto e Controllo delle Prestazioni Sanitarie - ASL di Brescia; • Dott. Aldo Bellini, Direttore Sanitario - ASL Milano 2; • Dott.ssa Anna Morabito, Direttore SC Accreditamento, Verifica e Controllo - ASL Milano1; • Dott.ssa Chiara Radice, Direttore Medico di Presidio A.O. Ospedale Civile di Legnano (MI); • Dott. Pietro Piovanelli, Dirigente Medico Direzione Sanitaria A.O. Spedali Civili Brescia; • Dott. Gaetano Elli, Direttore Sanitario di Presidio A.O. Ospedale Niguarda Cà Granda 3. di stabilire che le funzioni di coordinatore del Gruppo di lavoro sono svolte dal dott.",,
20,"Luca Merlino, Dirigente U.o.",,
21,Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo - Direzione generale Sanità o da un suo delegato; 4. di stabilire che la validità del gruppo di lavoro sia compresa tra la data dell’1 gennaio 2013 ed il termine della vigente legislatura;,,
22,Bollettino Ufficiale,,
23,– 63 – Serie Ordinaria n. 5 - Venerdì 01 febbraio 2013,,
24,"5. di dare atto che l’attività del Gruppo di lavoro non comporta alcun onere di spesa, in quanto non saranno attribuiti compensi ai componenti; 6. di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale di Regione Lombardia e sul sito web della Direzione generale Sanità.",,
25,Il direttore generale direzione generale sanità Carlo Lucchina,,
