sentence number,sentence,value (0/1)
1,– 14 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
4,D.G. Sanità D.d.u.o.,,
5,25 gennaio 2013 - n. 475 Disposizioni in merito ai comitati etici e alla modalità di trasmissione dei dati sulle sperimentazioni cliniche IL DIRIGENTE DELLA U.O. GOVERNO DEI SERVIZI TERRITORIALI E POLITICHE DI APPROPRIATEZZA E CONTROLLO Premesso che il d.l.,,
6,"158/2012, convertito con l. 189/2012, prevede che: • entro il 30 giugno 2013 ciascuna delle regioni e delle province autonome di Trento e di Bolzano provvede a riorganizzare i comitati etici istituiti nel proprio territorio, attenendosi ai seguenti criteri (…) • con decreto del Ministro della salute, su proposta dell’AIFA per i profili di sua competenza, d’intesa con la Conferenza permanente per i rapporti tra lo Stato, le regioni e le province autonome di Trento e di Bolzano, sono dettati criteri per la composizione dei comitati etici e per il loro funzionamento (…) Richiamata la la d.g.r. n. IX/4334 del 26 ottobre 2012 «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2013» che prevede che: −− «Ai sensi di quanto disposto dall’articolo 12 della legge n. 189/2012 in materia di riordino dei Comitati Etici, sarà competenza della DG Sanità dare le indicazioni operative ai sensi dei necessari provvedimenti che dovranno essere adottati in ottemperanza a quanto disposto dalla succitata norma» Considerato che la composizione dei nuovi CE dovrà essere conforme a quanto stabilito dal decreto del Ministro della salute previsto dal sopra citato decreto; Preso atto il decreto del Ministro della salute che stabilisce i criteri per la composizione che non è ancora stato emanato; Richiamato il d.m.",,
7,"12 maggio 2006 che prevede che: −− «Le delibere di istituzione e costituzione del comitato etico debbono essere inserite nell’Osservatorio sulle sperimentazioni cliniche dei medicinali entro 20 giorni dall’adozione delle medesime con le modalità indicate dall’osservatorio»; Considerato che dal 1 gennaio 2013 l’accesso ai sevizi web dell’Osservatorio nazionale sulla sperimentazione clinica dell’AIFA è sospeso; Considerato il comitato etico deve emettere il proprio parere prima dell’inizio di qualsiasi sperimentazione clinica in merito alla quale è stato interpellato; Considerato che l’attività di sperimentazione clinica è di fondamentale importanza per la tutela della salute della popolazione, nonché parte integrante dell’assistenza sanitaria; Rilevato che molti comitati etici della regione Lombardia hanno scadenza nel primo semestre del 2013; Rilevata l’impossibilità di un rinnovo a norma del d.l.",,
8,"158/2012, in assenza delle norme applicative sulla composizione; Ritenuto che l’attività dei Comitati etici non debba subire alcuna interruzione, nelle more dell’emanazione del decreto del Ministro della salute che ne stabilisce i criteri per la composizione; Ritenuto pertanto di dover prorogare la scadenza dei Comitati etici operanti in Regione Lombardia fino al 30 giugno 2013 , o comunque sino alla riorganizzazione prevista dall’art.",,
9,12 comma 10 del d.l.,,
10,"158/2012 come convertito dalla l. 189/2012; Considerato inoltre che durante il periodo di sospensione dell’accesso web all’Osservatorio, le informazioni sulle sperimentazioni cliniche previste dall’art.",,
11,"11 del d.l.vo 211/2003 non possono essere assolte mediante la consultazione del medesimo; Rilevato che tali informazioni dovranno pertanto essere trasmesse ai competenti uffici regionali con altre modalità; Ritenuto di fornire indicazioni in merito alla modalità di trasmissione delle comunicazioni e notifiche a cura dei richiedenti e dei Comitati Etici da inviare ai competenti uffici regionali; Stabilito che tali comunicazioni dovranno essere inviate con le modalità indicate nell’allegato A, parte sostanziale del presente decreto; Visti: • il d.l.vo 211/2003 • il d.l.",,
12,158/2012 convertito in l. 189/2012 • il d.m.,,
13,12 maggio 2006,,
14,• la l.r.,,
15,"20 / 2008, nonché i provvedimenti organizzativi della IX legislatura",,
16,• la d.g.r. n. IX/4334 del 26 ottobre 2012 «Determinazioni in,,
17,ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2013» DECRETA 1.,,
18,"Che la scadenza dei Comitati Etici attivi in Regione Lombardia sia prorogata sino al 30 giugno 2013, o comunque sino alla riorganizzazione prevista dall’art.",,
19,12 comma 10 del d.l.,,
20,158/2012 come convertito dalla l. 189/2012 2.,,
