sentence number,sentence,value (0/1)
1,– 22 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013,,
4,"D.G. Ambiente, energia e reti D.d.s.",,
5,"28 dicembre 2012 - n. 12616 Modifica e aggiornamento del d.d.g. n. 7300 del 4 maggio 2004: “Criteri e procedure per la gestione dei sistemi di monitoraggio delle emissioni (SME) per impianti per la produzione di leganti idraulici “ IL DIRIGENTE DELLA STRUTTURA ATTIVITA’ PRODUTTIVE E RISCHIO INDUSTRIALE Vista la Parte Quinta del d.lgs. n. 152/06: «Norme in materia di tutela dell’aria e di riduzione delle emissioni in atmosfera» ed in particolare l’Allegato VI «Criteri per la valutazione della conformità dei valori limite misurati ai valori di emissione»; Richiamati −− Il d.d.u.o. n. 7300 04 maggio 2004: «Criteri e procedure per la gestione degli SME per gli impianti per la produzione di leganti idraulici» che fissava, ai sensi della normativa vigente, le modalità di installazione e gestione dei sistemi di Monitoraggio in continuo alle Emissioni (SME) per il comparto cemento; −− la d.g.r. n. 11352 del 10 febbraio 2010: «Linee di indirizzo ai fini dell’implementazione della rete di monitoraggio delle emissioni dei grandi impianti di combustione ai sensi dell’art.4 della legge regionale 11 dicembre 2006, n. 24» con cui Regione Lombardia ha introdotto la Rete SME, individuandone nello specifico il campo di applicazione (impianti individuati nella parte A dell’Allegato alla delibera) e le modalità e le tempistiche di attuazione (parte B dell’Allegato); −− il d.d.s. n. 4343 del 27 aprile 2010 «Misure tecniche per l’installazione e la gestione dei sistemi di monitoraggio in continuo alle emissioni (SME)» con cui la Direzione Generale Ambiente Energia e Reti, ha definito, anche ai fini dell’implementazione della Rete, le nuove misure tecniche, i criteri e le procedure gestionali da utilizzarsi ai fini dell’installazione, gestione e verifica dei Sistemi di Monitoraggio delle Emissioni (SME) uniformi per tutti i settori produttivi nonché le modalità e le tempistiche per l’adeguamento; −− il d.d.u.o. n. 12834 del 27 dicembre 2011 «Ulteriori disposizione in materia di Sistemi di Monitoraggio in continuo alle Emissioni (SME)» con cui venivano definite le modalità di presentazione dei dati, nonché il calendario per il progressivo allacciamento alla Rete degli impianti Ricordato che la sopra citata d.g.r.",,
6,"11352/2010 incaricava il Dirigente competente della Direzione Generale Ambiente, Energia e Reti di provvedere alla definizione delle ulteriori specifiche in materia di SME per i vari settori produttivi Considerato che, in tal senso, la Struttura Attività Produttive e Rischio Industriale ha avviato il Tavolo Tecnico – costituito dai Gestori, ARPA Lombardia e le Associazioni di categoria - del settore relativo alla produzione di leganti idraulici al fine, sia di avviare l’aggiornamento dell’esistente allegato di comparto (dduo 7300/2004) ai nuovi criteri definiti in materia di SME, sia di assecondare il percorso di adeguamento degli SME e di implementazione della Rete; Visto il documento predisposto sulla base di quanto emerso nell’ambito del sopra richiamato Tavolo Tecnico inerente la modifica e l’aggiornamento del d.d.u.o. n. 7300 del 4 maggio 2004: «Criteri e procedure per la gestione degli SME per impianti di produzione di leganti idraulici» riportante i parametri chimicofisici ed impiantistici da monitorare specifici del comparto e i riferimenti ai nuovi i criteri di trattamento dati; Ricordato infine che il dduo n. 12834 del 27 dicembre 2011 definiva un calendario per il progressivo allacciamento degli impianti alla rete, prevedendo per il settore in questione la data del 30 maggio 2012 per la presentazione dei progetti e del 30 novembre 2012 per la realizzazione degli stessi; Considerato che, alla luce del protrarsi dei lavori del Tavolo, finalizzato anche a supportare i Gestori nel processo di implementazione della Rete, ARPA non ha potuto, a fronte di alcune criticità emerse, provvedere alla valutazione dei progetti, presentati coerentemente alle scadenze previste; Ritenuto pertanto che le scadenze per la realizzazione dei progetti di allacciamento alla Rete debbano essere valutate da ARPA, nell’ambito dell’approvazione dei progetti presentati, coerentemente sia con le criticità sito-specifiche, sia con i restanti adempimenti in materia di SME;",,
7,vista la l.r.,,
8,"7 luglio 2008 n. 20 «testo unico delle leggi regionali in materia di organizzazione e personale» e i provvedimenti della IX legislatura; DECRETA per le ragioni meglio espresse in premessa 1. di approvare l’Allegato «modifica e aggiornamento del d.d.u.o. n. 7300 del 4 maggio 2004: «Criteri e procedure per la gestione degli SME per impianti di produzione di leganti idraulici» parte integrante e sostanziale del presente provvedimento; 2. di stabilire che le scadenze per la realizzazione dei progetti di allacciamento alla Rete debbano essere valutate da ARPA, nell’ambito dell’approvazione dei progetti presentati, coerentemente sia con le criticità sito-specifiche, sia con i restanti adempimenti in materia di SME; 3. di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia.",,
9,Il dirigente della struttura attività produttive e rischio industriale Luca Zucchelli ——— • ———,,
10,Bollettino Ufficiale,,
11,– 23 – Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 ALLEGATO,,
12,Aggiornamento del dduo 7300/2004 - Criteri e procedure per la gestione dei sistemi di monitoraggio in continuo alle emissioni (SME) dagli impianti per la produzione di leganti idraulici –,,
13,"Il presente allegato modifica e integra, rispetto a quanto stabilito dal dds 7300/2004, i contenuti dell’allegato di settore inerente i ‘Criteri e procedure per la gestione dei sistemi di monitoraggio in continuo alle emissioni (SME) dagli impianti per la produzione di leganti idraulici’.",,
14,"In particolare il presente allegato riporta: 1. i parametri e le grandezze tipicamente oggetto di monitoraggio in continuo per il settore; 2. le nuove modalità di codifica, elaborazione e archiviazione dati; 3. ulteriori specifiche in merito alle caratteristiche degli analizzatori.",,
15,1.,,
16,Parametri monitorati in continuo,,
17,Gli inquinanti e i parametri soggetti a monitoraggio in continuo sono quelli individuati dalla normativa nazionale (d.lgs 133/05) e indicati nelle specifiche autorizzazioni.,,
