sentence number,sentence,value (0/1)
1,– 82 – Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013 D.d.g.,,
2,"28 dicembre 2012 - n. 12623 Approvazione delle indicazioni alle A.S.L. per la predisposizione dei piani di controllo 2013, in attuazione della d.g.r. n. 4334 del 26 ottobre 2012 IL DIRETTORE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Vista la l.r.",,
3,"12 marzo 2008 n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e sociosanitario»; Richiamati i seguenti documenti di programmazione regionale, con particolare riferimento alla programmazione sanitaria: • d.c.r. n. IX/0056 del 28 settembre 2010 «Programma regionale di sviluppo della IX legislatura»; • d.c.r. n. IX/0088 del 17 novembre 2010 «Piano socio sanitario regionale 2010 - 2014»; Vista la d.g.r. n. 3540 del 30 maggio 2012 ««Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; Visto l’allegato 3 della d.g.r. n. 4334 del 26 ottobre 2012 «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2013»; Ritenuto di approvare l’Allegato A «Indicazioni alle ASL per la predisposizione dei Piani di Controllo 2013 in attuazione a quanto previsto dall’allegato 3 alla d.g.r. n. 4334 del 26 ottobre 2012», costituente parte integrante e sostanziale del presente decreto; Vista la l.r.",,
4,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione Generale Famiglia, Conciliazione, Integrazione e Solidarietà Sociale; DECRETA per le motivazioni indicate in premessa: 1. di approvare l’Allegato A «Indicazioni alle ASL per la predisposizione dei Piani di Controllo 2013 in attuazione a quanto previsto dall’allegato 3 alla d.g.r. n. 4334 del 26 ottobre 2012«, costituente parte integrante e sostanziale del presente decreto; 2. di disporre la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione Generale Famiglia, Conciliazione, Integrazione e Solidarietà Sociale.",,
5,Il direttore generale Roberto Albonetti ——— • ———,,
6,Bollettino Ufficiale,,
7,Bollettino Ufficiale,,
8,– 83 – Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013 ALLEGATO A,,
9,"INDICAZIONI ALLE A.S.L. SUL PIANO DEI CONTROLLI 2013, IN ATTUAZIONE A QUANTO PREVISTO DALL’ALLEGATO 3 ALLA D.G.R. N. 4334 DEL 26/10/2012.",,
10,"PARTE INTRODUTTIVA Il presente Piano, in attuazione a quanto previsto dall’Allegato 3) alla DGR IX/4334 del 26/10/2012 “Determinazioni in ordine alla gestione del Servizio Socio Sanitario Regionale per l’esercizio 2013”, detta le regole per la definizione da parte delle Asl dei Piani di vigilanza e controllo 2013 sulle unità di offerta socio sanitarie e sociali dei rispettivi territori di competenza.",,
11,L’obiettivo delle regole per la stesura dei Piani di vigilanza e controllo 2013 delle Asl è quello: •,,
12,"di focalizzare la funzione dei poteri di vigilanza e controllo sulla tutela dell’interesse primario della persona che fruisce del servizio ad una assistenza informata al principio della personalizzazione della risposta assistenziale, attraverso il rispetto, in primis, della sua dignità;",,
13,•,,
14,di concorrere alla definizione di una metodologia strutturata e omogenea sul territorio per l’esercizio delle funzioni di vigilanza e controllo sulla rete delle unità di offerta socio sanitarie;,,
15,L’Allegato 3) alla DGR IX/4334 del 26/10/2012 prevede infatti che: •,,
16,la programmazione dei controlli dovrà essere effettuata sulla base degli indicatori di appropriatezza stabiliti in esecuzione della DGR 3540/2012;,,
17,•,,
18,"il riscontro, in sede di controllo, di grave inappropriatezza darà luogo alla revoca dell’accreditamento e alla conseguente revoca del contratto, in quanto la somma dei requisiti di accreditamento deve tradursi nell’erogazione di prestazioni appropriate.",,
19,"La DGR delle regole 2013 prevede quindi il concorso attivo della vigilanza al controllo di appropriatezza, centrando in ogni caso sul benessere della persona che fruisce del servizio il senso dell’esercizio delle funzioni complessive di vigilanza e controllo sulle unità di offerta della rete socio sanitaria.",,
20,LA PROGRAMMAZIONE DEI CONTROLLI SULLA RETE DELLE UNITA’ DI OFFERTA SOCIO SANITARIE Al fine della determinazione delle regole per la programmazione della vigilanza e del controllo da parte delle Asl si è tenuto conto: ,,
21,delle determinazioni di cui all’Allegato 3) alla DGR IX/4334 del 26/10/2012 “Determinazioni in ordine alla gestione del Servizio Socio Sanitario Regionale per l’esercizio 2013”;,,
22,,,
23,"delle determinazioni di cui all’allegato C) alla DGR 3540/2012, e delle precisazioni di cui alle note della DG Famiglia prot.",,
24,"7062 del 8/06/12, prot.",,
25,7790 del 20/06/12 e prot.,,
26,14372 del 6/11/12;,,
27,,,
28,degli esiti del lavoro condotto dal tavolo tecnico costituito nel 2012 dalla DG Famiglia con alcune rappresentanze Asl per l’individuazione di indicatori di appropriatezza al fine di concorrere alla definizione di una metodologia strutturata e omogenea sul territorio per l’esercizio di questa tipologia di controllo;,,
29,,,
30,degli esiti del programma di verifiche condotto dal Gruppo di Controllo della DG Famiglia istituito con Decreto n. 8282 del 26/09/2012 per l’affiancamento delle Asl nell’esercizio del controllo di appropriatezza sulle strutture socio sanitarie del territorio.,,
31,"Il programma dei controlli effettuato dal Gruppo nel corso del 2012 ha consentito di raccogliere una serie di spunti e di elementi concreti, funzionali ad integrare i contenuti, le riflessioni e il lavoro condotto sul tavolo per l’individuazione di indicatori di appropriatezza.",,
32,GLI AMBITI DEL CONTENUTO DEI PIANI DI VIGILANZA E CONTROLLO 2013 DELLE ASL SULLE UNITA’ DI OFFERTA SOCIO SANITARIA E SOCIALE La prima parte dei Piani di controllo 2013 delle Asl è riferita all’analisi di contesto con riferimento alla rete delle unità di offerta socio sanitarie e sociali presenti sui rispettivi territori e all’analisi dell’esito dell’attività di vigilanza e controllo esercitata nel 2012.,,
33,Nei capitoli che seguono è declinato il contenuto che i Piani di vigilanza e controllo 2013 delle Asl devono garantire.,,
34,Il Piano dei controlli deve essere trasmesso alla DG Famiglia entro lo stesso termine del Piano dei controlli relativo alle unità di offerta sanitarie.,,
35,La DG Famiglia procede alla verifica in ordine alla coerenza tra la programmazione espressa nei Piani e le indicazioni fornite attraverso il presente atto entro 30 giorni dalla ricezione.,,
36,"Successivamente alla verifica, le Asl garantiscono il monitoraggio semestrale del Piano attraverso la rendicontazione alla DG Famiglia dell’attività di vigilanza e controllo esercitata.",,
37,"A) L’attività di verifica dei requisiti connessa alla presentazione di SCIA e domande di accreditamento che perverranno nel 2013 ex DGR 3540 del 30/05/2012; In attuazione a quanto previsto dal capitolo 1.1 dell’Allegato A) alla DGR 3540 del 30/05/2012, e dalle note DG Famiglia sopra richiamate, i servizi di vigilanza e controllo delle Asl devono tendere ad assicurare, con riferimento alla verifica dei requisiti soggettivi per l’esercizio e l’accreditamento, il 100% dei controlli sul totale delle autocertificazioni prodotte in relazione alle SCIA e alle domande di accreditamento che perverranno nel 2013, mediante richiesta alle pubbliche amministrazioni certificanti degli stati/fatti/ qualità oggetto di autocertificazione.",,
38,– 84 –,,
39,Bollettino Ufficiale,,
40,Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013 L’attestazione di solvibilità rilasciata dalla Banca d’Italia deve essere acquisita nel 100% dei casi di SCIA e domande di accreditamento che perverranno nel 2013.,,
41,I Piani di vigilanza e controllo delle Asl devono specificare la metodologia interna adottata per il rispetto di quanto segue: ,,
42,completamento dell’istruttoria di verifica entro i termini di cui all’allegato A) alla DGR 3540/2012;,,
43,,,
44,"utilizzo, sia da parte dei gestori che da parte delle ASL medesime, della modulistica adottata con la nota della DG Famiglia 8/06/12 prot. n. 7062 e scaricabili dal sito della Direzione Generale;",,
45,,,
46,"alimentazione dei dati relativi allo stato dell’istruttoria di esercizio e di accreditamento e di contratto nell’ambito dell’applicativo AFAM (Anagrafica Famiglia), in funzione della progressiva implementazione nel gestionale delle diverse tipologie di unità di offerta socio sanitarie; in particolare si chiede che nel Piano venga assunto l’obiettivo dell’inserimento in AFAM di tutti i posti/trattamenti contrattualizzati in attuazione delle regole di sistema di cui all’Allegato 3) alla DGR IX/4334 del 26/10/2012 “Determinazioni in ordine alla gestione del Servizio Socio Sanitario Regionale per l’esercizio 2013”, in relazione alla progressiva alimentazione nel gestionale delle unità di offerta socio sanitarie; attualmente pertanto il piano dovrà prevedere l’obiettivo di implementazione dei dati dei contratti stipulati con i soggetti gestori di RSA e CDI e, successivamente, di quelli relativi alle altre strutture della rete che verranno caricate a sistema (RSD, CDD, CSS, Hospice e ADI); si chiede infine che, sotto il profilo organizzativo, l’attività di alimentazione dei dati in AFAM venga assicurata da operatori incardinati presso i servizi di vigilanze e controllo delle Asl.",,
47,Ai fini dell’esercizio dell’attività di verifica dell’esistenza dei requisiti si richiede che nel Piano sia data evidenza di una programmazione integrata delle uscite da parte dei competenti uffici dell’Asl in conformità a quanto specificato nel paragrafo B.2 del presente Allegato.,,
48,"Si ricorda che nel 2013 sono ammessi i procedimenti di verifica del possesso dei requisiti per l’accreditamento di tutte le unità di offerta, fatte salve quelle della rete della riabilitazione e delle dipendenze per le quali la DGR IX/4334 del 26/10/2012 esclude la possibilità di accreditamento.",,
49,"B) L’attività di vigilanza e controllo in applicazione della DGR 3540 del 30/05/2012 Nel 2013, in attuazione del principio fondamentale del concorso attivo della vigilanza sui requisiti al controllo di appropriatezza, i Piani di vigilanza e controllo delle Asl devono articolare la programmazione secondo i criteri e i parametri percentuali di seguito esplicitati.",,
50,"B. 1 Vigilanza sul mantenimento dei requisiti strutturali e tecnologici: La programmazione 2013 sulla vigilanza riferita al mantenimento dei requisiti strutturali e tecnologici nelle unità di offerta socio sanitarie, in attuazione a quanto previsto dal capitolo 1.2 dell’Allegato C) alla DGR 3540 del 30/05/2012, deve essere garantita sul 50% delle unità di offerta in esercizio alla data del 01/01/2013 al fine di attuare il principio per il quale la periodicità dei controlli in oggetto deve essere assicurata almeno ogni due anni.",,
51,Il campione delle strutture da sottoporre a vigilanza sui requisiti strutturali e tecnologici coincide con quello definito in applicazione dei criteri di cui al paragrafo B.2 per la vigilanza sugli altri requisiti.,,
52,"Con riferimento alle unità di offerta interessate da Piani programma, i Piani di vigilanza e controllo delle Asl devono assicurare il costante monitoraggio dello stato di avanzamento dei lavori di completamento dei piani programmando, in ogni caso, la verifica almeno ogni sei mesi per il 100% delle strutture coinvolte che agli ospiti presenti siano comunque garantiti adeguati standard di sicurezza.",,
53,"Nel Piano 2013 le Asl provvedono a descrivere le procedure per l’effettuazione della vigilanza in emergenza e la garanzia del raccordo con le autorità competenti (comuni e vigili del fuoco..), nell’ambito di eventi straordinari causati da forza maggiore che impongano un sollecito riscontro in ordine allo stato delle strutture.",,
54,Le visite di vigilanza sui requisiti strutturali si effettuano senza preavviso.,,
55,"B. 2 Vigilanza sul mantenimento dei requisiti soggettivi, gestionali, organizzativi e Controllo di appropriatezza La vigilanza sul mantenimento dei requisiti, deve concorrere attivamente al controllo di appropriatezza.",,
56,"Condizioni organizzative che i Piani di controllo delle Asl nel 2013 debbono soddisfare perché i due profili possano sinergicamente concorrere al raggiungimento dell’obiettivo, sono: 1) una programmazione prevalentemente comune delle uscite sulle strutture del territorio di competenza da parte degli operatori delle Asl in esse impegnati, assicurando in ogni caso una adeguata multidisciplinarietà dei profili degli operatori coinvolti; la programmazione comune delle uscite è altresì funzionale al rispetto del principio di non aggravamento del procedimento di controllo; 2) l’integrazione dell’esito dei verbali collegati all’esercizio della vigilanza e del controllo di appropriatezza 2012, al fine della riprogrammazione integrata 2013 delle attività; 3) la garanzia di accesso dei servizi di vigilanza e controllo delle Asl ai dati alimentati dalle unità di offerta della rete socio sanitaria in attuazione del debito informativo complessivamente definito per le singole tipologia di servizio.",,
57,In particolare occorre che le Asl nel Piano dei controlli descrivano la procedura e le tempistiche per la disponibilità dei dati in oggetto da parte dei servizi di vigilanza e controllo.,,
58,"Resta fermo che, in ogni caso, non si potranno prevedere termini interni superiori a 10 giorni rispetto a quelli definiti per l’invio del debito informativo in Regione.",,
59,"L’accesso ai dati epidemiologici e amministrativi oggetto dei flussi alimentati dalle strutture verso le Asl e la Regione in funzione della rendicontazione delle attività erogate, costituisce infatti una fondamentale precondizione di sistema perché i servizi competenti possano valorizzare indicatori utili al campionamento delle strutture e dei fascicoli oggetto di vigilanza e controllo, nonché, più in generale,",,
60,Bollettino Ufficiale,,
61,– 85 – Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013,,
62,linea la necessità che il Dipartimento delle Dipendenze ponga a disposizione dei servizi di vigilanza e controllo i dati utili all’analisi delle prestazioni ambulatoriali erogate da SERT e SMI e che i servizi amministrativi garantiscano l’accesso ai dati di FE (flusso economico) riferiti alle comunità per tossicodipendenti.,,
63,4) l’impegno nel Piano a prevedere nei piani di formazione aziendale uno specifico percorso formativo a favore degli operatori preposti all’esercizio della vigilanza e del controllo sulle strutture socio sanitarie finalizzato allo sviluppo di una specifica competenza professionale che ricomprenda anche la gestione informatizzata delle attività di controllo.,,
64,"5) la dotazione, anche attraverso l’utilizzo del contributo regionale per la vigilanza sulla rete ASSI, di strumenti informatici funzionali a supportare l’attività degli operatori dei servizi di vigilanza e controllo sulle strutture sociosanitarie nel corso delle visite di vigilanza e controllo.",,
65,"In funzione della progressiva attuazione di quanto previsto dal capitolo 1.3 dell’Allegato C) alla DGR 3540/2012 e fermo restando l’acquisizione dell’autocertificazione annuale sul possesso dei requisiti di accreditamento e di scheda struttura, i Piani 2013 delle Asl prevedono l’esercizio della vigilanza sul 50% delle unità di offerta socio sanitarie già in esercizio al 01/01/2013, assicurando in ogni caso la trasversalità rispetto a tutte le tipologie di unità di offerta presenti sul rispettivo territorio.",,
66,"Ai fini della campionamento del 50% delle strutture socio sanitarie da sottoporre a vigilanza nel 2013, le Asl applicano una metodologia mista che preveda una quota % casuale e una quota % mirata, provvedendo a esplicitare nel Piano il volume percentuale previsto per ciascuna delle due quote e gli indicatori utilizzati per il campionamento mirato.",,
67,"La programmazione espressa nel piano dovrà perciò applicare una metodologia “evidence based”, fondata sul sistema di indicatori prescelto per il 2013 dall’Asl e indicato nel Piano, quale strumento di evidenza per l’individuazione delle aree prioritarie d’intervento finalizzate al miglioramento della qualità dell’assistenza e al monitoraggio degli esiti.",,
68,"Nell’ambito del 50% delle strutture socio sanitarie così individuate, nel 2013 è garantito il controllo di appropriatezza sul 15% dei FASAS relativi al periodo precedente (l’Asl specifica nel Piano quale periodo ha considerato).",,
69,Anche la campionatura dei FASAS è definita in applicazione di una metodologia mista (casuale/mirata) secondo la quota % definita dall’Asl.,,
70,"Il volume percentuale della quota mirata e di quello casuale devono essere indicati nel Piano e, in relazione alla casistica mirata, devono essere evidenziati gli indicatori prescelti per la relativa definizione.",,
71,"Resta fermo, come anche di seguito sottolineato, che nel corso delle visite di controllo presso le strutture, le equipe di vigilanza possono chiedere all’ente di accedere anche a FASAS ulteriori a quelli campionati.",,
72,"Nell’ambito dei sopralluoghi programmati, le Asl prevedono l’applicazione degli indicatori di controllo in corso di approvazione da parte della DG Famiglia, funzionali anche allo sviluppo di un sistema di autocontrollo da parte dei soggetti gestori.",,
