sentence number,sentence,value (0/1)
1,– 60 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Venerdì 01 febbraio 2013,,
4,D.G. Sistemi verdi e paesaggio D.d.u.o.,,
5,29 gennaio 2013 - n. 532 Integrazione alla composizione del tavolo delle aree regionali protette (l.r.,,
6,"86/1983, art.",,
7,"6, commi 3 e 4) IL DIRIGENTE DELL’UNITÀ ORGANIZZATIVA PARCHI E RETE NATURA 2020 Vista la legge regionale 30 novembre 1983, n. 86 «Piano generale delle aree regionali protette.",,
8,"Norme per l’istituzione e la gestione delle riserve, dei parchi e dei monumenti naturali nonché delle aree di particolare rilevanza naturale e ambientale» e, in particolare, l’articolo 6, come introdotto dall’articolo 6, comma 1, lettera c), della legge regionale 4 agosto 2011, n. 12, che al comma 3: −− istituisce, senza oneri a carico della finanza regionale, nell’ambito degli organismi di partecipazione, il Tavolo delle aree regionali protette, quale strumento permanente di confronto con le associazioni agricole, ambientaliste, piscatorie, venatorie e degli enti locali, sulle politiche regionali in materia; −− attribuisce alla Giunta regionale la definizione, con propria deliberazione, della composizione e del funzionamento del Tavolo; Richiamati: −− la deliberazione della Giunta regionale 6 agosto 2012, n. 3896 che, in attuazione dell’articolo 6, comma 3, della legge regionale 86/1983, individua le associazioni da coinvolgere al Tavolo regionale delle aree protette, definisce le modalità di designazione dei rappresentanti delle predette associazioni ed i compiti del Tavolo e prevede, altresì, la possibilità di allargamento del Tavolo ai soggetti che ne facciano richiesta; −− il proprio precedente decreto del 10 dicembre 2012, n. 11638, con il quale è stata definita la composizione del Tavolo, sulla base delle designazioni pervenute dalle associazioni e si è stabilita la possibilità di successive integrazioni, al fine di ricomprendere nel Tavolo le associazioni, individuate dalla d.g.r.",,
9,"3896/2012 che non avevano comunicato il loro referente; Vista la nota di ANCI Lombardia del 3 gennaio 2013, con la quale l’associazione designa i propri rappresentanti al Tavolo regionale delle aree protette; Visti la l.r. n. 20 del 7 luglio 2008 e i provvedimenti organizzativi della IX legislatura; DECRETA 1. di integrare la composizione del Tavolo regionale delle aree protette, come stabilita con precedente decreto 10 dicembre 2012, n. 11638, mediante l’inserimento dei rappresentanti di ANCI Lombardia; 2. di stabilire, pertanto, che il Tavolo regionale è costituito dall’Assessore regionale e dal Direttore generale ai Sistemi verdi e paesaggio, dal Dirigente dell’Unità organizzativa Parchi e Rete Natura 2020, nonché dai seguenti rappresentanti, effettivi e supplenti, delle rispettive associazioni di appartenenza: ASSOCIAZIONE Confagricoltura Coldiretti Cia Copagri Legambiente Lombardia WWF Lombardia Italia Nostra Fondo per l’Ambiente Italiano (FAI) Club Alpino Italiano (CAI)",,
10,NOMINATIVO Uberto Bertolasi Marco Castellani (effettivo) Rossana Cozzolino (supplente) Dario Olivero (effettivo) Massimo Benolli (supplente) Roberto Cavaliere (effettivo) Luigi Orlandi (supplente) Marzio Marzorati Alessia Sacchetti(effettivo) Paola Brambilla (supplente) Luigi Santambrogio (effettivo) Giovanni Bassi (supplente) Maurizio Rivolta (effettivo) Costanza Pratesi (supplente) Carlo Brambilla (effettivo) Itala Ghezzi (supplente),,
11,ASSOCIAZIONE Touring Club Italiano Federazione Italiana Pesca Sportiva e Attività Subacquee (FIPSAS) Arci Pesca Fisa (Federazione Italiana Sport e Ambiente) Unione Pesca Sportiva Provincia di Sondrio Associazione Nazionale Libera Caccia (ANLC) Enalcaccia Arcicaccia Federazione Italiana della Caccia (FIDC) Associazione Migratoristi Italiani (ANUU) Italcaccia Ente Produttori Selvaggina (EPS) Anci Lombardia Aiccre Acli - anni verdi - ambiente,,
12,NOMINATIVO Marco Girolami (effettivo) Roberto Battagin (effettivo) Fernando Landonio(supplente) Dante Virgili (effettivo) Giovanni Oldani (supplente) Giorgio Lanzi Giancarlo Bonacina Nino Roncolato (effettivo) Giuseppe Cavallaro (supplente) Vincenzo Botta Mauro Cavallari (effettivo) Italo Fanton (supplente) Massimo Marracci Fabrizio Nervi (effettivo) Marcello Fornaroli (supplente) Ovidio Brambilla (effettivo) Claudio Vaccari (supplente) Pietro Segalini (effettivo) Luigi Mori (supplente) Giovanni Orsenigo (effettivo) Luciano Valaguzza (supplente) Valentina Mutti (effettivo) Leonardo Molla (supplente),,
13,3. di dare atto che i compiti e le modalità di funzionamento del Tavolo regionale delle aree protette sono disciplinati dagli articoli 3 e 4 dell’allegato alla d.g.r.,,
14,"3896/2012; 4. di stabilire che il presente decreto potrà essere ulteriormente integrato, in caso di designazione di propri rappresentanti da parte delle associazioni individuate dalla d.g.r.",,
15,"3896/2012 che, alla data odierna, non hanno comunicato il loro referente, nonché in caso di richiesta di altre associazioni; 5. di disporre la pubblicazione del presente decreto sul Bollettino Ufficiale della Regione Lombardia.",,
16,Il dirigente Anna Bonomo,,
