sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 67 – Serie Ordinaria n. 2 - Venerdì 11 gennaio 2013,,
3,D) ATTI DIRIGENZIALI Giunta regionale,,
4,"D.G. Ambiente, energia e reti D.d.u.o.",,
5,"20 dicembre 2012 - n. 12481 Approvazione ai sensi del comma 7, dell’art.",,
6,242 del d.lgs.,,
7,"3 aprile 2006, n. 152, del “Progetto operativo di bonifica degli areali 8A e 8B” e della riperimetrazione del comparto 8, delle aree che ospiteranno l’esposizione universale 2015, ubicate nei comuni di Milano e Rho (MI), presentato dalla Società Metropolitana Milanese s.p.a. per conto della Società Expo 2015 s.p.a. e autorizzazione alla realizzazione degli interventi in esso previsti IL DIRIGENTE DELL’UNITA’ ORGANIZZATIVA TUTELA AMBIENTALE Visto il decreto legislativo 3 aprile 2006, n. 152: «Norme in materia ambientale», in particolare il Titolo V «Bonifica di siti contaminati» e s.m.i.; Visto il r.r.",,
8,"15 giugno 2012, n. 2 «Attuazione dell’art.",,
9,"21 della legge regionale 12 dicembre 2003, n. 26 – Disciplina dei servizi locali di interesse economico generale.",,
10,"Norme in materia di gestione dei rifiuti, di energia, di utilizzo del sottosuolo e di risorse idriche – relativamente alle procedure e ripristino ambientale dei siti inquinati», ed in particolare l’art.",,
11,"18 «Interventi di bonifica con il raggiungimento delle concentrazioni soglia di contaminazione»; Richiamata la deliberazione di Giunta regionale 23 maggio 2012 n. 3509 «Linee guida per la disciplina del procedimento per il rilascio della certificazione di avvenuta bonifica, messa in sicurezza operativa e messa in sicurezza permanente dei siti contaminati»; Vista la deliberazione di Giunta regionale 27 giugno 2006, n. 2838 avente ad oggetto: «Modalità applicative del Titolo V «Bonifica di siti contaminati» della parte quarta del d.lgs.",,
12,152/2006 – Norme in materia ambientale.»; Visto l’Accordo di Programma ai sensi e per gli effetti dell’art.,,
13,"34 del d.lgs 18 agosto 2000, n. 267 tra Comune di Milano, Regione Lombardia, Provincia di Milano, Comune di Rho, Società Poste Italiane s.p.a. e con l’Adesione di Società Expo 2015 s.p.a. e Società Arexpo s.p.a., finalizzato a consentire la realizzazione dell’esposizione universale 2015, anche attraverso la definizione della idonea disciplina urbanistica e la riqualificazione dell’area successivamente allo svolgimento dell’evento, siglato in data 14 luglio 2011; Visto il decreto regionale del dirigente dell’Unità Organizzativa Tutela ambientale 26 maggio 2011, n. 4811 di approvazione, ai sensi del comma 3, dell’art.",,
14,242 del d.lgs.,,
