sentence number,sentence,value (0/1)
1,– 80 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013 D.d.g.,,
4,"28 dicembre 2012 - n. 12620 Accreditamento della seguente unità di offerta socio sanitaria: hospice “Fondazione Cella” con sede in Broni (PV), località Vescovera n. 32, gestito dall’ente “Fondazione Conte Franco Cella di Rivara Onlus” con sede legale in Broni (PV), via Emilia n. 328, C.F. 84003740181, a seguito di trasformazione di tipologia di unità di offerta da R.S.A. a hospice, ed iscrizione nell’apposito registro regionale dell’hospice e contestuale cancellazione della R.S.A. denominata “R.S.A. di Vescovera” IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti:",,
5,• il d. lgs.,,
6,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni;",,
7,• il d.p.r.,,
8,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»;",,
9,mento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»;,,
10,• la l.r.,,
11,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
12,Collegato» e successive modifiche;,,
13,venti e dei servizi alla persona in ambito sociale e sociosanitario»;,,
14,• la l.r.,,
15,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»;",,
16,• la d.c.r.,,
17,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»;",,
18,Richiamate le dd.g.r.:,,
19,"• 7 aprile 2003, n. 12619: «Attuazione dell’art.",,
20,"12, commi 3 e 4 della l.r.",,
21,"11 luglio 1997, n. 31.",,
22,"Requisiti per l’autorizzazione al funzionamento e per l’accreditamento delle Strutture Residenziali per pazienti terminali, altrimenti dette Hospice»,",,
23,• 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»;,,
24,• 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»;,,
25,• 30 maggio 2012 n. 3540 «Determinazioni in materia di,,
26,esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»;,,
27,"Rilevato che l’ente gestore indicato in oggetto ha presentato S.C.I.A con contestuale istanza di accreditamento del 18 dicembre 2012, prot. n. 95511, per l’Hospice «Fondazione Cella» con sede in Broni, località Vescovera n. 32, relativamente a n. 10 posti letto; Ritenuto di precisare che i 10 posti letto dell’Hospice derivano dalla trasformazione di tipologia di unità di offerta da R.S.A. a Hospice, relativa alla R.S.A.",,
28,"«R.S.A. di Vescovera», già autorizzata e accreditata per n. 20 posti letto; Dato atto che la S.C.I.A sopra citata è stata positivamente verificata dalla competente commissione di vigilanza della ASL di Pavia, con sopralluogo di cui al verbale n. 320 del 19 dicembre 2012; Visto il provvedimento n. 377 del 19 dicembre 2012 adottato dalla ASL di Pavia, pervenuto in data 19 dicembre 2012, prot. n. 16380, di attestazione del possesso dei requisiti di accreditamento; Ritenuto di accogliere la richiesta di accreditamento in oggetto per le motivazioni sopra descritte; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
29,20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura;,,
30,"Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente; DECRETA 1. di accreditare per n. 10 posti letto, con decorrenza dalla data di approvazione del presente atto, la seguente unità di offerta socio sanitaria: Hospice «Fondazione Cella» con sede in Broni, località Vescovera n. 32, gestito dall’ente «Fondazione Conte Franco Cella di Rivara ONLUS» con sede legale in Broni (PV), via Emilia n. 328, C.F. 84003740181, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Pavia e attestata con il provvedimento n. 377 del 19 dicembre 2012; 2. di provvedere all’iscrizione dell’ unità di offerta oggetto del presente accreditamento nell’apposito registro regionale delle unità di offerta socio sanitarie accreditate, e contestualmente di cancellare la R.S.A.",,
31,"«R.S.A. di Vescovera»; 3. di disporre che, entro 90 giorni dall’approvazione del presente atto, l’ ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 4. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente.",,
32,Il direttore generale Roberto Albonetti,,
