sentence number,sentence,value (0/1)
1,– 18 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Giovedì 10 gennaio 2013 D.d.g.,,
4,"28 dicembre 2012 - n. 12653 Accreditamento di unità di offerta socio sanitarie di assistenza domiciliare integrata aventi sede nella ASL Mantova ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti: • il d. lgs.",,
5,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
6,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
7,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; • la l.r.,,
8,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
9,Collegato» e successive modifiche; • la l.r.,,
10,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e sociosanitario»; • la l.r.",,
11,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
12,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»; Richiamate le dd.g.r.: • 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»; • 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; • la d.g.r.",,
13,"30 maggio 2012, n. 3541, rettificata dalla d.g.r.",,
14,6 giugno 2012 n. 3584 «Definizione dei requisiti specifici per l’esercizio e l’accreditamento dell’Assistenza Domiciliare Integrata» • la d.g.r.,,
