sentence number,sentence,value (0/1)
1,– 20 – Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013,,
2,D.G. Sanità D.d.u.o.,,
3,24 gennaio 2013 - n. 379 Bando per il finanziamento dei progetti di ricerca indipendente nel settore sanitario.,,
4,"Programma di ricerca indipendente IL DIRIGENTE UNITÀ ORGANIZZATIVA PROGRAMMAZIONE E SVILUPPO PIANI Visti: • il Programma Regionale di Sviluppo della IX legislatura approvato con d.c.r. n. IX/56 del 28 settembre 2010; • il «Piano Socio Sanitario regionale 2010-2014» approvato con d.c.r. n. IX/88 del 17 novembre 2010; Richiamata la d.g.r. n. IX/2633 del 6 dicembre 2011 «Determinazioni in ordine alla gestione del servizio socio-sanitario regionale per l’esercizio 2012 (di concerto con l’Assessore Boscagli)» la quale dichiara che per lo sviluppo delle iniziative di innovazione e integrazione la Regione disporrà di una previsione di risorse pari a Euro 4.000.000,00 per promuovere progetti indipendenti di ricerca, sperimentazione e prototipizzazione per innovazione di prodotti e processi in ambito sanitario, proposti dalle Aziende Ospedaliere e dagli IRCCS pubblici e privati accreditati della Regione Lombardia; Richiamata, in particolare, la d.g.r. n. IX/4491 del 13 dicembre 2012 «Determinazioni in merito alle modalità per la valutazione e il finanziamento di progetti di ricerca indipendente in materia sanitaria» che: • ha approvato i criteri di valutazione e le modalità operative per la realizzazione del bando per il finanziamento dei progetti di ricerca indipendente nel settore sanitario.",,
5,"Programma di ricerca indipendente - Anno 2012; • ha destinato al finanziamento dei progetti di ricerca indipendente, di cui al punto precedente, la somma complessiva di Euro 4.000.000,00 a valere sulla disponibilità del capitolo 2.2.0.2.256.7644 del bilancio regionale; • ha rinviato a successivi atti della Direzione generale Sanità l’assunzione di tutti i provvedimenti necessari per l’attuazione delle finalità indicate nel provvedimento di cui trattasi; Ritenuto necessario, in continuità con gli interventi di sostegno che si sono succeduti negli anni, di incentivare e consolidare la conoscenza scientifica nel settore sanitario, promuovendo progetti di ricerca indipendente; Ritenuto, quindi, in attuazione della d.g.r. n. IX/4491/2012 sopra richiamata, di approvare il «Bando per il finanziamento dei progetti di ricerca indipendente nel settore sanitario.",,
6,"Programma di ricerca indipendente» - Allegato parte integrante del presente provvedimento; Dato atto che le risorse destinate al finanziamento del bando, di cui trattasi, pari a Euro 4.000.000,00, trovano copertura al capitolo 2.2.0.2.256.7644 del bilancio regionale; Ritenuto di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità; Viste: • la l.r.",,
7,"7 luglio 2008, n. 20 «Testo unico delle leggi regionali in materia di Organizzazione e Personale», nonché i provvedimenti organizzativi della IX legislatura; • la l.r.",,
8,"30 dicembre 2009, n. 33 «Testo unico delle leggi regionali in materia di sanità» e s.m.i.; DECRETA 1.",,
9,Di approvare il «Bando per il finanziamento dei progetti di ricerca indipendente nel settore sanitario.,,
10,Programma di ricerca indipendente» - Allegato parte integrante del presente provvedimento.,,
11,2.,,
12,"Di stabilire che le risorse destinate al finanziamento del bando di cui al punto 1), pari a Euro 4.000.000,00, trovano copertura al capitolo 2.2.0.2.256.7644 del bilancio regionale.",,
13,3.,,
14,Di disporre la pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità.,,
15,Il dirigente u.o. programmazione e sviluppo piani Carlo Lucchina ——— • ———,,
16,Bollettino Ufficiale,,
17,Bollettino Ufficiale,,
18,– 21 – Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013 ALLEGATO BANDO PER LA PRESENTAZIONE DI PROGETTI IN MATERIA SANITARIA PROGRAMMA DI RICERCA INDIPENDENTE,,
19,INDICE 1.,,
20,PREMESSA 2.,,
21,FINALITÀ E CARATTERISTICHE GENERALI 3.,,
22,SOGGETTI AMMESSI AL BANDO 4.,,
23,AREE TEMATICHE E RISORSE DISPONIBILI 5.,,
24,DURATA DEI PROGETTI 6.,,
25,VALUTAZIONE DEI PROGETTI - COMMISSIONE TECNICO-SCIENTIFICA 7.,,
26,MODALITÀ DI VALUTAZIONE DEI PROGETTI - 1.,,
27,FASE DI PRESELEZIONE 8.,,
28,MODALITÀ DI VALUTAZIONE DEI PROGETTI - 2.,,
29,FASE DI VALUTAZIONE 9.,,
30,COSTI E VOCI DI SPESA 10.,,
31,MODALITÀ E TERMINI PER LA PRESENTAZIONE DELLE DOMANDE 11.,,
32,CONCESSIONE ED EROGAZIONE DEL CONTRIBUTO 12.,,
33,VERIFICA SULL’IMPIEGO DEI CONTRIBUTI 13.,,
34,RENDICONTAZIONE CONTABILE 14.,,
35,OBBLIGHI DEI SOGGETTI BENEFICIARI 15.,,
36,PROROGHE - MODIFICHE - RINUNCIA 16.,,
37,REVOCA 17.,,
38,PUBBLICAZIONE E INFORMAZIONE 18.,,
39,TRATTAMENTO DEI DATI PERSONALI 19.,,
40,COMUNICAZIONE 20.,,
41,INNOVAZIONE E PROPRIETÀ INTELLETTUALE ____________________ 1.,,
42,"PREMESSA Il «Programma Nazionale della Ricerca 2011-2013» (PNR) evidenzia come le patologie legate allo stile di vita e il progressivo invecchiamento della popolazione, comportano l’aumento della spesa sanitaria pubblica e che il miglioramento della qualità della salute della popolazione passa, inevitabilmente, attraverso gli investimenti nella ricerca biomedica.",,
43,"Il PNR elenca, tra le aree tematiche di ricerca e sviluppo individuate come prioritarie per il Paese, quelle relative al settore della salute e delle scienze della vita considerando che la conoscenza scientifica promuove lo sviluppo di tecnologie innovative che impattano sulla pratica clinica.",,
44,"In coerenza con le direttrici nazionali, i documenti di programmazione sanitaria regionale (Programma Regionale di Sviluppo della IX Legislatura e Piano Socio Sanitario Regionale 2010-2014) sottolineano come il sistema sanitario si pone anche come una leva dinamica di sviluppo e di innovazione dove il ruolo della governance regionale nei diversi ambiti della ricerca sanitaria, dovrà comprendere un’azione di coordinamento e di implementazione dei risultati ottenuti, con l’obiettivo di rendere immediatamente disponibile ai cittadini il valore aggiunto conseguente all’attività di ricerca.",,
45,2.,,
46,"FINALITÀ E CARATTERISTICHE GENERALI Regione Lombardia con il Programma di Ricerca Indipendente in coerenza con le indicazioni programmatiche regionali in materia di sanità e in continuità con gli interventi di sostegno che si sono succeduti negli anni, intende dare impulso alla ricerca sanitaria accompagnandola da un’azione di coordinamento, implementazione e divulgazione dei risultati ottenuti.",,
47,Il programma di Ricerca Indipendente avrà come propri principi - guida: Lo sviluppo di reti collaborative tra operatori sanitari Il consolidamento del ruolo di governance regionale attraverso l’implementazione e la diffusione dei risultati ottenuti Lo sviluppo di tematiche con un alto livello di trasferibilità al SSR,,
48,"Regione Lombardia, in attuazione dei criteri approvati con delibera di Giunta regionale n. IX/4491 del 13 dicembre 2012, attraverso il presente bando pubblico, seleziona i progetti che verranno finanziati nell’ambito del Programma di Ricerca Indipendente.",,
49,3.,,
50,SOGGETTI AMMESSI AL BANDO I soggetti ammessi a presentare domanda sono le Aziende Ospedaliere e gli IRCCS di diritto pubblico e privato accreditati dalla Regione Lombardia.,,
51,Ogni soggetto ammesso può presentare un solo progetto riferito ad una sola delle aree tematiche individuate al successivo punto 4.,,
52,"I soggetti che possono partecipare al bando, possono presentare progetti di ricerca in partenariato.",,
53,In questo caso la domanda è presentata esclusivamente da un soggetto capofila (sempre A.O. o IRCCS di diritto pubblico o privato accreditato) che assume funzioni di regia (coordinamento) del progetto e si fa garante della sua realizzazione.,,
54,"Inoltre, il capofila è l’interfaccia operativo nei confronti dell’Amministrazione regionale, per gli adempimenti amministrativi e contabili.",,
55,4.,,
56,AREE TEMATICHE E RISORSE DISPONIBILI Per il Programma di Ricerca Indipendente sono individuate le seguenti aree tematiche:,,
57,– 22 –,,
58,Bollettino Ufficiale,,
59,Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013 Malattie rare Cronicità E-Health,,
60,"I soggetti individuati al punto 3, possono presentare progetti di ricerca esclusivamente nell’ambito delle predette aree tematiche.",,
61,"Le risorse destinate al finanziamento dei progetti di ricerca ammontano a € 4.000.000,00.",,
