sentence number,sentence,value (0/1)
1,– 18 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013 venti e dei servizi alla persona in ambito sociale e sociosanitario»; • la l.r.,,
4,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
5,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010-2014»; Richiamate le dd.g.r.: • 7 aprile 2003, n. 12621 «Determinazione dei requisiti standard per l’autorizzazione al funzionamento e l’accreditamento dei servizi privati e pubblici per l’assistenza alle persone dipendenti da sostanze illecite e lecite e indirizzi programmatici e direttive sull’organizzazione dei servizi territoriali dipendenze nelle ASL: Progetto Regionale Dipendenze»; • 10 ottobre 2007, n. 5509 «Determinazioni relative ai servizi accreditati nell’area dipendenze»; • 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; • 26 ottobre 2012 n. 4334 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2013»; Dato atto che la Comunità «Il Calabrone», gestita dall’ente «Il Calabrone Società Cooperativa Sociale Onlus» con sede legale in Brescia, viale Duca degli Abruzzi n. 10, C.F. 01296890179, è già accreditata con d.g.r. n. 5228 del 2 agosto 2007 per n. 18 posti a contratto, così suddivisi: −− n. 10 posti di Servizio terapeutico riabilitativo con sede a Brescia in via Quinta n. 6, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via Cavour n. 34, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via San Martino n. 1; −− n. 2 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Cazzago San Martino; Rilevato che l’ente gestore sopra citato ha presentato D.I.A. per il trasferimento della sede di Brescia da via Quinta n. 6 - Villaggio Prealpino a viale Duca degli Abruzzi n. 8/u, positivamente verificata con verbale dell’ASL di Brescia del 23 gennaio 2012 e, in data 12 marzo 2012, prot. n. G1.2012.0003401 ha presentato la relativa richiesta di accreditamento; Visto il provvedimento n. 132 del 28 marzo 2012 con il quale l’ASL di Brescia, ha espresso parere favorevole al trasferimento della sede di Brescia da via Quinta n. 6 - Villaggio Prealpino a viale Duca degli Abruzzi n. 8/u; Dato atto che, con nota prot. n. G1.2012.0006668 del 31 maggio 2012, la scrivente Direzione generale ha interrotto i termini del suddetto procedimento poiché il medesimo ente gestore, in data 17 maggio 2012, ha presentato all’ASL di Brescia D.I.A. per il trasferimento di n. 2 posti letto della medesima unità di offerta, dall’appartamento di Cazzago San Martino (BS) che viene chiuso, alla Comunità terapeutica riabilitativa residenziale di Brescia, viale degli Abruzzi n. 8/u, ciò ritenendo che le due modifiche di attività dovessero essere unificate in un unico procedimento; Preso atto della verifica positiva attestata dall’ASL di Brescia con proprio verbale del 6 novembre 2012 e della successiva domanda di accreditamento pervenuta in data 15 novembre 2012, prot. n. 14839; Visto il provvedimento n. 526 del 12 dicembre 2012 adottato dalla A.S.L. di Brescia, pervenuto in data 27 dicembre 2012, prot. n. 16541, di attestazione del possesso dei requisiti per la modifica dell’accreditamento della Comunità «Il Calabrone», con il conseguente nuovo assetto del servizio: −− n. 12 posti di Servizio terapeutico riabilitativo con sede a Brescia in viale degli Abruzzi n. 8/u, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via Cavour n. 34, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via San Martino n. 1; Ritenuto, per le motivazioni sopra descritte, di accogliere la richiesta di modifica dell’accreditamento in oggetto, sussistendo tutti i requisiti previsti dalla normativa vigente;",,
6,"Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
7,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato e alla ASL territorialmente competente; DECRETA 1. di modificare l’accreditamento della seguente unità di offerta socio sanitaria: Comunità «Il Calabrone», con decorrenza dalla data di approvazione del presente atto, gestita dall’ente «Il Calabrone Società Cooperativa Sociale Onlus» con sede legale in Brescia, viale Duca degli Abruzzi n. 10, C.F. 01296890179, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Brescia, ed attestata con il provvedimento n. 526 del 12 dicembre 2012, a seguito del trasferimento della sede di Brescia da via Quinta n. 6 - Villaggio Prealpino a viale Duca degli Abruzzi n. 8/U e del trasferimento di n. 2 posti letto dall’appartamento di Cazzago San Martino (BS) alla Comunità terapeutica riabilitativa residenziale di Brescia, viale degli Abruzzi n. 8/U, con il conseguente nuovo assetto del Servizio: −− n. 12 posti di Servizio terapeutico riabilitativo con sede a Brescia in viale degli Abruzzi n. 8/U, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via Cavour n. 34, −− n. 3 posti di Servizio terapeutico riabilitativo in modulo abitativo con sede a Castegnato, via San Martino n. 1; 2. di provvedere all’iscrizione della modifica dell’accreditamento, di cui al precedente punto, nell’apposito registro regionale delle unità di offerta socio sanitarie accreditate; 3. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 4. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato e alla ASL territorialmente competente.",,
8,Il direttore generale Roberto Albonetti D.d.g.,,
9,"22 gennaio 2013 - n. 316 Rettifica del decreto del 19 dicembre 2012, n. 12376 ad oggetto: “Accreditamento della seguente unità di offerta socio sanitaria: hospice “Beati Coniugi Martin” con sede in Milano, via San Faustino n. 27, gestito dall’ente “G.D.F. Group s.p.a.” con stessa sede C.F. 01896780135, iscrizione nell’apposito registro regionale, e contestuale riduzione dell’accreditamento della R.S.A.“Le Terrazze Fiorite” IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Richiamato il proprio precedente decreto del 19 dicembre 2012, n. 12376, ad oggetto «accreditamento della seguente unita’ di offerta socio sanitaria: hospice «Beati Coniugi Martin» con sede in Milano, via San Faustino n. 27, gestito dall’ente «G.D.F. Group s.p.a.» con stessa sede C.F. 01896780135, iscrizione nell’apposito registro regionale, e contestuale riduzione dell’accreditamento della R.S.A.",,
10,"«Le Terrazze Fiorite»; Rilevato che, per mero errore materiale, al punto 3 del dispositivo del decreto sopra richiamato, la R.S.A., interessata alla riduzione dell’accreditamento di 24 posti letto, è stata denominata «Beati Coniugi Martin» anziché correttamente «Le Terrazze Fiorite»; Ritenuta la necessità di provvedere alla rettifica dell’errata denominazione della R.S.A. come sopra specificato; Vista la l.r.",,
