sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 13 – Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013,,
3,"D.G. Famiglia, conciliazione, integrazione e solidarietà sociale D.d.g.",,
4,15 gennaio 2013 - n. 146 Accreditamento della seguente unità di offerta socio sanitaria: Centro diurno integrato per anziani non autosufficienti C.D.I.,,
5,"“Fondazione Sant’Angela Merici Onlus” con sede in Desenzano del Garda (BS), via Gramsci n. 25, gestita dall’ente omonimo, con stessa sede, C.F. 84001090178, ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETÀ SOCIALE Visti: • il d.lgs.",,
6,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
7,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
8,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; • la l.r.,,
9,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
10,Collegato» e successive modifiche; • la l.r.,,
11,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e socio-sanitario»; • la l.r.",,
12,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
13,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010-2014»; Richiamate le dd.g.r.: • la d.g.r.",,
14,"22 marzo 2002, n. 8494 «Requisiti per l’autorizzazione al funzionamento e l’accreditamento dei Centri diurni integrati (C.D.I.)»; • la d.g.r.",,
15,"9 maggio 2003, n. 12903 «Indirizzi e criteri per la remunerazione regionale dei Centri Diurni Integrati accreditati in attuazione della d.g.r.",,
16,"22 marzo 2002, n. 8494»; • 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»; • 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»; • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; • 26 ottobre 2012 n. 4334 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2013»; Dato atto che l’unità di offerta in oggetto è abilitata all’esercizio per effetto della S.C.I.A. del 19 ottobre 2012 prot. n. 0140408, verificata positivamente dalla competente commissione di vigilanza della ASL di Brescia, di cui al verbale n. 43/cdi/12 del 14 novembre 2012, relativamente a n. 12 posti, in conformità alla d.g.r. n. 3540/12; Rilevato che l’ente gestore indicato in oggetto ha presentato istanza di accreditamento, pervenuta in data 31 ottobre 2012 prot. n. 14316, per l’unità di offerta del pari in oggetto identificata, relativamente a n. 12 posti; Visto il provvedimento n. 527 del 12 dicembre 2012 adottato dalla ASL di Brescia, pervenuto in data 18 dicembre 2012 prot. n. 16322, di attestazione del possesso dei requisiti di accreditamento; Ritenuto di accogliere la richiesta di accreditamento in oggetto, sussistendo tutti i requisiti previsti dalla normativa vigente; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
17,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente;",,
18,"DECRETA 1. di accreditare, con decorrenza dalla data di approvazione del presente atto, la seguente unità di offerta socio sanitaria: C.D.I.",,
19,"«Fondazione Sant’Angela Merici Onlus» con sede in Desenzano del Garda (BS), via Gramsci n. 25, gestita dall’ente omonimo, con stessa sede, C.F. 84001090178, sulla base della verifica del possesso dei requisiti di accreditamento condotta dall’ASL di Brescia e attestata con il provvedimento del 12 dicembre 2012 n. 527, relativamente a n. 12 posti; 2. di provvedere all’iscrizione dell’unità di offerta oggetto del presente accreditamento nell’apposito registro regionale delle unità di offerta socio sanitarie accreditate; 3. di disporre che, entro 90 giorni dall’approvazione del presente atto, l’ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 4. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente.",,
20,II direttore generale Roberto Albonetti D.d.g.,,
21,15 gennaio 2013 - n. 147 Ampliamento dell’accreditamento della seguente unità di offerta socio sanitaria: Centro diurno integrato per anziani non autosufficienti C.D.I.,,
22,"“Germano Boninsegna” con sede in Pegognaga (MN), via Donatori di Sangue n. 12, gestito dall’ente “C.S.A. cooperativa servizi assistenziali società cooperativa sociale”, con sede legale in Mantova, via Gelso n. 8, C.F. 01697440202 IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETÀ SOCIALE Visti: • il d.lgs.",,
23,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
24,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
