sentence number,sentence,value (0/1)
1,– 86 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013,,
4,D.G. Sanità D.d.g.,,
5,19 dicembre 2012 - n. 12351 Rinnovo del gruppo di lavoro denominato “Comitato regionale per i servizi di medicina di laboratorio” IL DIRETTORE GENERALE Vista la d.g.r.,,
6,VII/3313 del 2 febbraio 2001 «Approvazione delle direttive in ordine all’attuazione delle disposizioni di cui alla l.r.,,
7,"12 agosto 1999 n. 15, art.",,
8,"4, comma 4, relativa ai Servizi di Medicina di Laboratorio e all’attività di prelievo», in cui si ritiene «necessario costituire un Comitato con la partecipazione di esperti esterni che esprima il proprio parere sulle problematiche riguardanti la medicina di laboratorio»; Dato atto che • con decreto del Direttore generale Sanità n. 4444 del 6 maggio 2009 «Costituzione del gruppo di lavoro denominato “Comitato Regionale per i Servizi di Medicina di Laboratorio”», è stato costituito il Gruppo di Lavoro per l’anno 2009; • con decreto del Direttore generale Sanità n. 14520 del 29 dicembre 2009 si è provveduto a riconfermare validità sino alla data del 30 aprile 2010; • con decreto del Direttore generale Sanità n. 6471 del 29 giugno 2010 si è provveduto a riconfermare la validità sino alla data del 31 dicembre 2011; • con decreto del Direttore generale Sanità n. 6179 del 6 luglio 2011 si è provveduto ad aggiornare l’elenco dei componenti del Gruppo di Lavoro mantenendo la scadenza al 31 dicembre 2011; • con decreto del Direttore generale Sanità n. 3969 del 9 maggio 2012 si è provveduto a riconfermare la validità sino alla data del 31 dicembre 2012; • con decreto del Direttore generale Sanità n. 6514 del 20 luglio 2012 si è provveduto alla sostituzione di un componente del Gruppo di Lavoro mantenendo la scadenza al 31 dicembre 2012; Precisato che il CReSMeL è coordinato dalla dott.ssa Nadia Da Re Dirigente della Struttura Accreditamento, Appropriatezza e Controlli della U.O. Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo, che è composto dalla dott. ssa Angela Bortolotti che esercita le funzioni di segretaria, dal dott.",,
9,"Mario Cassani quale Direttore del Centro di Riferimento Regionale per la Qualità dei Servizi di Medicina di Laboratorio e da 12 membri esterni, esperti in Medicina di Laboratorio, di cui 6 di nomina regionale e 6 indicati dalla FISMeLab (Federazione delle Società Scientifiche nel Settore della Medicina di Laboratorio), esperto ciascuno in una delle 6 sottobranche definite dalla d.g.r.",,
10,"VII/3313 (Biochimica Clinica e Tossicologia, Ematologia ed Emocoagulazione, Immunoematologia, Microbiologia e Virologia, Anatomia Patologica, Citogenetica e Genetica Medica); Ritenuto che il CReSMeL può individuare, su specifiche problematiche, dei Sottogruppi di Lavoro avvalendosi anche della collaborazione di altri professionisti; Precisato che i componenti del Comitato e degli eventuali Sottogruppi di Lavoro non hanno diritto ad alcun gettone di presenza; Precisato che la durata della nomina del Comitato è compresa tra la data del 1 gennaio e il termine della legislatura vigente; Ritenuto di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità; Preso atto della validazione resa dal CODIGEC nella seduta del 13 dicembre 2012; Visto il decreto del Segretario generale «Modalità per la costituzione ed il funzionamento dei gruppi di lavoro pluridisciplinari e interfunzionali ai sensi dell’art.",,
11,26 l.r.,,
12,"10 marzo 1995, n. 10»; Vista la legge regionale 20/2008 nonché i provvedimenti organizzativi dell’VIII legislatura.",,
13,DECRETA per le motivazioni indicate in premessa: 1.,,
14,"Di rinnovare il Comitato Regionale per i Servizi di Medicina di Laboratorio (CReSMeL) i cui compiti saranno quelli di fornire supporto tecnico-scientifico alla Direzione generale Sanità su tutte le problematiche inerenti la Medicina di Laboratorio, con particolare riferimento alle procedure di attuazione del sistema qualità.",,
15,2.,,
16,Di stabilire che il succitato Comitato risulta così composto: Dott.ssa Nadia Da Re,,
17,"Coordinatrice, Dirigente Struttura Accreditamento, Appropriatezza e Controlli della U.o.",,
18,"Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo Dott.ssa Angela Bortolotti Segretaria, Struttura Accreditamento, Appropriatezza e Controlli della U.o.",,
19,Governo dei Servizi Sanitari Territoriali e Politiche di Appropriatezza e Controllo Dott. Mario Cassani Direttore del Centro di Riferimento Regionale per la Qualità dei Servizi di Medicina di Laboratorio Dott. Francesco Bernieri Componente di nomina Regionale Dott. Marco Besozzi Componente di nomina Regionale Dott.ssa Franca Di Nuovo Componente di nomina Regionale Dott. Aldo Gobbi Componente di nomina Regionale Dott. Antonio Goglio Componente di nomina Regionale Prof. Paolo Mocarelli Componente di nomina Regionale Dott. Giampaolo Cattozzo Componente di nomina FISMeLab Dott. Pierangelo Clerici Componente di nomina FISMeLab Dott. Filippo Crivelli Componente di nomina FISMeLab Dott. Maurizio Ferrari Componente di nomina FISMeLab Dott. Bruno Milanesi Componente di nomina FISMeLab Dott. Davide Rossi Componente di nomina FISMeLab,,
20,3.,,
21,Di stabilire che la durata della nomina del Comitato è compresa tra la data del 1 gennaio e il termine della legislatura vigente.,,
22,4.,,
23,Di stabilire che i componenti del Comitato e degli eventuali Sottogruppi di Lavoro non hanno diritto ad alcun gettone di presenza.,,
24,5.,,
25,Di procedere alla pubblicazione del presente provvedimento sul Bollettino Ufficiale della Regione Lombardia e sul sito web della Direzione generale Sanità.,,
26,Il direttore generale direzione generale sanità Carlo Lucchina,,
