sentence number,sentence,value (0/1)
1,–2–,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
4,C) GIUNTA REGIONALE E ASSESSORI D.g.r.,,
5,"23 gennaio 2013 - n. IX/4717 Determinazioni in ordine alle linee guida regionali sull’utilizzo dei defibrillatori semi-automatici esterni (DAE) e sull’attivazione dei progetti di defibrillazione semi-automatica sul territorio lombardo LA GIUNTA REGIONALE Vista la seguente normativa nazionale di riferimento: a) legge n. 120 del 3 aprile 2001, art.",,
6,"1: «È consentito l’uso del defibrillatore semi-automatico in sede extra-ospedaliera anche al personale non medico, nonché al personale non sanitario che abbia ricevuto una formazione specifica nelle attività di rianimazione cardio-polmonare»; b) accordo Stato-Regioni 27 febbraio 2003, art.",,
7,"2, comma b1: «(…) L’operatore che somministra lo shock con il defibrillatore semiautomatico è responsabile, non della corretta indicazione di somministrazione dello shock che è determinato dall’apparecchio, ma dell’esecuzione di questa manovra in condizioni di sicurezza per lo stesso e per tutte le persone presenti intorno al paziente»; c) legge n. 69 del 15 marzo 2004, art.",,
8,"1, comma 1 che sostituisce il precedente comma 1 della legge 120 del 3 aprile 2001: «È consentito l’uso del defibrillatore semi-automatico in sede intra ed extraospedaliera anche al personale non medico, nonché al personale non sanitario che abbia ricevuto una formazione specifica nelle attività di rianimazione cardio-polmonare»; d) decreto Ministero della Salute del 18 marzo 2011 «Determinazione dei criteri e delle modalità di diffusione dei defibrillatori automatici esterni di cui all’art.",,
9,"2, comma 46, della legge n. 191/2009»; e) decreto legge n. 158 del 13 settembre 2012 «Disposizioni urgenti per promuovere lo sviluppo del Paese mediante un più alto livello di tutela della salute», art.",,
10,"7 «Disposizioni in materia di vendita di prodotti del tabacco, misure di prevenzione per contrastare la ludopatia e per l’attività sportiva non agonistica», comma 11: «Al fine di salvaguardare la salute dei cittadini che praticano un’attività sportiva non agonistica o amatoriale, il Ministro della salute, con proprio decreto, adottato di concerto con il Ministro delegato al turismo e allo sport, dispone garanzie sanitarie mediante l’obbligo di idonea certificazione medica, nonché linee guida per l’effettuazione di controlli sanitari sui praticanti e per la dotazione e l’impiego, da parte di società sportive sia professionistiche che dilettantistiche, di defibrillatori semiautomatici e di eventuali altri dispositivi salvavita»; f) decreto legislativo del 28 settembre 2012 «Riorganizzazione dell’Associazione Italiana della Croce Rossa (C.R.I.), a norma dell’articolo 2, della legge n. 183 del 2010» che trasferisce, a decorrere dal 1° gennaio 2014, le funzioni esercitate dall’Associazione italiana della Croce Rossa (CRI), alla costituenda Associazione della Croce Rossa italiana; Richiamati i seguenti documenti di programmazione regionale, con particolare riferimento alla programmazione sanitaria: • d.c.r. n. IX/56 del 28 settembre 2010 «Programma regionale di sviluppo della IX legislatura»; • d.c.r. n. IX/88 del 17 novembre 2010 «Piano socio sanitario regionale 2010-2014»; Dato atto che Regione Lombardia, con d.g.r. n. VII/10306 del 16 settembre 2002 «Approvazione linee guida regionali sulla defibrillazione semi-automatica» ha avviato la sperimentazione - della durata di sei mesi - sull’utilizzo dei defibrillatori semiautomatici sui mezzi di soccorso di base convenzionati, nelle aree di Milano, Monza, Brescia, Como e Varese, valutando altresì l’opportunità di estenderne l’uso sull’intero territorio regionale a fronte dei risultati che verranno conseguiti; Dato atto, altresì, l’Azienda Regionale Emergenza Urgenza (AREU), ricopre, in tale ambito, un preciso ruolo e una funzione attribuitole con le seguenti d.g.r.: • d.g.r. n. VIII/6994 del 2 aprile 2008 «Attivazione dell’Azienda Regionale Emergenza Urgenza (A.R.E.U.) in attuazione della l.r.",,
11,"12 dicembre 2007 n. 32 (…)», nella quale sono indicate le attività di competenza dell’Azienda, tra le quali quelle relative alla programmazione ed all’erogazione dei percorsi formativi del personale e alla definizione dei requisiti dei mezzi di trasporto utilizzati; • d.g.r. n. IX/893 dell’1 dicembre 2010 «Trasporto sanitario da",,
12,"parte di soggetti privati - Aggiornamento d.g.r. n. VIII/1743 del 18 gennaio 2006» che approva le linee di indirizzo in materia di trasporto sanitario semplice e sanitario nonché i percorsi formativi del personale addetto a tale trasporto; • d.g.r. n. IX/1964 del 6 luglio 2011 «Soccorso sanitario extraospedaliero - Aggiornamento dd.g.r. n. VI/37434 del 17 luglio 1998, n. VI/45819 del 22 ottobre 1999, n. VII/16484 del 23 febbraio 2004 e n. VIII/1743 del 18 gennaio 2006», con la quale viene stabilito che AREU, nell’ambito della diffusione dei defibrillatori semiautomatici (DAE) sul territorio regionale, in attuazione della normativa vigente e nell’ambito dei finanziamenti messi a disposizione dalla normativa regionale, provvede a predisporre il Piano relativo alla diffusione e all’utilizzo dei defibrillatori semiautomatici esterni, individuando luoghi, eventi, strutture e mezzi di trasporto laddove è necessario garantire la disponibilità dei DAE, nonché le modalità di formazione degli operatori; • d.g.r. n. IX/2869 del 29 dicembre 2011 «Realizzazione di programmi regionali per la diffusione e l’utilizzo di defibrillatori semiautomatici esterni (DAE): approvazione progetto ‘A prova di cuore.",,
13,Diffusione delle tecniche di rianimazione cardiopolmonare e dei defibrillatori nei luoghi pubblici in Regione Lombardia’ (d.m.,,
14,"18 marzo 2011)» che approva il progetto esecutivo di che trattasi di durata biennale predisposto e presentato da AREU, al quale è stato assegnato, entro la misura dei costi rendicontati per voci di spesa, il relativo finanziamento ministeriale per la realizzazione del progetto in Regione Lombardia; Ritenuto opportuno, alla luce della normativa nazionale, di adeguare le tecniche di defibrillazione agli attuali protocolli internazionali, nonché di aggiornare le modalità di formazione degli operatori; Visto il documento tecnico «Aggiornamento delle Linee Guida regionali sull’utilizzo dei defibrillatori semi-automatici esterni (DAE) e sull’attivazione dei progetti di defibrillazione semi-automatica sul territorio (PAD)» - elaborato da AREU allegato A) parte integrante del presente provvedimento - che definisce: a) l’utilizzo dei Defibrillatori semi-Automatici Esterni (DAE); b) l’attivazione dei progetti di defibrillazione semi-automatica (PAD) sul territorio di Regione Lombardia; Dato atto che tale documento fornisce le indicazioni organizzative, operative e didattiche per l’utilizzo dei DAE, sia nel contesto della rete dell’emergenza-urgenza della Regione Lombardia (AREU) sia nel mondo laico con la diffusione di DAE e di progetti PAD; Ritenuto che il citato allegato A) rappresenti la regolamentazione regionale di riferimento da osservare da parte della costituenda Associazione Croce Rossa Italiana (C.R.I.) [art.",,
15,"1, c. 4, lett. s) del d.lgs.",,
16,"28 settembre 2012], al fine di svolgere correttamente in Regione Lombardia attività di formazione per il personale non sanitario e per il personale civile all’uso di dispositivi salvavita in sede extra ospedaliera; Valutato, per la particolare evidenza delle predette linee guida e l’obiettiva necessità di mantenerle nel tempo aggiornate, tenuto conto delle nuove e future evidenze scientifiche, di concordare, di volta in volta, con AREU, l’aggiornamento e l’adeguamento dell’allegato documento; Ritenuto: • di disporre la pubblicazione del presente provvedimento sul BURL e sul sito Internet della Direzione generale Sanità; • di stabilire che le disposizioni contenute nell’allegato A), decorrono a partire dagli interventi effettuati dal 1° del mese successivo alla pubblicazione sul BURL del presente provvedimento; Valutate e assunte come proprie le predette determinazioni; A voti unanimI espressi ai sensi di legge; DELIBERA 1. di approvare il documento «Aggiornamento delle Linee Guida regionali) sull’utilizzo dei defibrillatori semi-automatici esterni (DAE) e sull’attivazione dei progetti di defibrillazione semi-automatica sul territorio (PAD)», allegato a) parte integrante del presente provvedimento che definisce: a) l’utilizzo dei Defibrillatori semi-Automatici Esterni (DAE); b) l’attivazione dei progetti di defibrillazione semi-automatica (PAD) sul territorio di Regione Lombardia;",,
17,Bollettino Ufficiale,,
18,–3– Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
19,tuenda Associazione Croce Rossa Italiana (C.R.I.) [art.,,
20,"1, c. 4, lett. s) del d.lgs.",,
21,"28 settembre 2012], al fine di svolgere correttamente in Regione Lombardia attività di formazione per il personale non sanitario e per il personale civile all’uso di dispositivi salvavita sede extra ospedaliera; 3.  di concordare di volta in volta, con AREU, l’aggiornamento e l’adeguamento dell’allegato documento; 4.  di stabilire che le disposizioni contenute nell’allegato A), decorrono a partire dagli interventi effettuati dal 1° del mese successivo alla pubblicazione sul BURL del presente provvedimento; 5.  di disporre la pubblicazione del presente provvedimento e dei relativi allegati sul sito web della Direzione generale Sanità www.sanita.regione.lombardia.it.",,
22,Il segretario: Luca Dainotti ——— • ———,,
23,–4–,,
24,Bollettino Ufficiale,,
25,Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013 ALLEGATO A,,
26,AGGIORNAMENTO DELLE LINEE GUIDA REGIONALI SULL’UTILIZZO DEI DEFIBRILLATORI SEMI-AUTOMATICI ESTERNI (DAE) E SULL’ATTIVAZIONE DEI PROGETTI DI DEFIBRILLAZIONE SEMI-AUTOMATICA SUL TERRITORIO (PAD),,
27,1.,,
28,Oggetto e scopo Il presente documento illustra le modalità operative inerenti: • •,,
29,l’utilizzo dei Defibrillatori semi-Automatici Esterni (DAE); l’attivazione dei progetti di defibrillazione semi-automatica (PAD) sul territorio di Regione Lombardia.,,
30,Il presente documento aggiorna quello approvato con la d.g.r. n. VII/10306 del 16 settembre 2002 “Approvazione linee guida regionali sulla defibrillazione semi-automatica”.,,
