sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 13 – Serie Ordinaria n. 5 - Giovedì 31 gennaio 2013,,
3,D.d.g.,,
4,25 gennaio 2013 - n. 468 Ampliamento dell’ accreditamento della seguente unità di offerta socio sanitaria: centro diurno integrato per anziani non autosufficienti (C.D.I.),,
5,"“Fondazione Giovannina Rizzieri Onlus” con sede in Piancogno (BS), via Nazionale n. 45, gestito dall’ente omonimo, con stessa sede, C.F. 81005270178 IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti:",,
6,• il d.lgs.,,
7,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni;",,
8,• il d.p.r.,,
9,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»;",,
10,mento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»;,,
11,• la l.r.,,
12,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
13,Collegato» e successive modifiche;,,
14,venti e dei servizi alla persona in ambito sociale e sociosanitario»;,,
15,• la l.r.,,
16,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»;",,
17,• la d.c.r.,,
18,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»;",,
19,Richiamate le dd.g.r.:,,
20,ne al funzionamento e l’accreditamento dei Centri diurni integrati (C.D.I.)»;,,
21,• la d.g.r.,,
22,"9 maggio 2003, n. 12903 «Indirizzi e criteri per la",,
23,remunerazione regionale dei Centri Diurni Integrati accreditati in attuazione della d.g.r.,,
24,"22 marzo 2002, n. 8494»;",,
25,• 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»;,,
26,• 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»;,,
27,• 30 maggio 2012 n. 3540 «Determinazioni in materia di,,
28,esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»;,,
29,• 26 ottobre 2012 n. 4334 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2013»;,,
30,Considerato che l’unità di offerta socio sanitaria: C.D.I.,,
31,"«Fondazione Giovannina Rizzieri Onlus» con sede in Piancogno (BS), via Nazionale n. 45, gestito dall’ente omonimo, con stessa sede, C.F. 81005270178, è già accreditato con d.g.r. del 23 aprile 2004, n. 17242 per n. 15 posti e a contratto; Rilevato che l’ente gestore sopra citato ha presentato istanza di ampliamento dell’accreditamento, con contestuale S.C.I.A., del 9 ottobre 2012 prot. n. 714, pervenuta in data 9 ottobre 2012 prot. n. 13195, per il C.D.I. in oggetto, relativamente a n. 5 posti, in conformità alla d.g.r. n. 3540/12; Dato atto che la S.C.I.A sopra indicata è stata positivamente verificata dalla competente commissione di vigilanza della ASL di Vallecamonica - Sebino, con sopralluogo del 7 novembre 2012 di cui al verbale della verifica allegato al provvedimento sotto indicato; Visto il provvedimento del 21 novembre 2012 n. 842 adottato dalla ASL di Vallecamonica - Sebino, pervenuto in data 10 gennaio 2013, prot. n. 00435, di attestazione del possesso dei requisiti di accreditamento, relativamente a n. 5 posti, per un numero complessivo di 20 posti; Ritenuto di accogliere la richiesta di accreditamento in oggetto per le motivazioni sopra descritte; Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento;",,
32,Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.,,
33,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente; DECRETA 1. di ampliare l’accreditamento, con decorrenza dalla data di approvazione del presente atto, per la seguente unità di offerta socio sanitaria: C.D.I.",,
34,"«Fondazione Giovannina Rizzieri ONLUS» con sede in Piancogno (BS), via Nazionale n. 45, gestito dall’ente omonimo, con stessa sede, C.F. 81005270178, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Vallecamonica - Sebino e attestata con il provvedimento del 21 novembre 2012 n. 842, precisando che, a seguito dell’ampliamento di cui trattasi, il numero complessivo dei posti accreditati passa da n. 15 a n. 20; 2. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 3. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente.",,
35,Il direttore generale Roberto Albonetti,,
