sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 15 – Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013,,
3,D.d.g.,,
4,"22 gennaio 2013 - n. 311 Modifica del decreto di accreditamento n. 12655 del 28 dicembre 2012 - Accreditamento di unità di offerta socio sanitarie di assistenza domiciliare integrata aventi sede nella ASL Milano ed iscrizione nell’apposito registro regionale IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti: • il d.lgs.",,
5,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni; • il d.p.r.",,
6,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»; • i dd.p.c.m.",,
7,14 febbraio 2001 «Atto di indirizzo e coordinamento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»; • la l.r.,,
8,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
9,Collegato» e successive modifiche; • la l.r.,,
10,"12 marzo 2008, n. 3 «Governo della rete degli interventi e dei servizi alla persona in ambito sociale e sociosanitario»; • la l.r.",,
11,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»; • la d.c.r.",,
12,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010-2014»; Richiamate le dd.g.r.: • 30 maggio 2012 n. 3540 «Determinazioni in materia di esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»; • 30 maggio 2012, n. 3541, rettificata dalla d.g.r.",,
13,"6 giugno 2012 n. 3584 «Definizione dei requisiti specifici per l’esercizio e l’accreditamento dell’Assistenza Domiciliare Integrata» • 25 luglio 2012, n. 3851 «Determinazioni in ordine alle tariffe sperimentali dei nuovi profili dell’Assistenza Domiciliare Integrata»; • 26 ottobre 2012 n. 4334 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2013»; Richiamato inoltre il d.d.g. della Direzione generale Famiglia, Conciliazione, Integrazione e Solidarietà Sociale del 3 agosto 2012, n. 7089 ad oggetto: «Determinazioni in ordine all’Assistenza Domiciliare Integrata»; Richiamato il proprio precedente decreto n. 12655 del 28 dicembre 12 «Accreditamento di unità di offerta socio sanitarie di assistenza domiciliare integrata aventi sede nella ASL Milano ed iscrizione nell’apposito registro regionale»; Rilevato che, per mero errore materiale, con riferimento ai soggetti gestori «A.M.P. Paxme Domiciliare Società Cooperativa Sociale» con sede legale in Milano e «Alleanza Sociale Protagonista Consorzio di Cooperative» con sede legale in San Marcellino (CE), nell’Allegato A del decreto sopra richiamato, la colonna delle «Cure Palliative» è stata contrassegnata con «sì» anziché con «no»; Ritenuto pertanto di modificare il decreto di accreditamento n. 12655 del 28 dicembre 2012 - «Accreditamento di unità di offerta socio sanitarie di Assistenza Domiciliare Integrata aventi sede nella ASL Milano ed iscrizione nell’apposito registro regionale», approvando l’allegata tabella A, parte integrante del presente provvedimento, dando atto che gli enti gestori in essa indicati risultano accreditati per l’esercizio della sola A.D.I. Ordinaria; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
14,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione agli enti gestori interessati, ed all’ASL territorialmente competente; DECRETA 1. di modificare il decreto di accreditamento n. 12655 del 28 dicembre 2012 - «Accreditamento di unità di offerta socio sanitarie di Assistenza Domiciliare Integrata aventi sede nella ASL",,
15,"Milano ed iscrizione nell’apposito registro regionale». per le motivazioni sopra descritte, approvando l’allegata tabella A, parte integrante del presente provvedimento, dando atto che gli enti gestori in essa indicati risultano accreditati per l’esercizio della sola A.D.I. Ordinaria; 2. di provvedere all’iscrizione della modifica disposta al punto 1 nel registro regionale delle unità di offerta socio sanitarie accreditate, 3. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione agli enti gestori interessati, ed all’ASL territorialmente competente.",,
16,Il direttore generale Roberto Albonetti,,
17,——— • ———,,
18,Bollettino Ufficiale,,
19,– 16 – Serie Ordinaria n. 5 - Mercoledì 30 gennaio 2013,,
20,ALLEGATO A UNITA’ DI OFFERTA SOCIO SANITARIE: ASSISTENZA DOMICILIARE INTEGRATA AVENTI SEDE NELLA AS.L. DI MILANO,,
21,N.,,
22,Ragione sociale Ente Gestore,,
23,Codice Fiscale,,
24,Comune Sede legale,,
25,Indirizzo,,
26,SCIA presentata presso l'ASL di,,
27,Data presentazione richiesta accreditamento,,
28,Richiesta accr.,,
29,Cure palliative (sì/no),,
30,1,,
31,A.M.P. PAXME DOMICILIARE SOCIETA' COOPERATIVA SOCIALE,,
32,07376910969,,
33,MILANO,,
34,"VIALE F. RESTELLI, 49",,
35,MI,,
36,15/07/2012,,
37,NO,,
38,12/12/2012 DELIBERAZIONE N. 1636,,
39,17/12/2012 PROT.,,
40,N. 16228,,
41,2,,
42,ALLEANZA SOCIALE PROTAGONISTA CONSORZIO DI COOPERATIVE,,
43,03257930614,,
44,SAN MARCELLINO,,
45,"CORSO ITALIA, 193",,
46,MI,,
47,13/07/2012,,
48,NO,,
49,12/12/2012 DELIBERAZIONE N. 1636,,
50,17/12/2012 PROT.,,
51,N. 16228,,
52,Data ricezione Data attestazione requisiti ASL attestazione requisiti e n. provvedimento e protocollo,,
