sentence number,sentence,value (0/1)
1,– 10 –,,
2,Bollettino Ufficiale,,
3,Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 D.g.r.,,
4,23 gennaio 2013 - n. IX/4716 Ulteriori determinazioni in merito alla d.g.r.,,
5,IX/4605 del 28 dicembre 2012 «Prima attuazione della legge 135/2012 “Disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini” art.,,
6,"15 comma 13 lettera c) ed ulteriori indicazioni per l’esercizio 2013 correlate all’elenco dei 108 drg a rischio di inappropriatezza di cui al vigente patto per la salute» LA GIUNTA REGIONALE Vista la seguente normativa nazionale: • decreto legislativo 30 dicembre 1992, n. 502 «Riordino della disciplina in materia sanitaria, a norma dell’articolo 1 della L. 23 ottobre 1992, n. 421»; • decreto legge 6 luglio 2011, n. 98 convertito in legge dall’art.",,
7,"1, comma 1, legge 15 luglio 2011, n. 111 «Disposizioni urgenti per la stabilizzazione finanziaria»; • decreto legge 6 luglio 2012 n. 95 «Disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini» convertito in legge n. 135/2012; • decreto legge 13 settembre 2012 n. 158, «Disposizioni urgenti per promuovere lo sviluppo del Paese mediante un più alto livello di tutela della salute»; • decreto legge 10 ottobre 2012, n. 174 - «Disposizioni urgenti in materia di finanza e funzionamento degli enti territoriali, nonché ulteriori disposizioni in favore delle zone terremotate nel maggio 2012»; • decreto legge 18 ottobre 2012 n. 179, «Ulteriori misure urgenti per la crescita del paese»; Vista la legge regionale 30 dicembre 2009 n. 33 recante «Testo unico delle leggi regionali in materia di sanità» e successive modifiche e integrazioni; Richiamati i seguenti documenti di programmazione regionale, con particolare riferimento alla programmazione sanitaria: • d.c.r. n. IX/0056 del 28 settembre 2010 «Programma regionale di sviluppo della IX legislatura»; • d.c.r. n. IX/0088 del 17 novembre 2010 «Piano socio sanitario regionale 2010-2014»; Richiamate le: • d.g.r. n. VI/42606 del 23 aprile 1999 «Aggiornamento delle prestazioni di assistenza specialistica ambulatoriale erogabili nell’ambito del Servizio Sanitario Regionale e relative tariffe»; • d.g.r. n. IX/4232 del 25 ottobre 2012 «Determinazioni in ordine ai criteri ed alla gestione delle risorse destinate alle funzioni non tariffabili per l’anno 2012»; • d.g.r. n. IX/4231 del 25 ottobre 2012 «Determinazione in merito alla remunerazione di alcune funzioni non coperte da tariffe predefinite svolte dalle aziende ed enti sanitari pubblici e privati accreditati per l’anno 2011»; • d.g.r. n. IX/4605 del 28 dicembre 2012 «Prima attuazione della legge 135/2012, «disposizioni urgenti per la revisione della spesa pubblica con invarianza dei servizi ai cittadini» art.",,
8,"15 comma 13 lettera c) ed ulteriori indicazioni per l’esercizio 2013 correlate all’elenco dei 108 DRG a rischio di inappropriatezza di cui al vigente patto per la salute»; • d.g.r. n. IX/2057 del 28 luglio 2011 «Determinazione in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2011 - III° provvedimento di aggiornamento in ambito sanitario - (di concerto con l’Assessore Boscagli)»; • d.g.r. n. IX / 4334 del 26 ottobre 2012 «Determinazioni in ordine alla gestione del servizio socio sanitario regionale per l’esercizio 2013 - (di concerto con l’Assessore Pellegrini)»; • d.g.r. n. IX / 3976 del 6 agosto 2012 «Ulteriori determinazioni in ordine alla gestione del servizio sanitario regionale per l’anno 2012 anche alla luce dei provvedimenti nazionali» in particolare l’allegato 2 dove è previsto che «debba restare una priorità per il sistema sanitario della Regione Lombardia la tutela delle prestazioni cosiddette extrabudget che comprendono prioritariamente interventi complessi riferiti alle patologie oncologiche (attività chirurgiche, chemioterapie, radioterapia), a quelle cerebrocardiovascolari in fase acuta, ad attività riabilitative dirette a gravi cerebrolesioni e mielolesioni, ai parti e ad attività particolarmente complesse relative all’area dell’emergenza urgenza» e si stabilisce per gli erogatori di diritto privato di non applicare riduzioni di risorse per queste attività;",,
9,"Ritenuto di dover riconfermare il principio espresso dalla citata d.g.r. n. IX / 3976 del 6 agosto 2012 utilizzando ai fini della definizione degli importi contrattuali 2013 la casistica extra-budget prodotta e consuntivata nel 2012; Considerato che, nel rispetto delle indicazioni contenute nel Patto per la Salute 2010-2012, con particolare riferimento agli allegati A e B con i quali è stata ampliata la lista dei 43 DRG ad alto rischio di inappropriatezza in regime di ricovero ordinario (di cui all’allegato 2C del d.p.c.m. sui LEA), la d.g.r. n. IX/4605 del 28 dicembre 2012 (Allegato A) ha integrato l’elenco delle procedure già afferite alla macroattività chirurgica a bassa intensità operativa ed assistenziale (BIC) con la d.g.r. n. VIII/10804/2009 come integrata dalla d.g.r. n. IX/621/2010; Considerato inoltre, la prevista prossima emanazione dei nuovi Livelli Essenziali di Assistenza, così come anticipato dal Ministero della Salute, ed in attesa della conseguente revisione del nomenclatore ambulatoriale si dispone di rivedere la recente integrazione delle prestazioni erogabili in BIC, limitatamente ai codici di procedura già presenti nel nomenclatore tariffario ambulatoriale all’atto dell’emanazione della citata d.g.r. n. IX/4605/2012; Stabilito: • di procedere alla revisione dell’elenco delle procedure da afferire alla BIC, di cui all’Allegato A, parte integrante del presente atto, che supera e sostituisce integralmente l’elenco allegato alla d.g.r. n. IX/4605/2012; • che le procedure chirurgiche contenute nel presente Allegato A, influenzanti l’attribuzione del DRG (MPR), a partire dalle prestazioni prenotate dal 1° giugno 2013, devono essere rendicontate, parimenti alle attività di specialistica ambulatoriale, con il flusso informativo di cui alla Circolare 28 San, anche nel caso in cui esse si riferiscano ad episodi assistenziali con pernottamento di una notte, in quanto la suddetta notte è considerata di semplice osservazione e non di assistenza; • che continueranno ad essere considerati e rendicontati come attività di ricovero solo i casi con almeno due notti di degenza, pur prevedendo per gli stessi la medesima tariffa unica di cui all’Allegato A; Ricordato altresì, come già chiarito con la d.g.r. n. IX/621/2010, che i DRG individuati nell’allegato A sotto la voce «DRG di provenienza»: • quando risultanti dalla codifica di prestazioni chirurgiche differenti da quelle individuate nell’allegato A sotto la voce «codice», mantengono le modalità di erogazione (day surgery o degenza ordinaria), rendicontazione (SDO) e le tariffe oggi vigenti; • allo stesso modo le stesse prestazioni contenute negli elenchi della BIC, quando responsabili dell’attribuzione a DRG differenti da quelli individuati come «DRG di provenienza» per ciascuna di esse (vedi Allegato A) seguono le normali modalità di erogazione e rendicontazione in uso per le attività di day surgery o di degenza ordinaria; Ricordato inoltre che la scelta della modalità di rendicontazione delle prestazioni di chirurgia ambulatoriale è quindi guidata principalmente dai seguenti criteri: • le prestazioni individuate nell’ambito della BIC, rappresentano, nella quasi totalità dei casi, procedure chirurgiche che, sulla base degli algoritmi allocativi del Grouper 3M, sono determinanti nell’attribuzione del DRG individuati nell’allegato A sotto la voce «DRG di provenienza» (MPR, major procedure related); • costituiscono un’eccezione alla regola descritta al punto precedente esclusivamente le prestazioni di litotripsia extracorporea (cod.",,
10,"98.51, 98.52 e 98.59), le quali saranno comunque sempre trattate, in abbinamento ai DRG individuati, come se fossero MPR pur non essendolo; • nel caso di effettuazione contestuale di più procedure chirurgiche, deve essere selezionata quella che il Grouper 3M individua come principale (MPR); • nel caso in cui vengano effettuate contestualmente più procedure di cui solo la principale (MPR), individuata nel modo descritto al punto precedente, è contenuta negli elenchi della BIC, tutte le procedure chirurgiche effettuate devono essere ricondotte alla principale e quindi deve essere rendicontata una sola prestazione con il ﬂusso di cui alla circolare 28 San; • nel caso in cui vengano effettuate contestualmente più procedure di cui la principale (MPR), individuata come",,
