sentence number,sentence,value (0/1)
1,Bollettino Ufficiale,,
2,– 81 – Serie Ordinaria n. 2 - Lunedì 07 gennaio 2013,,
3,D.d.g.,,
4,28 dicembre 2012 - n. 12622 Modifica dell’accreditamento della seguente unità di offerta: “Comunità terapeutica Regina della Speranza” gestita dalla cooperativa sociale a r.l.,,
5,"Onlus “Comunità Papa Giovanni XXIII” con sede legale in Rimini, via Valverde n. 10/B, C.F. 01970680409, per trasferimento dell’attività dalla sede di Camisano (CR) alla sede di Lavagna di Comazzo (LO) IL DIRETTORE GENERALE DELLA DIREZIONE GENERALE FAMIGLIA, CONCILIAZIONE, INTEGRAZIONE E SOLIDARIETA’ SOCIALE Visti:",,
6,• il d.p.r.,,
7,"9 ottobre 1990, n. 309 «Testo Unico delle leggi in",,
8,"materia di disciplina degli stupefacenti e sostanze psicotrope, prevenzione, cura e riabilitazione stati di tossicodipendenza», così come integrato dalla l. 21 febbraio 2006, n. 49 «Conversione in legge, con modificazioni del decreto-legge 30 dicembre 2005, n. 272, recante misure urgenti per garantire la sicurezza e i finanziamenti per le prossime Olimpiadi invernali, nonché la funzionalità dell’Amministrazione dell’interno.",,
9,Disposizioni per favorire il recupero di tossicodipendenti recidivi»;,,
10,• il d. lgs.,,
11,"30 dicembre 1992, n. 502, e successive modificazioni ed integrazioni;",,
12,• il d.p.r.,,
13,"14 gennaio 1997 «Approvazione dell’atto di indirizzo e coordinamento alle Regioni ed alle Province autonome di Trento e Bolzano in materia di requisiti strutturali, tecnologici ed organizzativi minimi per l’esercizio delle attività sanitarie da parte delle strutture pubbliche e private»;",,
14,mento in materia di prestazioni socio sanitarie» e 29 novembre 2001 «Definizione dei livelli essenziali di assistenza»;,,
15,• la l.r.,,
16,"2 aprile 2007, n. 8 «Disposizioni in materia di attività sanitarie e socio-sanitarie.",,
17,Collegato» e successive modifiche;,,
18,venti e dei servizi alla persona in ambito sociale e sociosanitario»;,,
19,• la l.r.,,
20,"30 dicembre 2009, n. 33: «Testo unico delle leggi regionali in materia di sanità»;",,
21,• la d.c.r.,,
22,"17 novembre 2010, n. 88 di approvazione del «Piano Socio Sanitario Regionale 2010 – 2014»;",,
23,Richiamate le dd.g.r.:,,
24,dard per l’autorizzazione al funzionamento e l’accreditamento dei servizi privati e pubblici per l’assistenza alle persone dipendenti da sostanze illecite e lecite e indirizzi programmatici e direttive sull’organizzazione dei servizi territoriali dipendenze nelle ASL: Progetto Regionale Dipendenze»;,,
25,"• 10 ottobre 2007, n. 5509 «Determinazioni relative ai servizi accreditati nell’area dipendenze»;",,
26,• 1 dicembre 2010 n. 937 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2011»;,,
27,• 6 dicembre 2011 n. 2633 «Determinazioni in ordine alla gestione del Servizio Socio Sanitario regionale per l’esercizio 2012»;,,
28,• 30 maggio 2012 n. 3540 «Determinazioni in materia di,,
29,esercizio e accreditamento delle unità di offerta sociosanitarie e razionalizzazione del relativo sistema di vigilanza e controllo»;,,
30,"Dato atto che la «Comunità Terapeutica Regina della Speranza» con sede in Camisano (CR), Via Trieste n. 33, gestita dalla Cooperativa Sociale A r.l.",,
31,"ONLUS «Comunità Papa Giovanni XXIII» con sede legale in Rimini, Via Valverde n. 10/B, C.F. 01970680409, è già accreditata con d.g.r. n. 15562 del 12 dicembre 2003 per n. 15 posti di Servizio Pedagogico Riabilitativo a contratto; Rilevato che l’ente gestore sopra citato ha presentato S.C.I.A. con contestuale richiesta di accreditamento per il trasferimento della sede da Camisano (CR), Via Trieste n. 33 a Lavagna di Comazzo (LO), Via Filippo da Levania n. 4, e per l’ampliamento della sola capacità ricettiva autorizzata da n. 15 a n. 17 posti letto di Servizio Pedagogico Riabilitativo, pervenuta in data 2 ottobre 12, prot. n. 12995; Preso atto che l’ASL di Lodi ha acquisito il parere favorevole al trasferimento della sede della Comunità Terapeutica «Regina della Speranza» dalla provincia di Cremona a quella di Lodi,",,
32,"espresso dall’ASL di Cremona, con nota del Direttore Sociale del 7 novembre 2012, prot. n. 60414/12; Visto il provvedimento n. 314 del 20 novembre 2012 adottato dalla ASL di Lodi, pervenuto in data 27 novembre 2012, prot. n. 15372, di attestazione del possesso dei requisiti di esercizio per n. 17 posti letto di Servizio Pedagogico Riabilitativo e del possesso dei requisiti di accreditamento per n. 15 posti letto di Servizio Pedagogico Riabilitativo ; Ritenuto, per le motivazioni sopra descritte, di accogliere la richiesta di accreditamento in oggetto e di revocare contestualmente l’accreditamento alla sede di Camisano (CR); Stabilito che la ASL territorialmente competente deve provvedere, entro 90 giorni dall’approvazione del presente atto, all’effettuazione di una visita di vigilanza, al fine della verifica del mantenimento dei requisiti di accreditamento; Dato atto che il presente provvedimento conclude il relativo procedimento nei termini previsti ai sensi di legge; Vista la l.r.",,
33,"20 del 7 luglio 2008 nonché tutti i provvedimenti organizzativi della IX legislatura; Ravvisata la necessità di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente; DECRETA 1. di modificare l’accreditamento della seguente unità di offerta socio sanitaria: Comunità Terapeutica «Regina della Speranza» con sede in Lavagna di Comazzo (LO), Via Filippo di Levania n. 4, con decorrenza dalla data di approvazione del presente atto, gestita dalla Cooperativa Sociale A r.l.",,
34,"ONLUS «Comunità Papa Giovanni XXIII» con sede legale in Rimini, Via Valverde n. 10/B, C.F. 01970680409, sulla base della verifica del possesso dei requisiti di accreditamento condotta dalla ASL di Lodi, ed attestata con il provvedimento n. 314 del 20 novembre 2012, confermando in n. 15 i posti accreditati, in sostituzione della sede già accreditata di Camisano (CR); 2. di provvedere all’iscrizione della suddetta struttura oggetto del presente accreditamento nell’apposito registro regionale delle unità di offerta socio sanitarie accreditate; 3. di disporre che, entro 90 giorni dall’approvazione del presente atto, la ASL territorialmente competente provveda all’effettuazione di una ulteriore visita di vigilanza, al fine della verifica della permanenza dei requisiti di accreditamento; 4. di revocare contestualmente l’accreditamento della Comunità Terapeutica «Regina della Speranza», con sede in Camisano (CR), gestita dal medesimo ente gestore, per cessazione dell’attività e di cancellarla dal registro regionale delle unità di offerta socio sanitarie accreditate; 5. di disporre per la pubblicazione del presente atto sul Bollettino Ufficiale della Regione Lombardia e per la relativa comunicazione all’ente gestore interessato, e alla ASL territorialmente competente.",,
35,Il direttore generale Roberto Albonetti,,
